species,te_level,composition_mode,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
abditus,order,classified_conditional,-0.06663905994231627,0.1135768484872174,0.05935400357188907,0.33027816460475684,-0.028209014999093344,-0.091314830785206,0.06977067149658334,0.015563431765962482,-0.04202207437532412,,,,,,,,,,,,,,,,,,,
adatsihi,order,classified_conditional,-0.3237595358757954,-0.26122951775792147,0.017404780654717636,0.34662330198991376,-0.0985572051568264,0.11240878232473306,0.03617666422734297,-0.03268193562054439,0.00022145076478189825,,,,,,,,,,,,,,,,,,,
aeneus,order,classified_conditional,0.8016715616959397,-0.367941627948488,0.1331699054832303,0.12149476050456415,-0.19971568802809822,0.22362984391968252,0.19514846954731105,0.036218124065632525,0.02325590159688965,,,,,,,,,,,,,,,,,,,
amphileucus,order,classified_conditional,-0.5550362300705071,0.13882986593997293,0.3633511216308461,-0.09353135135482306,0.10476466368623288,-0.0018809306139181334,-0.049941441523398265,0.005617570942571499,0.030102185582284502,,,,,,,,,,,,,,,,,,,
anicetus,order,classified_conditional,-0.3577334906555706,-0.009866188690833498,-0.3675925796757506,-0.18844623992128068,0.024638731684121878,0.09355590741685325,-0.010713149194933949,0.01205375793051328,0.026354115235055636,,,,,,,,,,,,,,,,,,,
apalachicolae,order,classified_conditional,-0.2356895045567488,-0.0455183769476122,-0.1486344306219573,0.12626348848858684,-0.04237099533156907,0.00892863998809973,0.031902424274056346,-0.003924362913069193,0.007155396686587527,,,,,,,,,,,,,,,,,,,
aureatus,order,classified_conditional,-0.445020344544473,1.051552830621388,0.31233344410184166,-0.28620521524638043,-0.2709562270903923,-0.06414130805509968,0.027587127322169065,0.03434764834213508,0.030420973422404733,,,,,,,,,,,,,,,,,,,
auriculatus,order,classified_conditional,0.8017812258297266,0.23939744746527944,-0.04587769550665722,0.038866344100064565,0.021858915669116824,-0.11642548662564418,-0.022168363244410964,-0.019054781933912773,0.07736763174839444,,,,,,,,,,,,,,,,,,,
bairdi,order,classified_conditional,0.6423804466627868,0.23322998609544293,-0.14629999437054175,-0.23767615581726848,-0.07029058473755732,0.03502016299978864,-0.026138917991703505,-0.07978322493449976,-0.0388451573430358,,,,,,,,,,,,,,,,,,,
balsameus,order,classified_conditional,-0.4462825386770321,-0.3193739894759081,0.15506483523398543,0.46355790580858836,-0.13962968333228928,0.018115050198375855,-0.1335320120559286,-0.0021724959393790064,0.002749510231336394,,,,,,,,,,,,,,,,,,,
campi,order,classified_conditional,0.2404155059341504,-0.010460106300240203,-0.24377853332960964,-0.2341963051122816,0.02953654800781048,0.17788651160116406,-0.18244359157076478,0.08343091050594968,0.009220708371064408,,,,,,,,,,,,,,,,,,,
carolinensis,order,classified_conditional,-0.653479777113434,-0.08107514612092881,-0.3004985329768914,0.018258639614529813,0.07453547223177935,-0.006211489037893225,0.06901597025053974,-0.05488875889090396,0.014696275700121346,,,,,,,,,,,,,,,,,,,
catahoula,order,classified_conditional,-0.07523981475975422,0.32459795615266523,-0.14299394477712782,0.20974191232157235,-0.13223387841044373,0.004751973418179964,-0.05062729502220422,-0.00432480561345493,-0.004269448300349983,,,,,,,,,,,,,,,,,,,
cheaha,order,classified_conditional,-0.18270677588114984,0.026123862304733996,-0.35106405258827234,0.04416720301411727,-0.005674133843780923,0.03323781745263883,-0.04878508206952649,-0.11290435084263699,0.01270346560084368,,,,,,,,,,,,,,,,,,,
