superfamily,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
Academ,0.33899198712204703,-0.003557278094505483,0.08479815223566034,-0.1037147868944414,0.0647310222096797,-0.03597741833484889,0.03379485439116074,-0.03723562251321719,-0.05870718187416515,0.01554199487522744,-0.06672159210552746,-0.03356281191758408,0.06238787491795488,-0.006854259278325332,-0.04287772930602293,-0.22454395660698187,0.2446581632493375,0.4442472782056125,-0.16589089104853852,-0.014550959697428019,-0.5211448755129888,-0.3067511685657966,0.14624214339813718,0.15418415789230955,0.312559189604042,0.012217484679366368,0.0014464842309255853,0.003167023488457623
CACTA,0.19644229312119893,-0.28836503774606936,-0.06362042113390991,-0.10662378969271775,-0.0767393911686383,-0.011280859840729782,0.014616317142537381,-0.06272334642817796,-0.029249275998848013,-0.08835684735032194,0.30991271875140847,-0.32145451342000897,-0.4359036464897426,0.060346320836888886,-0.06975284303233119,-0.06529292858010263,0.34243743609205296,0.017688840692538805,0.4721200593183722,0.07844480800353587,0.06232996101713639,0.05915077059561452,-0.19299642753790336,0.17618865486668084,-0.04547123473797645,0.12794298114295863,0.004458367688907799,0.033077203616071416
CR1,-0.25395930006299255,-0.29274793680994127,0.07341897079575171,-0.056536750822290746,-6.162924030617118e-4,0.0559749744694895,0.01360414568865315,0.008395708046782418,0.10612394162073721,-0.02401042367551779,0.013868501059928137,0.08012353471507494,0.006527714231280697,-0.1735758524022556,0.07903294479412674,-0.13828694926472132,0.08201451240134751,-0.07979123788660471,-0.06878850436372456,0.1762175946490927,-0.23073619932652875,0.038357842754293395,-0.209692980073661,-0.2900422650666272,0.0864170857887142,0.09846708434801425,0.7176169042169559,0.003801195711374351
Chapaev,0.09859448634821917,-0.11631051111446272,-0.17143619273208635,0.4194639895101776,0.2623036608924984,-0.008236026938658181,-0.03182357396899062,0.27765171615322004,0.16455869133814416,-0.12735760880604496,0.10374834979257509,0.19975451986792575,-0.13592730380479728,-0.4931103936090477,-0.20821384199492338,0.25030716209683157,0.019682167832198227,0.1586582701736155,0.08837929306152739,0.23097388990117762,-0.027664328733051177,0.033758994425591604,0.21932849710548483,0.04903306347906757,-0.009941795000315388,-0.15361281732595705,-8.943347798998566e-4,1.4172185459016681e-4
Copia,0.2088410480258223,-0.3150497055141285,0.14846176732034588,0.03055949917524733,-0.022849608798657075,0.03393343356262456,0.045866518017693945,-0.03364571666168527,0.056665422163858545,0.10041064230204261,0.11640591438319466,0.15147725787395153,0.050691393735343176,0.22650963235601781,-0.05229085543981467,0.03811199342747315,-0.1335595584824371,0.09522776118682671,-0.306394813190521,0.1759854308802682,-0.06198398581741304,0.36798548862685687,0.23474410837831677,0.18234687942835448,-0.3447868251038369,0.47055837759328706,0.0054047584382555655,0.041169286501421196
Cyrypton,0.30617470688193854,0.1286321916393409,0.11583521778355403,-0.1540683482915517,0.13256699648914783,0.01603831162123698,-0.06619269996974322,0.04114871649580631,0.006307206592492809,-0.01843778522965453,-0.16647913646387846,0.0403977990920027,0.011756418398039368,-0.19246239302388396,-0.13567680481972397,-0.1683822234839015,-0.054035975349168985,0.25509736466283783,0.2028961912178475,-0.3832899297138501,-0.05711751824578008,0.5112240047882131,-0.14145157544880324,-0.37688017461677864,-0.17200636417451648,-0.04973517247396092,0.005698397051575361,0.012562337035777858
DIRS,0.1696002712217103,-0.2601267520561974,0.043971674587340505,-0.15443281137262743,0.15712779877739344,-0.3320004290428246,-0.1499289690954602,0.16559520003761033,-0.18743136294449175,0.2539393622684161,-0.15476529474579673,0.052314529000062254,0.060796835684483796,0.006920376096219549,-0.06588015094100341,0.24684529861119137,-0.3625422965017686,-0.25274933967564717,0.2880136442484605,-0.041642930687337175,-0.2779111717723365,-0.26522222734328066,-0.1272412217127574,0.03451302929421063,-0.09481700878101851,0.04215767162462924,0.01078562894161892,0.20445838034902752
Dada,0.046103601098632804,-0.06270396458760927,-0.16381784396697835,-0.21216721187469453,-0.2815415854764013,-0.3330754021010048,-0.2724153883438079,0.14507292607805605,0.57863506488115,0.23885315609604782,-0.023216892699803537,-0.07127307857243326,0.2382535439334497,0.035780242630199945,-0.21512986767883874,0.06130162087936257,0.2835221411444852,-0.06715610234825269,-0.08640072861496577,-0.01628894665138007,0.07929650842810856,0.10323403939875286,0.04779891646730327,0.017072498168533214,0.07612580216217424,-0.11445912371464642,-0.003962089799630506,6.742767384177738e-5
EnSpm,0.069132072611958,0.35104737716719164,-0.07015473864070974,-0.20643430941141297,0.10561556754536774,0.129373622323003,-0.12448274044539774,0.3013745153238066,0.057918279843865564,-0.06814670785216669,0.030272655645722145,0.04052702956141192,0.03752125877056079,0.12865931202148959,0.22484244046988844,-0.29401983064766546,0.022976521209472547,-0.19724670475351141,0.13599288635306925,0.4729194251072551,-0.27519402900124074,0.12187495045106625,0.04013968457847155,0.12776510172219982,-0.2939165357526327,-0.21920116128922548,-0.013001898663513613,0.0028629838926863514
Gypsy,-0.2560245474157909,0.15614985646118962,-0.27162789116552655,0.09103949790399131,0.10010377892018625,0.07277526194716796,-0.05011984465448288,0.10088758504472294,0.04533285809274653,0.12474914116188468,0.11180305821924111,0.04630010400118642,-0.10226039242197765,0.17805871509592297,0.02917282706525191,-0.014164845294126089,0.05366904913965375,0.21732998506803566,-0.03653868736395055,-0.15634255471149355,-0.05664226709881923,0.048336822474005614,-0.05253359463666172,0.013442403559564891,0.019352165965355238,0.0907204734382896,0.033655191809475064,0.7939793443740131
