species,hit_count,aligned_hit_bp,n_orders
abditus,311503,67156983,11
adatsihi,303803,66870709,11
aeneus,302011,70571543,11
amphileucus,280570,60438230,11
anicetus,296729,69723190,11
apalachicolae,310265,66319319,11
aureatus,239109,56307548,11
auriculatus,266019,59881587,11
bairdi,274350,67005977,11
balsameus,294407,67710627,11
campi,196890,44702621,11
carolinensis,316028,67476202,11
catahoula,188488,42662975,11
cheaha,288310,63303628,11
conanti,304916,71941202,11
fuscus,284064,67460615,11
gvnigeusgwotli,281269,61176993,11
intermedius,292032,64042936,11
kanawha,268383,62014534,11
lycos,266730,62881916,11
marmoratus,299001,65286883,11
mavrokoilius,286184,62613487,11
monticola,315144,67825868,11
ocoee,302895,70449540,11
orestes,300877,66141025,11
organi,267278,54642861,11
pascagoula,273300,58887119,11
perlapsus,298833,70269625,11
santeetlah,212213,48270500,11
tilleyi,307965,67198932,11
valentinei,261716,55727512,11
valtos,268289,62261942,11
welteri,303515,66674232,11
wrighti,270278,59514820,11
