species,n_size_cells,n_size_images,cell_area_um2,cell_area_um2_ci_low,cell_area_um2_ci_high,nucleus_area_um2,nucleus_area_um2_ci_low,nucleus_area_um2_ci_high
D. anicetus,50,1,244.1952,242.172,248.5008,41.6952,40.43304,44.0496
D. tilleyi,50,2,264.4776,262.6992,267.3144,41.8536,41.47092,43.2936
D. campi,50,2,257.4504,248.5584,259.344,37.0728,35.8344,38.2608
D. ocoee,50,2,293.1552,291.5424,296.7552,43.4448,41.9904,44.5104
D. apalachicolae,50,1,299.5488,293.76486,301.4424,45.2016,43.7184,46.8594
D. monticola,50,2,260.0784,257.1696,264.9456,39.6072,39.1248,40.968
D. perlapsus,50,1,293.5512,289.1088,299.8224,43.38,41.328,45.0
D. brimleyorum,50,2,329.4,325.2672,332.5608,45.1656,43.8912,46.8432
D. bairdi,50,1,306.1368,303.5232,309.7152,44.208,43.6608,45.432
D. valtos,50,2,314.1936,306.8496,319.6728,49.968,48.7944,51.4368
D. auriculatus,50,1,315.1368,312.27534,318.6,49.176,47.8152,50.4288
D. fuscus,50,3,272.808,271.008,275.0112,46.944,45.19332,48.2112
D. welteri,50,2,304.5456,301.536,311.184,48.708,47.86542,49.9905
D. ochrophaeus,50,2,272.304,266.58684,277.3296,52.1352,50.472,54.2592
D. intermedius,50,1,325.2456,321.3792,328.09716,48.9384,46.6704,50.1696
D. marmoratus,50,2,274.9032,273.672,277.4304,47.6064,46.49544,49.5072
D. mavrokoilius,50,2,269.064,266.9184,271.9872,42.552,40.2048,44.3664
D. kanawha,50,2,288.5904,283.8384,291.8592,41.724,40.68,43.0992
D. amphileucus,50,2,318.78,316.40958,321.2856,44.4312,43.60248,45.68418
D. gvnigeusgwotli,50,1,272.4192,271.332,275.976,46.62,44.3808,47.2536
D. folkertsi,50,2,268.8408,265.5648,270.6624,44.8704,43.6248,47.4624
