species,n_nuclei,n_images,n_specimens,iod_equal_image_estimate,iod_equal_image_ci_low,iod_equal_image_ci_high,iod_pooled_nucleus_median,iod_pooled_nucleus_mean,iod_trimmed_mean_10pct,iod_nucleus_sd,iod_nucleus_iqr,iod_nucleus_min,iod_nucleus_max,image_median_iod_min,image_median_iod_max,image_median_iod_range,median_nucleus_area_um2,median_nucleus_mean_od,estimate_support,pooled_median_difference_pct,trimmed_mean_difference_pct,relative_iod_anchor,relative_iod_index,relative_iod_ci_low,relative_iod_ci_high,relative_iod_rank,iod_ratio_to_fuscus,genome_size_pg_fuscus_anchored,genome_size_pg_ci_low,genome_size_pg_ci_high,genome_size_reference_species,genome_size_reference_pg,genome_size_calibration_pg_per_iod,genome_size_rank
D. valtos,37,2,2,1301.70359550,1250.49216936,1343.67701450,1307.05354000,1290.90553508,1295.78010971,86.96437023,111.34821000,1079.60422800,1446.91939200,1277.70181800,1325.70537300,48.00355500,49.99680000,0.37158000,multiple_observed_images,0.41099560,-0.45505642,966.00049433,1.34751856,1.29450469,1.39096928,1,1.37908525,22.56183477,19.96773893,26.19004583,D. fuscus,16.36000000,0.01733254,1
D. bairdi,37,1,1,1077.42094600,1054.68931000,1110.33497900,1077.42094600,1076.44748376,1078.77251868,77.70274940,80.73680100,911.15368300,1235.55244200,1077.42094600,1077.42094600,0.00000000,46.35360000,0.34102700,single_observed_image,0.00000000,0.12544518,966.00049433,1.11534202,1.09181032,1.14941450,2,1.14146980,18.67444589,16.69008007,21.81771689,D. fuscus,16.36000000,0.01733254,2
D. intermedius,35,2,2,1038.65650200,979.09830600,1098.87495675,1044.93047200,1038.42567814,1036.19411138,84.35733381,111.90537900,871.19087300,1219.29978800,1003.99638400,1073.31662000,69.32023600,44.46720000,0.33582700,multiple_observed_images,0.60404667,-0.23707459,966.00049433,1.07521322,1.01355880,1.13755113,3,1.10040095,18.00255946,15.80564685,21.12544042,D. fuscus,16.36000000,0.01733254,3
D. marmoratus,37,2,2,1031.01143800,984.24729700,1081.86058400,1024.50947400,1024.14112189,1023.24248058,89.79743851,114.96681200,828.83435200,1228.27946500,993.78260000,1068.24027600,74.45767600,46.26720000,0.32008700,multiple_observed_images,-0.63063937,-0.75352776,966.00049433,1.06729908,1.01888902,1.11993792,4,1.09230141,17.87005106,15.79520686,20.89412784,D. fuscus,16.36000000,0.01733254,4
D. auriculatus,36,2,2,1017.97615650,917.85856450,1121.39536225,961.86814200,959.10473581,952.58169373,79.89607717,99.36874075,838.21666300,1183.95812100,938.49789800,1097.45441500,158.95651700,48.06000000,0.28582100,multiple_observed_images,-5.51172187,-6.42396802,966.00049433,1.05380501,0.95016366,1.16086417,5,1.07849123,17.64411647,14.96286110,21.07276908,D. fuscus,16.36000000,0.01733254,5
D. amphileucus,33,2,2,1001.33356725,913.48427019,1064.66024800,992.60045800,982.37936761,987.25852848,105.45424153,167.21040200,791.53337500,1137.11686500,958.91010050,1043.75703400,84.84693350,42.22080000,0.33249700,multiple_observed_images,-0.87214786,-1.40562938,966.00049433,1.03657666,0.94563541,1.10213220,6,1.06085929,17.35565806,14.99868833,20.25670417,D. fuscus,16.36000000,0.01733254,6
D. kanawha,34,2,2,984.69436325,882.05910750,1238.01495400,899.80632650,922.44193171,907.44372893,116.63510946,97.66204425,768.83519600,1428.33512200,891.20422100,1078.18450550,186.98028450,41.27760000,0.31410200,multiple_observed_images,-8.62074974,-7.84513827,966.00049433,1.01935182,0.91310420,1.28158832,7,1.04323095,17.06725832,14.27108361,22.60026555,D. fuscus,16.36000000,0.01733254,7
D. brimleyorum,35,2,2,981.90691550,906.00564400,1074.43240850,1022.66525000,1022.98670817,1022.13813176,102.33750436,144.59688400,847.24318400,1249.24449800,922.51053400,1041.30329700,118.79276300,44.17920000,0.33111500,multiple_observed_images,4.15093670,4.09725358,966.00049433,1.01646627,0.93789356,1.11224830,8,1.04027780,17.01894476,14.82939650,20.47764510,D. fuscus,16.36000000,0.01733254,8
D. folkertsi,37,2,2,977.03994050,939.83961292,1013.04068236,978.20155300,980.64852292,981.99103942,81.72949366,95.36061900,794.26714400,1125.05041400,964.21687100,989.86301000,25.64613900,46.23840000,0.30775000,multiple_observed_images,0.11889099,0.50674478,966.00049433,1.01142799,0.97291836,1.04869582,9,1.03512150,16.93458770,15.00652840,19.75780996,D. fuscus,16.36000000,0.01733254,9
D. monticola,36,2,2,969.17143450,902.25544012,1092.53847800,957.36142550,982.08892058,972.58191467,131.51003284,145.38496375,720.05533700,1404.09229200,949.57469200,988.76817700,39.19348500,41.21280000,0.33186950,multiple_observed_images,-1.21856759,0.35189648,966.00049433,1.00328255,0.93401136,1.13099163,10,1.02678524,16.79820648,14.69483401,20.32660384,D. fuscus,16.36000000,0.01733254,10
D. ocoee,35,3,3,962.82955417,897.08245594,1024.45073121,960.09241300,952.33516854,953.42466390,88.83430887,130.69252050,778.48234000,1108.60002200,887.89434000,1014.90098450,127.00664450,42.19200000,0.33061000,multiple_observed_images,-0.28428097,-0.97679701,966.00049433,0.99671745,0.92865631,1.06050746,11,1.02006635,16.68828556,14.62891815,19.62641862,D. fuscus,16.36000000,0.01733254,11
