species,template_species,n_nuclei,standardized_mean_difference_match_log_edge_sharpness,ks_distance_match_log_edge_sharpness,standardized_mean_difference_match_log_relative_ring_noise,ks_distance_match_log_relative_ring_noise,max_abs_standardized_mean_difference,max_ks_distance,passes_prespecified_balance_thresholds
D. amphileucus,D. apalachicolae,33,0.04993231,0.14742015,0.00759831,0.09909910,0.04993231,0.14742015,True
D. anicetus,D. apalachicolae,39,0.00416683,0.09286209,-0.01557767,0.12751213,0.01557767,0.12751213,True
D. apalachicolae,D. apalachicolae,37,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,True
D. auriculatus,D. apalachicolae,36,-0.04396256,0.12012012,-0.00403955,0.10360360,0.04396256,0.12012012,True
D. bairdi,D. apalachicolae,37,-0.00450869,0.10810811,-0.01080057,0.10810811,0.01080057,0.10810811,True
D. brimleyorum,D. apalachicolae,35,0.00109810,0.10424710,-0.00587373,0.07027027,0.00587373,0.10424710,True
D. campi,D. apalachicolae,36,0.02280868,0.12312312,-0.00747450,0.10360360,0.02280868,0.12312312,True
D. folkertsi,D. apalachicolae,37,-0.00363731,0.16216216,0.00422117,0.10810811,0.00422117,0.16216216,True
D. fuscus,D. apalachicolae,35,0.00989858,0.11042471,-0.01476574,0.09884170,0.01476574,0.11042471,True
D. gvnigeusgwotli,D. apalachicolae,37,0.01801093,0.10810811,-0.03423168,0.16216216,0.03423168,0.16216216,True
D. intermedius,D. apalachicolae,35,-0.01982881,0.09575290,-0.01462285,0.12741313,0.01982881,0.12741313,True
D. kanawha,D. apalachicolae,34,0.01896323,0.10651828,-0.02001611,0.10890302,0.02001611,0.10890302,True
D. marmoratus,D. apalachicolae,37,-0.00649012,0.08108108,0.01257263,0.08108108,0.01257263,0.08108108,True
D. mavrokoilius,D. apalachicolae,38,-0.00575250,0.12446657,-0.00531152,0.08961593,0.00575250,0.12446657,True
D. monticola,D. apalachicolae,36,0.01507428,0.17867868,0.03017203,0.11936937,0.03017203,0.17867868,True
D. ocoee,D. apalachicolae,35,0.00441258,0.07181467,-0.00073177,0.08030888,0.00441258,0.08030888,True
D. perlapsus,D. apalachicolae,33,0.02038995,0.11302211,0.00617724,0.12694513,0.02038995,0.12694513,True
D. tilleyi,D. apalachicolae,36,-0.00164552,0.09609610,-0.00318080,0.06681682,0.00318080,0.09609610,True
D. valtos,D. apalachicolae,37,-0.00225556,0.08108108,0.00707345,0.08108108,0.00707345,0.08108108,True
D. welteri,D. apalachicolae,38,-0.01654071,0.07539118,0.01996008,0.09174964,0.01996008,0.09174964,True
