species,tree_tip,relative_iod_log10_z,nucleus_area_log10_z,cell_area_log10_z,iod_definition
D. anicetus,anicetus,-0.2538635208105469,-0.7657126019582282,-1.2245453144276486,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. tilleyi,tilleyi,0.2426794589309096,-0.7214492503810034,-0.5009526183017003,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. campi,campi,-0.5022191824879532,-2.137370485722508,-0.7451724868061586,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. ocoee,ocoee,0.2857750612101951,-0.2858741114655039,0.4326473588533329,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. apalachicolae,apalachicolae,-0.1369750397012187,0.176876392652948,0.6283098058795896,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. monticola,monticola,0.3284218372576865,-1.3654366323228555,-0.6530686755998008,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. perlapsus,perlapsus,-0.6921045817493672,-0.3032986028109553,0.4448895020940791,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. brimleyorum,brimleyorum,0.4132266985010221,0.1675755882355398,1.4898111404693946,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. bairdi,bairdi,1.0162406113101086,-0.082585823936801,0.8256004542707576,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. valtos,valtos,2.24465235209772,1.3471423430414733,1.06118509373847,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. auriculatus,auriculatus,0.6475704860767075,1.1606346297602206,1.0883687854839703,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. fuscus,fuscus,0.1567152349083603,0.6183999133659982,-0.2197117119222282,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. welteri,welteri,-0.4223384310935213,1.0490083969883568,0.7783404910018308,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. orestes,orestes,-0.8259559102624026,0.4615861303112527,-0.8151889335514115,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. ochrophaeus,ochrophaeus,-1.0787636127585072,1.8427678919941144,-0.2364815144299328,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. intermedius,intermedius,0.7782145366129967,1.104096251501346,1.3747070077388504,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. marmoratus,marmoratus,0.7302239179714795,0.7819658529705267,-0.1503277631763935,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. mavrokoilius,mavrokoilius,-0.2039896897050828,-0.5282650098165365,-0.3450342181210438,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. kanawha,kanawha,0.431641398538361,-0.7576522260075627,0.2903225559052187,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. aeneus,aeneus,-3.330014951616008,-1.952930811014202,-2.6365216563611678,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. amphileucus,amphileucus,0.5404921194878142,-0.0237965502690802,1.1926097842421717,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. gvnigeusgwotli,gvnigeusgwotli,-0.213651220857003,0.5375523789228374,-0.2326456818493684,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. folkertsi,folkertsi,0.3809483497050739,0.0910281729171223,-0.352560350032324,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
D. wrighti,wrighti,-0.5369259215668477,-0.4142618369564458,-1.4945810550985346,z score of log10 relative nuclear IOD; identical to the saved conditional-pg standardization because the conversion is one positive constant
