"tree_id","tree_role","n_tips","rooted","fully_bifurcating","all_branch_lengths_positive","root_age_myr","root_to_tip_range_before_padding_myr","maximum_terminal_padding_myr","strict_ultrametric_after_padding","minimum_branch_length_myr","maximum_branch_length_myr","rooted_rf_to_focal","rooted_rf_to_published_main","cophenetic_correlation_to_focal","cophenetic_correlation_to_published_main"
"focal","collaborator_focal",18,TRUE,TRUE,TRUE,16.708337,0,0,TRUE,0.344797,11.799855,0,2,1,0.99567475246431
"published_main","stewart_wiens_2025_main",18,TRUE,TRUE,TRUE,13.911802,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.431037,9.265168,2,0,0.99567475246431,1
"published_bootstrap_001","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.168829,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.436332,9.181884,2,0,0.991108236948809,0.996505018101663
"published_bootstrap_002","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.424162,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.428414,9.029027,2,0,0.991822548337719,0.996289020121044
"published_bootstrap_003","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.516645,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.339494,9.835691,2,0,0.990719847448482,0.996803652211631
"published_bootstrap_004","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.202939,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.279533,7.906429,2,0,0.993484001892929,0.999075172160401
"published_bootstrap_005","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.812552,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.260001,8.216115,2,0,0.991830956873056,0.997315612620009
"published_bootstrap_006","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.94557,1.9999999985032e-06,1.9999999985032e-06,TRUE,0.33064,8.76227,2,0,0.994396571317961,0.998480892555919
"published_bootstrap_007","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.913983,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.307085,9.560313,2,0,0.991536008749543,0.997460828010673
"published_bootstrap_008","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.586751,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.386095,9.674464,2,0,0.994710451643355,0.99872424669101
"published_bootstrap_009","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,16.398548,1.00000000102796e-06,1.00000000102796e-06,TRUE,0.396521,11.23756,2,0,0.990738581031896,0.996438610639907
"published_bootstrap_010","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.177114,9.999999992516e-07,9.999999992516e-07,TRUE,0.391713,9.134306,2,0,0.990476923402575,0.995899603184505
"published_bootstrap_011","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.675314,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.349811,7.97928,2,0,0.989608172038393,0.994932125500468
"published_bootstrap_012","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.517093,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.367305,8.925117,2,0,0.986503770469447,0.992441619481809
"published_bootstrap_013","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.686637,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.302533,8.845096,2,0,0.991922038577918,0.996950127470635
"published_bootstrap_014","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.86602,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.432122,9.553693,2,0,0.99220602086101,0.997682357497169
"published_bootstrap_015","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.355608,2.00000000205591e-06,2.00000000205591e-06,TRUE,0.370657,9.197808,2,0,0.991013849960639,0.995832544757246
"published_bootstrap_016","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,13.290585,2.00000000027956e-06,2.00000000027956e-06,TRUE,0.374396,8.814188,2,0,0.990713613295492,0.996710844550327
"published_bootstrap_017","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,12.424782,2.9999999977548e-06,2.9999999977548e-06,TRUE,0.295878,7.907351,2,0,0.987971359719092,0.994693763013366
"published_bootstrap_018","stewart_wiens_2025_time_calibrated_bootstrap",18,TRUE,TRUE,TRUE,14.568455,2.99999999953116e-06,2.99999999953116e-06,TRUE,0.409857,9.885961,2,0,0.994205827808808,0.99897167799955
