phase,family,family_label,n_fits,modal_top_model,modal_top_model_label,modal_top_model_rate,global_fit_pass_rate,unique_top_gate_rate,minimum_top_weight,median_top_weight,maximum_top_weight,minimum_global_p,maximum_global_p,absolute_genome_size_used,publication_claim_allowed
data,integrated,Integrated TE–IOD–morphology,36,te_evenness_chain,LTR → evenness → IOD → nucleus → cell,1.0,1.0,1.0,0.9966315613228,0.9994879231491218,0.9998555731327924,0.3560285153423879,0.8811113788687017,False,False
data,iod_morphology,Relative IOD → morphology,36,iod_nucleus_cell_chain,IOD → nucleus → cell,1.0,1.0,0.8888888888888888,0.5606173330202185,0.9683263396876935,0.9958355101431424,0.2001447275392622,0.9159585594825108,False,False
data,te_iod,TE composition → relative IOD,6,mediated_evenness,LTR → evenness → IOD,1.0,1.0,1.0,0.9983823058756128,0.9990929748303792,0.9995394545615918,0.1182512756201945,0.1450409925639425,False,False
data,terminal_internal_iod,Terminal:internal proxy → relative IOD,6,proxy_null,Null,1.0,0.0,0.0,0.602963119290969,0.6331546747021057,0.6337439057913052,0.0050865153812227,0.008300390540436,False,False
trees,integrated,Integrated TE–IOD–morphology,201,te_evenness_chain,LTR → evenness → IOD → nucleus → cell,1.0,1.0,1.0,0.998402519427146,0.9988631933143588,0.9992080700446098,0.4590668336608672,0.8157397302429372,False,False
trees,iod_morphology,Relative IOD → morphology,201,iod_nucleus_cell_chain,IOD → nucleus → cell,1.0,1.0,1.0,0.9734177694676478,0.973649528576918,0.973996253033709,0.772344608377769,0.7723446113322868,False,False
trees,te_iod,TE composition → relative IOD,201,mediated_evenness,LTR → evenness → IOD,1.0,1.0,1.0,0.9983823058756128,0.9988493600575824,0.9992209486335888,0.1182512764909103,0.1182512819074811,False,False
trees,terminal_internal_iod,Terminal:internal proxy → relative IOD,201,proxy_null,Null,1.0,0.0,0.0,0.6029631182909575,0.6029631208435652,0.6029631255406009,0.0054513218848744,0.0082411635454917,False,False
loo,integrated,Integrated TE–IOD–morphology,18,te_evenness_chain,LTR → evenness → IOD → nucleus → cell,1.0,1.0,0.9444444444444444,0.6953545885755743,0.9923120346735894,0.9991312651087736,0.2609521137444515,0.8685941497229936,False,False
loo,iod_morphology,Relative IOD → morphology,18,iod_nucleus_cell_chain,IOD → nucleus → cell,1.0,1.0,1.0,0.9223680335017588,0.9569434959254572,0.9885873994661464,0.52949267954075,0.9860624217080404,False,False
loo,te_iod,TE composition → relative IOD,18,mediated_evenness,LTR → evenness → IOD,1.0,1.0,1.0,0.9872418847925886,0.9970306762912876,0.9991562328481,0.0597005347344488,0.2710992492224916,False,False
loo,terminal_internal_iod,Terminal:internal proxy → relative IOD,16,proxy_null,Null,0.9375,0.0,0.0,0.4426696300465406,0.6748417628304582,0.8328515427133936,0.0032927854608286,0.0403591353709261,False,False
