fit_id,family,phase,tree_id,morphology_estimator,iod_subset,omitted_species,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,global_fit_pass,finite_ranking_row,release_gate_status,winner_claim_allowed_by_ranking_gate,absolute_genome_size_used,publication_claim_allowed,warning_count
trees__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,1,mediated_evenness,1,5,4.269886913638444,0.11825127649091038,19.269886913638445,0,1,0.9983823058756129,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
trees__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,2,ltr_only,2,4,21.725501251274324,2.2727556491275447e-4,32.802424328197404,13.53253741455896,0.001151985034959362,0.0011501214755369263,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
trees__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,3,additive_composition,1,5,20.87762700889931,2.927392106133464e-5,35.87762700889931,16.607740095260866,2.4755691380325834e-4,2.471564424383474e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
trees__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,4,evenness_only,2,4,25.147513922537755,4.698798309044072e-5,36.224436999460835,16.95455008582239,2.0814511715220004e-4,2.0780840201916308e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
trees__published_main__te_iod__image_balanced_selected50__image_qc_pass__none,te_iod,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,5,proxy_null,3,3,34.11475227037535,6.392707509683682e-6,41.82903798466106,22.55915107102262,1.2628233010939892e-5,1.2607804392596704e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
trees__published_main__iod_morphology__image_balanced_selected50__image_qc_pass__none,iod_morphology,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,1,iod_nucleus_cell_chain,1,5,0.5166488849776948,0.7723446100453728,15.516648884977695,0,1,0.9735866573160713,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
trees__published_main__iod_morphology__image_balanced_selected50__image_qc_pass__none,iod_morphology,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,2,iod_to_nucleus,2,4,11.749501353110867,0.01931457476516185,22.826424430033946,7.309775545056251,0.025864400016515996,0.025181234755565548,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
trees__published_main__iod_morphology__image_balanced_selected50__image_qc_pass__none,iod_morphology,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,3,iod_to_cell,2,4,17.865873683026255,0.001310848485277183,28.94279675994933,13.426147874971637,0.0012149237790060237,0.0011828335808962839,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
trees__published_main__iod_morphology__image_balanced_selected50__image_qc_pass__none,iod_morphology,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,4,morphology_null,3,3,27.5850401823119,1.1246546282794867e-4,35.299325896597615,19.78267701161992,5.061115730847463e-5,4.927434746685567e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
trees__published_main__integrated__image_balanced_selected50__image_qc_pass__none,integrated,trees,published_main,image_balanced_selected50,image_qc_pass,NA,18,1,te_evenness_chain,6,9,7.950369303612168,0.7889967333821732,48.45036930361217,0,1,0.9984025194271461,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,14
