fit_id,family,phase,tree_id,morphology_estimator,iod_subset,omitted_species,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,global_fit_pass,finite_ranking_row,release_gate_status,winner_claim_allowed_by_ranking_gate,absolute_genome_size_used,publication_claim_allowed,warning_count
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__amphileucus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,amphileucus,17,1,mediated_evenness,1,5,3.439345013221843,0.1791248004947844,18.893890467767296,0,1,0.9980434738901589,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__amphileucus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,amphileucus,17,2,ltr_only,2,4,20.856149958520167,3.381564384520308e-4,32.1894832918535,13.295592824086203,0.001296876741058592,0.0012943393678534654,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__amphileucus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,amphileucus,17,3,evenness_only,2,4,23.319345571169585,1.0931781158651788e-4,34.65267890450292,15.758788436735625,3.784622528354813e-4,3.777217815562194e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__amphileucus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,amphileucus,17,4,additive_composition,1,5,19.880000557947742,4.820729118382161e-5,35.33454601249319,16.440655544725896,2.691268381076356e-4,0.00026860028442201906,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__amphileucus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,amphileucus,17,5,proxy_null,3,3,33.146650846111314,9.826031499460264e-6,40.99280469226516,22.098914224497864,1.589577651121585e-5,1.5864676009435458e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__anicetus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,anicetus,17,1,mediated_evenness,1,5,3.978173247172754,0.13682033685986172,19.43271870171821,0,1,0.9974264673858517,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__anicetus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,anicetus,17,2,ltr_only,2,4,20.718705074674475,3.600343477598855e-4,32.05203840800781,12.619319706289602,0.0018186517426842794,0.001813971383110704,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__anicetus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,anicetus,17,3,evenness_only,2,4,23.882027991774457,8.434353907449399e-5,35.21536132510779,15.782642623389584,3.739751106999662e-4,3.7301267355570013e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__anicetus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,anicetus,17,4,additive_composition,1,5,19.903854744601702,4.763573360866413e-5,35.358400199147155,15.925681497428947,3.481626686643838e-4,3.472666606815471e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__anicetus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,anicetus,17,5,proxy_null,3,3,31.870904728741426,1.7274129515354453e-5,39.717058574895276,20.284339873177068,3.938325088090356e-5,3.928189680031037e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
