family,scenario,effect_scale,n_attempted,n_successful,n_failures,modal_top_model,modal_top_model_rate,expected_model_top_rate,expected_unique_supported_rate,false_nonnull_top_rate,false_supported_nonnull_rate,false_unique_nonnull_rate,primary_calibration_rate,primary_rate_ci_low,primary_rate_ci_high,mean_top_weight,top_global_fit_rate
integrated,independent_null,0,200,200,0,integrated_null,0.86,0.86,0.675,0.12,0.12,0.095,0.095,0.06166261364986359,0.14360265114397636,0.8919970483980931,0.85
integrated,observed_chain,0.5,100,100,0,integrated_null,0.62,0.1,0.1,0,0,0,0.1,0.05522854161313613,0.1743673043676654,0.7856235019824543,0.83
integrated,observed_chain,1,100,100,0,te_evenness_chain,0.62,0.62,0.5,0,0,0,0.5,0.40382982859014716,0.5961701714098528,0.80700667979823,0.79
integrated,observed_chain,1.5,100,100,0,te_evenness_chain,1,1,0.81,0,0,0,0.81,0.7222097592919214,0.8748534600729574,0.999999998775274,0.81
iod_morphology,independent_null,0,200,200,0,morphology_null,0.54,0.54,0.18,0.455,0.455,0.2,0.2,0.15045120743928825,0.26085639611170436,0.5745631419776406,0.995
iod_morphology,observed_chain,0.5,100,100,0,iod_nucleus_cell_chain,0.33,0.33,0.19,0,0,0,0.19,0.1251465399270426,0.27779024070807856,0.6247028469823639,0.94
iod_morphology,observed_chain,1,100,100,0,iod_nucleus_cell_chain,0.93,0.93,0.81,0,0,0,0.81,0.7222097592919214,0.8748534600729574,0.8936934774257087,0.92
iod_morphology,observed_chain,1.5,100,100,0,iod_nucleus_cell_chain,1,1,0.85,0,0,0,0.85,0.7671626666784216,0.906940968088377,0.9999997514118817,0.85
te_iod,independent_null,0,200,200,0,proxy_null,0.505,0.505,0.215,0.495,0.495,0.19,0.19,0.14167093792456506,0.250013585744794,0.5292950873797356,1
te_iod,observed_chain,0.5,100,100,0,proxy_null,0.43,0.3,0.19,0,0,0,0.19,0.1251465399270426,0.27779024070807856,0.5634825040082407,0.97
te_iod,observed_chain,1,100,100,0,mediated_evenness,0.93,0.93,0.79,0,0,0,0.79,0.7001985069803768,0.8583445046835422,0.8492914461800536,0.95
te_iod,observed_chain,1.5,100,100,0,mediated_evenness,1,1,0.93,0,0,0,0.93,0.8625032899347025,0.965681175635936,0.9999999999274436,0.93
