parent_node,child_node,child_is_tip,branch_length_myr
internal_01,internal_02,False,4.333818
internal_01,internal_17,False,11.799855
internal_02,internal_03,False,2.595652
internal_02,internal_14,False,9.264644
internal_03,internal_04,False,1.085229
internal_03,internal_10,False,1.824141
internal_04,internal_05,False,0.701927
internal_04,internal_07,False,2.938187
internal_05,internal_06,False,1.528631
internal_05,campi,True,7.991711
internal_06,anicetus,True,6.46308
internal_06,tilleyi,True,6.46308
internal_07,internal_08,False,1.261514
internal_07,perlapsus,True,5.755451
internal_08,internal_09,False,1.156821
internal_08,monticola,True,4.493937
internal_09,ocoee,True,3.337116
internal_09,apalachicolae,True,3.337116
internal_10,internal_11,False,0.356842
internal_10,welteri,True,7.954726
internal_11,internal_12,False,0.344797
internal_11,fuscus,True,7.597884
internal_12,internal_13,False,3.040522
internal_12,auriculatus,True,7.253087
internal_13,bairdi,True,4.212565
internal_13,valtos,True,4.212565
internal_14,internal_15,False,0.605257
internal_14,internal_16,False,0.38556
internal_15,intermedius,True,2.504618
internal_15,marmoratus,True,2.504618
internal_16,mavrokoilius,True,2.724315
internal_16,kanawha,True,2.724315
internal_17,amphileucus,True,4.908482
internal_17,gvnigeusgwotli,True,4.908482
