node,is_tip,tip_label,root_distance_myr
internal_01,False,,0.0
internal_02,False,,4.333818
internal_03,False,,6.92947
internal_04,False,,8.014699
internal_05,False,,8.716626
internal_06,False,,10.245257
anicetus,True,anicetus,16.708337
tilleyi,True,tilleyi,16.708337
campi,True,campi,16.708337
internal_07,False,,10.952886
internal_08,False,,12.2144
internal_09,False,,13.371221
ocoee,True,ocoee,16.708337
apalachicolae,True,apalachicolae,16.708337
monticola,True,monticola,16.708337
perlapsus,True,perlapsus,16.708337
internal_10,False,,8.753611
internal_11,False,,9.110453
internal_12,False,,9.45525
internal_13,False,,12.495771999999999
bairdi,True,bairdi,16.708337
valtos,True,valtos,16.708337
auriculatus,True,auriculatus,16.708337
fuscus,True,fuscus,16.708337
welteri,True,welteri,16.708337
internal_14,False,,13.598462000000001
internal_15,False,,14.203719000000001
intermedius,True,intermedius,16.708337
marmoratus,True,marmoratus,16.708337
internal_16,False,,13.984022000000001
mavrokoilius,True,mavrokoilius,16.708337
kanawha,True,kanawha,16.708337
internal_17,False,,11.799855
amphileucus,True,amphileucus,16.708337
gvnigeusgwotli,True,gvnigeusgwotli,16.708337
