species,scientific_name,manual_review_inclusion,te_sra_accession,te_assembly_accession,observed_richness,shannon_entropy,gini_simpson,relative_iod_index,relative_iod_ci_low,relative_iod_ci_high,n_nuclei,n_images,n_specimens,estimate_support,sample_size_support,quality_match_status,te_diversity_definition,iod_definition
aeneus,D. aeneus,True,SRX19953415,GCA_030264635.1,26,1.6415615542755997,0.6810297452278589,0.5807752,0.54751623,0.66445339,21,2,1,multiple_observed_images,below_prior_minimum_30,limited_overlap,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
amphileucus,D. amphileucus,False,SRX20502537,GCA_032360725.1,27,1.6692123793109566,0.6854680563624103,1.05383997,0.96530353,1.12266622,33,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
anicetus,D. anicetus,False,SRX21425396,GCA_033119125.1,26,1.648241915607768,0.6777849219333228,0.93253949,0.9087134,0.94988342,39,1,1,single_observed_image,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
apalachicolae,D. apalachicolae,False,SRX19952657,GCA_030264955.1,24,1.6022452815015928,0.6602691570923953,0.94947148,0.88586193,1.05030314,37,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
auriculatus,D. auriculatus,False,SRX19953419,GCA_030264895.1,24,1.5446144775957815,0.6329379574554317,1.07135524,0.96657119,1.19782976,36,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
bairdi,D. bairdi,False,SRX21425397,GCA_034783875.1,25,1.5043085507007494,0.6170637259504024,1.1339171,1.1099935,1.16855703,37,1,1,single_observed_image,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
campi,D. campi,False,SRX21425398,GCA_033118305.1,24,1.6100799351014763,0.66171339221648,0.89755933,0.86230245,0.91674989,36,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
fuscus,D. fuscus,False,SRX20497025,GCA_032353935.1,25,1.5502319541322165,0.6363734673130684,0.99338336,0.85719817,1.12216987,35,4,4,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
gvnigeusgwotli,D. gvnigeusgwotli,False,SRX20502827,GCA_032353775.1,27,1.650634271741094,0.6748220840242014,0.93833013,0.88005824,0.96517678,37,1,1,single_observed_image,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
intermedius,D. intermedius,False,SRX20502776,GCA_032275315.1,25,1.6272306670402883,0.6675408915362684,1.09311999,1.02990548,1.15796181,35,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
kanawha,D. kanawha,False,SRX20502939,GCA_032353855.1,25,1.5854523436419612,0.6506449237481554,1.03632827,0.92729366,1.3029321,34,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
marmoratus,D. marmoratus,False,SRX19954879,GCA_031753695.1,26,1.6517559870784253,0.6754899234144134,1.08507404,1.03473747,1.13858954,37,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
mavrokoilius,D. mavrokoilius,False,SRX20503049,GCA_032354855.1,26,1.6031355322846126,0.6595734734770919,0.93972676,0.825411,1.04958846,38,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
monticola,D. monticola,False,SRX19955091,GCA_031753675.1,24,1.59595245725099,0.6593222933992036,1.01999137,0.95269676,1.14860708,36,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
ocoee,D. ocoee,False,SRX19952863,GCA_030264995.1,27,1.6154937082373253,0.6653379090673988,1.01331694,0.94217564,1.07836659,35,3,3,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
orestes,D. orestes,True,SRX19952890,GCA_030264915.1,26,1.5991301585885895,0.6568099187088687,0.8539244,0.74941846,0.99651167,22,3,3,multiple_observed_images,below_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
perlapsus,D. perlapsus,False,SRX20503048,GCA_032275285.1,24,1.6159606651374854,0.6673093538074716,0.87170229,0.78932127,0.98915649,33,3,3,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
tilleyi,D. tilleyi,False,SRX21394251,GCA_034782015.1,25,1.6456204407907735,0.6799240687796417,1.00661664,0.97003872,1.02673288,36,2,2,multiple_observed_images,meets_prior_minimum_30,common_support,classified-conditional superfamily composition; Shannon uses natural logs; Gini-Simpson is 1 - sum(p_i^2); observed richness is audit metadata,relative image-derived nuclear IOD index; not an independently validated absolute genome size
