species,order,divergence_bin_start_pct,hit_count,hit_bp,species_total_hit_bp,fraction_species_hit_bp,percent_species_hit_bp
abditus,DIRS,0,2,68,67156983,1.0125529313906195e-06,0.000101255293139
abditus,DIRS,1,11,1249,67156983,1.8598214872160057e-05,0.001859821487216
abditus,DIRS,2,9,1178,67156983,1.7540990487913966e-05,0.0017540990487913
abditus,DIRS,3,8,1547,67156983,2.3035579189136595e-05,0.0023035579189136
abditus,DIRS,4,32,5619,67156983,8.366963119829251e-05,0.0083669631198292
abditus,DIRS,5,46,11260,67156983,0.0001676668530508,0.0167666853050858
abditus,DIRS,6,53,11728,67156983,0.0001746355996963,0.0174635599696311
abditus,DIRS,7,91,19227,67156983,0.0002862993413506,0.0286299341350697
abditus,DIRS,8,121,29275,67156983,0.0004359189274479,0.0435918927447946
abditus,DIRS,9,168,37476,67156983,0.0005580357890705,0.0558035789070512
abditus,DIRS,10,172,41710,67156983,0.0006210820995338,0.0621082099533863
abditus,DIRS,11,216,51214,67156983,0.0007626012621799,0.0762601262179988
abditus,DIRS,12,208,49722,67156983,0.0007403846596265,0.0740384659626535
abditus,DIRS,13,246,56340,67156983,0.0008389298846256,0.0838929884625698
abditus,DIRS,14,268,60711,67156983,0.0009040161914361,0.0904016191436116
abditus,DIRS,15,271,61815,67156983,0.0009204552860869,0.0920455286086928
abditus,DIRS,16,272,63065,67156983,0.0009390683914433,0.0939068391443373
abditus,DIRS,17,247,58590,67156983,0.0008724334742673,0.08724334742673
abditus,DIRS,18,222,52028,67156983,0.0007747221163881,0.0774722116388105
abditus,DIRS,19,175,43383,67156983,0.0006459938797429,0.064599387974293
abditus,DIRS,20,179,43733,67156983,0.0006512055492427,0.0651205549242734
abditus,DIRS,21,131,30358,67156983,0.0004520453219287,0.0452045321928771
abditus,DIRS,22,117,25680,67156983,0.0003823876364428,0.038238763644281
abditus,DIRS,23,97,22288,67156983,0.0003318791137475,0.033187911374756
abditus,DIRS,24,80,18515,67156983,0.0002756973165396,0.0275697316539666
abditus,DIRS,25,54,11564,67156983,0.0001721935602735,0.0172193560273545
abditus,DIRS,26,42,9470,67156983,0.0001410128861804,0.0141012886180428
abditus,DIRS,27,34,7213,67156983,0.0001074050631488,0.0107405063148831
abditus,DIRS,28,19,4197,67156983,6.249536254480045e-05,0.00624953625448
abditus,DIRS,29,25,5134,67156983,7.644774631999178e-05,0.0076447746319991
abditus,DIRS,30,22,5123,67156983,7.628395099285505e-05,0.0076283950992855
abditus,DIRS,31,21,5301,67156983,7.893445719561286e-05,0.0078934457195612
abditus,DIRS,32,5,1228,67156983,1.828551470217177e-05,0.0018285514702171
abditus,DIRS,33,2,588,67156983,8.755604759671828e-06,0.0008755604759671
abditus,DIRS,34,2,1747,67156983,2.6013676046167828e-05,0.0026013676046167
abditus,DIRS,35,2,444,67156983,6.611375022609339e-06,0.0006611375022609
