species,te_level,observed_richness,shannon_entropy,gini_simpson
abditus,order,10,1.0376923854122757,0.538249271484893
adatsihi,order,10,1.0877895295543303,0.5642321183208947
aeneus,order,10,1.1024614208493533,0.5727123527434934
amphileucus,order,10,1.1273590229229544,0.5777305102124377
anicetus,order,10,1.1003166499118495,0.5724070872553466
apalachicolae,order,10,1.078504628834682,0.5619034382691934
aureatus,order,10,1.0944721806277775,0.5474323147666741
auriculatus,order,10,1.0131506367476684,0.527706274675215
bairdi,order,10,0.9982899183191607,0.5108728146898143
balsameus,order,10,1.09808049988546,0.5709189095813471
campi,order,10,1.0678789098530839,0.5522721190984154
carolinensis,order,10,1.097585648831242,0.5728888784178237
catahoula,order,10,1.0166281758834546,0.5227530666452994
cheaha,order,10,1.0317943575949118,0.5350373228012422
conanti,order,10,1.0770102314116285,0.5636372269685326
fuscus,order,10,1.0300013025476793,0.530038601663851
gvnigeusgwotli,order,10,1.124606127600383,0.573371414583743
intermedius,order,10,1.0978091396749472,0.5633654867604805
kanawha,order,10,1.0673859025536105,0.5443398443151077
lycos,order,10,1.0664845375039658,0.5523541097102229
marmoratus,order,10,1.1109163346836217,0.5723612394904104
mavrokoilius,order,10,1.083799964749871,0.5537915890188452
monticola,order,10,1.0648393313208566,0.5567160073067414
ocoee,order,10,1.072008977619398,0.5581965272520473
orestes,order,10,1.0692893714688678,0.5551043940398965
organi,order,10,1.198269146486237,0.6352683519842167
pascagoula,order,10,1.0064621821753001,0.5270013932872447
perlapsus,order,10,1.0795581312606912,0.5608204077609054
santeetlah,order,10,1.0792030924132183,0.5624673928196082
tilleyi,order,10,1.0999897487263777,0.5754859294303024
valentinei,order,10,1.0121896297105246,0.5317084348684258
valtos,order,10,0.9826705185620753,0.5027805859966843
welteri,order,10,1.0540026020436117,0.5492587819513539
wrighti,order,10,1.2167756293302139,0.6409935606065693
abditus,superfamily,26,1.561818596215006,0.6424343969541766
adatsihi,superfamily,26,1.6047836732386083,0.6618825122017208
aeneus,superfamily,26,1.6415615542755997,0.6810297452278589
amphileucus,superfamily,27,1.6692123793109566,0.6854680563624103
anicetus,superfamily,26,1.648241915607768,0.6777849219333228
apalachicolae,superfamily,24,1.6022452815015928,0.6602691570923953
aureatus,superfamily,25,1.588151559781521,0.6459866994445038
auriculatus,superfamily,24,1.5446144775957817,0.6329379574554317
bairdi,superfamily,25,1.5043085507007494,0.6170637259504024
balsameus,superfamily,26,1.6355699912541708,0.6751950381820644
campi,superfamily,24,1.6100799351014763,0.66171339221648
carolinensis,superfamily,24,1.6367138959589203,0.675579234165643
catahoula,superfamily,25,1.5387093133275553,0.6305171470987243
cheaha,superfamily,26,1.5627265894787141,0.6447906689957638
conanti,superfamily,25,1.6219541893293379,0.6667733463369374
fuscus,superfamily,25,1.5502319541322163,0.6363734673130684
gvnigeusgwotli,superfamily,27,1.650634271741094,0.6748220840242014
intermedius,superfamily,25,1.6272306670402885,0.6675408915362684
kanawha,superfamily,25,1.5854523436419612,0.6506449237481554
lycos,superfamily,25,1.603264673221146,0.6584298135969655
marmoratus,superfamily,26,1.6517559870784253,0.6754899234144134
mavrokoilius,superfamily,26,1.6031355322846126,0.6595734734770919
monticola,superfamily,24,1.59595245725099,0.6593222933992036
ocoee,superfamily,27,1.6154937082373253,0.6653379090673988
orestes,superfamily,26,1.5991301585885895,0.6568099187088687
organi,superfamily,25,1.7297019378055594,0.7186150636355637
pascagoula,superfamily,24,1.5502243178166863,0.642065965579569
perlapsus,superfamily,24,1.6159606651374854,0.6673093538074716
santeetlah,superfamily,24,1.6117329798482591,0.665232387526188
tilleyi,superfamily,25,1.6456204407907735,0.6799240687796417
valentinei,superfamily,25,1.566160662270088,0.6474160463186518
valtos,superfamily,26,1.4693652201093266,0.6025526932659635
welteri,superfamily,26,1.6018719928457643,0.6544343863311871
wrighti,superfamily,26,1.7531936269844572,0.7262558164164014
