te_level,feature,n_species_total,n_species_positive,prevalence_fraction,absent_species,minimum_proportion,median_proportion,mean_proportion,maximum_proportion,pca_included,pca_exclusion_reason
superfamily,Ginger,34,1,0.029411764705882353,"[""abditus"", ""adatsihi"", ""aeneus"", ""amphileucus"", ""anicetus"", ""apalachicolae"", ""aureatus"", ""auriculatus"", ""bairdi"", ""balsameus"", ""campi"", ""carolinensis"", ""catahoula"", ""cheaha"", ""conanti"", ""fuscus"", ""intermedius"", ""kanawha"", ""lycos"", ""marmoratus"", ""mavrokoilius"", ""monticola"", ""ocoee"", ""orestes"", ""organi"", ""pascagoula"", ""perlapsus"", ""santeetlah"", ""tilleyi"", ""valentinei"", ""valtos"", ""welteri"", ""wrighti""]",0.0,0.0,7.358012891664704e-08,2.5017243831659996e-06,False,not_positive_in_all_retry_averaged_te34_species
superfamily,Merlin,34,4,0.11764705882352941,"[""amphileucus"", ""anicetus"", ""apalachicolae"", ""aureatus"", ""auriculatus"", ""bairdi"", ""balsameus"", ""campi"", ""carolinensis"", ""catahoula"", ""cheaha"", ""conanti"", ""fuscus"", ""gvnigeusgwotli"", ""intermedius"", ""kanawha"", ""lycos"", ""marmoratus"", ""mavrokoilius"", ""monticola"", ""orestes"", ""organi"", ""pascagoula"", ""perlapsus"", ""santeetlah"", ""tilleyi"", ""valentinei"", ""valtos"", ""welteri"", ""wrighti""]",0.0,0.0,8.113863378894078e-08,1.355425899003e-06,False,not_positive_in_all_retry_averaged_te34_species
superfamily,Dada,34,9,0.2647058823529412,"[""abditus"", ""adatsihi"", ""aeneus"", ""apalachicolae"", ""aureatus"", ""auriculatus"", ""bairdi"", ""campi"", ""carolinensis"", ""catahoula"", ""conanti"", ""intermedius"", ""kanawha"", ""lycos"", ""marmoratus"", ""mavrokoilius"", ""monticola"", ""organi"", ""pascagoula"", ""perlapsus"", ""santeetlah"", ""tilleyi"", ""valtos"", ""welteri"", ""wrighti""]",0.0,0.0,8.71084812615269e-07,1.0164663134733004e-05,False,not_positive_in_all_retry_averaged_te34_species
superfamily,Chapaev,34,12,0.35294117647058826,"[""abditus"", ""adatsihi"", ""aeneus"", ""anicetus"", ""apalachicolae"", ""auriculatus"", ""balsameus"", ""campi"", ""carolinensis"", ""catahoula"", ""cheaha"", ""conanti"", ""fuscus"", ""lycos"", ""monticola"", ""ocoee"", ""orestes"", ""organi"", ""pascagoula"", ""perlapsus"", ""santeetlah"", ""valentinei""]",0.0,0.0,2.055094788799943e-06,2.1188338826856994e-05,False,not_positive_in_all_retry_averaged_te34_species
superfamily,CR1,34,18,0.5294117647058824,"[""apalachicolae"", ""aureatus"", ""auriculatus"", ""bairdi"", ""campi"", ""carolinensis"", ""fuscus"", ""gvnigeusgwotli"", ""intermedius"", ""kanawha"", ""monticola"", ""pascagoula"", ""perlapsus"", ""santeetlah"", ""tilleyi"", ""valentinei""]",0.0,1.0348457543443899e-07,5.186434991596368e-07,5.386157089669e-06,False,not_positive_in_all_retry_averaged_te34_species
order,DIRS,34,34,1.0,[],0.009807454334241746,0.0163614227251017,0.01748052795008693,0.028880721076138784,True,
order,Helitron,34,34,1.0,[],0.0010761241205655932,0.0016841472218808418,0.0017927102399124977,0.003217249139734045,True,
order,LINE,34,34,1.0,[],0.1387840443495326,0.16840910986246294,0.17304425202368118,0.2637855314023777,True,
order,LTR,34,34,1.0,[],0.5069947308817059,0.6175434059936459,0.6172599779098508,0.6730186804773529,True,
order,Maverick,34,34,1.0,[],0.002122157666757713,0.0038833560151044747,0.004205741822229748,0.008860977948720952,True,
order,PLE,34,34,1.0,[],3.2950836389874e-05,6.61691556944475e-05,6.884748014316599e-05,0.00014010015155928998,True,
order,SINE,34,34,1.0,[],0.006728312583555306,0.010162425770048427,0.010018548138871666,0.012911077487360876,True,
order,TIR,34,34,1.0,[],0.1503306919162816,0.17282058025867542,0.17255122176596382,0.19584611876688857,True,
order,Transposon Derivatives,34,34,1.0,[],0.0011631521127071652,0.001964928190722646,0.00210396275308133,0.006387084949815497,True,
order,YR,34,34,1.0,[],0.0010376356026381953,0.00151181701846202,0.0014742099161788825,0.001939075635428632,True,
superfamily,Academ,34,34,1.0,[],0.00021270268775778204,0.00038485710798239056,0.0003757847092268521,0.0005270733032373499,True,
superfamily,CACTA,34,34,1.0,[],0.007448609892799023,0.009669253877220821,0.009676902782435558,0.012835469831842361,True,
superfamily,Copia,34,34,1.0,[],0.005873692273791956,0.007770030791753219,0.007980336455609707,0.01170462369457323,True,
superfamily,Cyrypton,34,34,1.0,[],0.0012275950399161042,0.00180180936318739,0.0017496704723923566,0.002265555366169157,True,
superfamily,DIRS,34,34,1.0,[],0.06092308532524645,0.07693417291341842,0.07656978712119777,0.08816753666890471,True,
superfamily,EnSpm,34,34,1.0,[],0.00016147909461802898,0.000343425371841431,0.0003541129997617989,0.0006921697117147487,True,
superfamily,Gypsy,34,34,1.0,[],0.4805750049717464,0.5548615677545836,0.554067212209916,0.6113848992274895,True,
superfamily,Helitron,34,34,1.0,[],0.0012826862631072178,0.0019878938711305662,0.002129680707357374,0.0037979320941355006,True,
superfamily,IS3EU,34,34,1.0,[],8.552070261634998e-06,1.8237530269594004e-05,2.014590849841077e-05,5.5021263386487005e-05,True,
superfamily,Jockey,34,34,1.0,[],0.00072685045464973,0.000957672501022966,0.0009685022905659842,0.0013585548097673498,True,
superfamily,Kolobok,34,34,1.0,[],8.1263402065418e-05,0.00017200281138768597,0.0002583761733122125,0.002884434782241322,True,
superfamily,L1,34,34,1.0,[],0.03627224935185543,0.055857362847554784,0.057283042663506645,0.09101936393334091,True,
superfamily,L2,34,34,1.0,[],0.07805321975023226,0.09668217623999442,0.09528078912745108,0.10524334143864934,True,
superfamily,MITE,34,34,1.0,[],0.0014341896609284602,0.002340695377593482,0.0024939369421740696,0.007550411632751946,True,
superfamily,MULE,34,34,1.0,[],6.430225623284699e-05,0.00014762583808078844,0.00014202867573324653,0.0002097608922820471,True,
superfamily,Maverick,34,34,1.0,[],0.0024876306411046227,0.004603655441098,0.004995713700368058,0.010477431141890182,True,
superfamily,Mutator,34,34,1.0,[],0.017984193649457608,0.023758117380985294,0.023958321164686998,0.028041849604203112,True,
superfamily,P,34,34,1.0,[],5.1706540702384995e-05,8.0810555425227e-05,8.460097893606437e-05,0.00013583018369679202,True,
superfamily,PIF-Harbinger,34,34,1.0,[],0.042670797474866434,0.04886856827454296,0.048901326541118624,0.054409452596549966,True,
superfamily,Penelope,34,34,1.0,[],3.876051318646601e-05,7.839794464766e-05,8.165814208742574e-05,0.000162756793540816,True,
superfamily,PiggyBac,34,34,1.0,[],0.000273423352242571,0.00047472682892076847,0.0005195552861176795,0.000822730075306784,True,
superfamily,Tc1-mariner,34,34,1.0,[],0.009300303319500837,0.013195643702374131,0.012961981082649896,0.016165475436719496,True,
superfamily,hAT,34,34,1.0,[],0.08543314729308014,0.09737681460081457,0.0982409401620893,0.1133820807036394,True,
superfamily,tRNA,34,34,1.0,[],0.0004010150720578489,0.0007700815625805507,0.000901994160943666,0.002623290458363536,True,
