species,DIRS,Helitron,LINE,LTR,Maverick,PLE,SINE,TIR,Transposon Derivatives,YR
abditus,0.01422396476409308,0.001645915878239484,0.16702126575756382,0.6378693198311491,0.003873265636222111,8.3097701201179e-05,0.008246234827669247,0.1633465913540212,0.0022913768080547988,0.00139896744178596
adatsihi,0.01813133820293839,0.00168063190174014,0.17829576881786763,0.6113381657839777,0.003571138563863565,0.00010990589593495701,0.01043288326147548,0.17257900513364782,0.0019220868031257221,0.001939075635428632
aeneus,0.01536383797124239,0.001218680985346038,0.20363908620596124,0.6005511880637007,0.008860977948720952,5.9027965005605e-05,0.00951538625703426,0.15730321197307134,0.0015725760896934142,0.0019160265402240258
amphileucus,0.024703653516032577,0.0030903921841880194,0.15798132414938493,0.5984727175923306,0.0037096925805313523,0.00010052058790672902,0.011972058073870681,0.19584611876688857,0.0026406529798208875,0.0014828695690457172
anicetus,0.018179393660132662,0.0017703772824902292,0.17890358982287188,0.602211739295599,0.0025383047234935232,5.847912197612001e-05,0.012442760559756285,0.18006985172453113,0.002109369965972599,0.0017161338431767041
apalachicolae,0.016645033214792975,0.0016459565703742258,0.17788751890209603,0.6130982445801609,0.0031556589116921462,7.600239289655899e-05,0.010075585558552248,0.1736801869288302,0.0020933770445136805,0.0016424358960908578
aureatus,0.026910288405859774,0.0027520457044717416,0.1387840443495326,0.6338923400225781,0.0038934463939868384,7.087851360447498e-05,0.01134215741386721,0.17484154700806973,0.006387084949815497,0.0011261672382139047
auriculatus,0.01094212531443477,0.0011270295836727352,0.15258771722063352,0.647548466251707,0.0058828973032663216,3.762520784608401e-05,0.007261387085409331,0.1716937493406561,0.0018813670897360735,0.0010376356026381953
bairdi,0.013958902960088927,0.001190160408902923,0.15101245241350467,0.6657161897296119,0.005095527714342771,3.2950836389874e-05,0.0087569499945817,0.1511301762567549,0.001944629286368535,0.001162060399453728
balsameus,0.01943533248243372,0.001685154235661406,0.1786407581400148,0.6038916213614225,0.003477005361653911,0.00014010015155928998,0.010422702578266614,0.17881852736209236,0.001828653488756771,0.001660144838138642
campi,0.015427035141015613,0.0014107448728962481,0.1677074440495392,0.6244755652849422,0.0040201510023495785,4.475503502368401e-05,0.012911077487360876,0.170893539640559,0.0017577620500219481,0.001351925436291771
carolinensis,0.018338541646590937,0.002005801649558821,0.17799344565981937,0.6010080866809895,0.002122157666757713,7.9192473155987e-05,0.01077876853038278,0.1837112884053975,0.002100838837929657,0.001861878449417774
catahoula,0.014442978590043606,0.0013820824543909608,0.1502196894159788,0.6540214471193906,0.0033450400612308265,6.773626991778299e-05,0.009404848649226347,0.16315016932545376,0.0026640956179332068,0.001301912496433972
cheaha,0.015110457271706377,0.0013806095878861429,0.1552132210892217,0.6412815673402514,0.0026245132565167707,5.808762074013499e-05,0.009738527890738643,0.17114760857389305,0.0019262714702078818,0.0015191358988377076
conanti,0.014555094090120062,0.0017051697782376834,0.18319438705916183,0.6103958175628765,0.003023965276874048,6.363709874041102e-05,0.010739958844512119,0.17284130629023103,0.0019719702723923235,0.0015086937268542434
fuscus,0.014372898270326196,0.0014999017412696812,0.16359921687490772,0.6469634795975235,0.004976283035455974,4.5735613245865006e-05,0.009211603144384434,0.1559169861815483,0.0022397201434903517,0.001174175397847909
