species,candidate_id,representation,k,cluster,cluster_size,mean_silhouette,candidate_status,rejection_reasons,PC1,PC2,reproductive_strategy,max_svl_mm,aquaticity_index
amphileucus,singleton_free_k2,all_23_pcs,2,C1,9,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.8811924812777582,-0.6386926015408846,aquatic_eggs,122,1
aureatus,singleton_free_k2,all_23_pcs,2,C1,9,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.1207342151098287,-1.0649004168247485,aquatic_eggs,73,2
gvnigeusgwotli,singleton_free_k2,all_23_pcs,2,C1,9,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.5918031055138089,-0.6862911288491759,aquatic_eggs,86,1
intermedius,singleton_free_k2,all_23_pcs,2,C1,9,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.0779544867505741,-0.4503298845662378,aquatic_eggs,85,2
kanawha,singleton_free_k2,all_23_pcs,2,C1,9,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.3428699878755374,-0.2901157810798501,aquatic_eggs,87,1
marmoratus,singleton_free_k2,all_23_pcs,2,C1,9,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.5748050147720736,0.2080426767022374,aquatic_eggs,76,2
mavrokoilius,singleton_free_k2,all_23_pcs,2,C1,9,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.9075150506899744,-0.0178992932705437,aquatic_eggs,80,1
organi,singleton_free_k2,all_23_pcs,2,C1,9,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-1.3391794671241628,-0.0752811753739413,direct_development,31,1
wrighti,singleton_free_k2,all_23_pcs,2,C1,9,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-1.1044026803601972,0.3744656633144042,direct_development,29,1
abditus,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.0094689333119827,-0.3615559457234346,terrestrial_eggs_aquatic_larvae,44,1
adatsihi,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.0040485470398098,-0.4123103248850717,terrestrial_eggs_aquatic_larvae,50,1
aeneus,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,-0.1534603296878456,0.5716788941728838,direct_development,31,1
anicetus,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.3564777862827991,0.3337979668917226,terrestrial_eggs_aquatic_larvae,51,1
apalachicolae,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.5112638590239905,-0.6720626388303654,terrestrial_eggs_aquatic_larvae,57,1
auriculatus,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.0917330230531138,0.3966332345203461,terrestrial_eggs_aquatic_larvae,60,3
bairdi,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.1491836715587605,1.1565234204499883,terrestrial_eggs_aquatic_larvae,55,1
balsameus,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.1364572684447418,-0.2439991246366507,terrestrial_eggs_aquatic_larvae,54,1
campi,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.6446896501638557,0.2263234796210211,terrestrial_eggs_aquatic_larvae,57,1
carolinensis,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.4570546865407697,-0.3778679906086176,terrestrial_eggs_aquatic_larvae,49,1
catahoula,singleton_free_k2,all_23_pcs,2,C2,25,0.1789822345286468,rejected,gap_not_supported;mean_silhouette_below_0.25;feature_instability;species_subsample_instability,0.2453089533596483,-0.0083205344437959,terrestrial_eggs_aquatic_larvae,64,
