species,te_level,composition_mode,feature,closed_proportion,clr_value
abditus,order,classified_conditional,DIRS,0.01422396476409308,0.4582924228412377
abditus,order,classified_conditional,Helitron,0.001645915878239484,-1.6983387845436928
abditus,order,classified_conditional,LINE,0.16702126575756382,2.9214853654631856
abditus,order,classified_conditional,LTR,0.6378693198311491,4.261497655801648
abditus,order,classified_conditional,Maverick,0.003873265636222111,-0.8425377938488294
abditus,order,classified_conditional,PLE,8.3097701201179e-05,-4.684374019257923
abditus,order,classified_conditional,SINE,0.008246234827669247,-0.08687906706565318
abditus,order,classified_conditional,TIR,0.1633465913540212,2.899238491985373
abditus,order,classified_conditional,Transposon Derivatives,0.0022913768080547988,-1.367482915585315
abditus,order,classified_conditional,YR,0.00139896744178596,-1.8609013557900322
adatsihi,order,classified_conditional,DIRS,0.018131338202938385,0.6084318227218688
adatsihi,order,classified_conditional,Helitron,0.0016806319017401395,-1.7700401561619685
adatsihi,order,classified_conditional,LINE,0.1782957688178676,2.894233783051516
adatsihi,order,classified_conditional,LTR,0.6113381657839776,4.126440258043694
adatsihi,order,classified_conditional,Maverick,0.003571138563863564,-1.016325540447796
adatsihi,order,classified_conditional,PLE,0.00010990589593495699,-4.497340781677211
adatsihi,order,classified_conditional,SINE,0.010432883261475479,0.05575265922437289
adatsihi,order,classified_conditional,TIR,0.1725790051336478,2.861645121550432
adatsihi,order,classified_conditional,Transposon Derivatives,0.0019220868031257217,-1.6357985384005147
adatsihi,order,classified_conditional,YR,0.0019390756354286315,-1.626998627904392
aeneus,order,classified_conditional,DIRS,0.01536383797124239,0.4910215720036053
aeneus,order,classified_conditional,Helitron,0.001218680985346038,-2.0432258781054085
aeneus,order,classified_conditional,LINE,0.20363908620596124,3.0753542492992
aeneus,order,classified_conditional,LTR,0.6005511880637007,4.156852887867718
aeneus,order,classified_conditional,Maverick,0.008860977948720952,-0.059337855938291106
aeneus,order,classified_conditional,PLE,5.9027965005605e-05,-5.070738956648656
aeneus,order,classified_conditional,SINE,0.00951538625703426,0.011915102039164793
aeneus,order,classified_conditional,TIR,0.15730321197307134,2.817180236841428
aeneus,order,classified_conditional,Transposon Derivatives,0.0015725760896934142,-1.788279896279385
aeneus,order,classified_conditional,YR,0.0019160265402240258,-1.5907414610793715
amphileucus,order,classified_conditional,DIRS,0.024703653516032577,0.8138938255430657
amphileucus,order,classified_conditional,Helitron,0.0030903921841880194,-1.2647593194761448
amphileucus,order,classified_conditional,LINE,0.15798132414938493,2.6694195016731603
amphileucus,order,classified_conditional,LTR,0.5984727175923306,4.001323616536688
amphileucus,order,classified_conditional,Maverick,0.0037096925805313523,-1.0821083119856825
amphileucus,order,classified_conditional,PLE,0.00010052058790672902,-4.6904500404508385
amphileucus,order,classified_conditional,SINE,0.011972058073870681,0.08951811800518517
amphileucus,order,classified_conditional,TIR,0.19584611876688857,2.884271919758085
amphileucus,order,classified_conditional,Transposon Derivatives,0.0026406529798208875,-1.4220310953655098
amphileucus,order,classified_conditional,YR,0.0014828695690457172,-1.9990782142380032
anicetus,order,classified_conditional,DIRS,0.018179393660132662,0.6850591715455359
anicetus,order,classified_conditional,Helitron,0.0017703772824902292,-1.6440368867987551
anicetus,order,classified_conditional,LINE,0.17890358982287188,2.971617491780136
anicetus,order,classified_conditional,LTR,0.602211739295599,4.185379545252539
anicetus,order,classified_conditional,Maverick,0.0025383047234935232,-1.283733138116407
anicetus,order,classified_conditional,PLE,5.847912197612001e-05,-5.054315042361262
anicetus,order,classified_conditional,SINE,0.012442760559756285,0.30590940802121747
anicetus,order,classified_conditional,TIR,0.18006985172453113,2.978115276128994
anicetus,order,classified_conditional,Transposon Derivatives,0.002109369965972599,-1.4688402560456684
anicetus,order,classified_conditional,YR,0.0017161338431767041,-1.6751555694063303
apalachicolae,order,classified_conditional,DIRS,0.016645033214792982,0.5936511745423996
apalachicolae,order,classified_conditional,Helitron,0.0016459565703742264,-1.7201389750063427
apalachicolae,order,classified_conditional,LINE,0.1778875189020961,2.9626907423041793
apalachicolae,order,classified_conditional,LTR,0.6130982445801612,4.200064499613422
apalachicolae,order,classified_conditional,Maverick,0.003155658911692147,-1.069263370964495
apalachicolae,order,classified_conditional,PLE,7.600239289655902e-05,-4.795451145674726
apalachicolae,order,classified_conditional,SINE,0.010075585558552251,0.09165453413510338
apalachicolae,order,classified_conditional,TIR,0.17368018692883025,2.938754909888148
apalachicolae,order,classified_conditional,Transposon Derivatives,0.0020933770445136814,-1.4796821192332041
apalachicolae,order,classified_conditional,YR,0.0016424358960908584,-1.7222802496044816
aureatus,order,classified_conditional,DIRS,0.026910288405859777,0.8957423946168594
aureatus,order,classified_conditional,Helitron,0.002752045704471742,-1.3844217598250301
aureatus,order,classified_conditional,LINE,0.13878404434953262,2.5361527997230913
aureatus,order,classified_conditional,LTR,0.6338923400225782,4.055112841840041
aureatus,order,classified_conditional,Maverick,0.003893446393986839,-1.0374715596260327
aureatus,order,classified_conditional,PLE,7.0878513604475e-05,-5.043554230984468
aureatus,order,classified_conditional,SINE,0.011342157413867212,0.03176024085338458
aureatus,order,classified_conditional,TIR,0.17484154700806975,2.767113830604028
aureatus,order,classified_conditional,Transposon Derivatives,0.006387084949815498,-0.5424883125716162
aureatus,order,classified_conditional,YR,0.001126167238213905,-2.2779462446302476
auriculatus,order,classified_conditional,DIRS,0.010942125314434769,0.3623866748107689
auriculatus,order,classified_conditional,Helitron,0.001127029583672735,-1.9106478887285476
auriculatus,order,classified_conditional,LINE,0.1525877172206335,2.9975062522025877
auriculatus,order,classified_conditional,LTR,0.6475484662517069,4.442960268753352
auriculatus,order,classified_conditional,Maverick,0.00588289730326632,-0.2581839941676609
auriculatus,order,classified_conditional,PLE,3.7625207846084005e-05,-5.310314405153048
auriculatus,order,classified_conditional,SINE,0.007261387085409329,-0.047662504189442956
auriculatus,order,classified_conditional,TIR,0.17169374934065607,3.115478989328677
auriculatus,order,classified_conditional,Transposon Derivatives,0.001881367089736073,-1.398234685403641
auriculatus,order,classified_conditional,YR,0.001037635602638195,-1.9932887074530452
bairdi,order,classified_conditional,DIRS,0.01395890296008893,0.581386392606781
bairdi,order,classified_conditional,Helitron,0.0011901604089029232,-1.88064302168217
bairdi,order,classified_conditional,LINE,0.1510124524135047,2.9626311826106955
bairdi,order,classified_conditional,LTR,0.665716189729612,4.446132321050477
bairdi,order,classified_conditional,Maverick,0.0050955277143427714,-0.42636788086288924
bairdi,order,classified_conditional,PLE,3.295083638987401e-05,-5.46746975186674
bairdi,order,classified_conditional,SINE,0.008756949994581702,0.11511655306843416
bairdi,order,classified_conditional,TIR,0.15113017625675493,2.9634104427218926
bairdi,order,classified_conditional,Transposon Derivatives,0.0019446292863685355,-1.3896597564825237
bairdi,order,classified_conditional,YR,0.0011620603994537283,-1.904536481163964
balsameus,order,classified_conditional,DIRS,0.01943533248243372,0.6671589107091083
balsameus,order,classified_conditional,Helitron,0.001685154235661406,-1.7780766667221988
balsameus,order,classified_conditional,LINE,0.1786407581400148,2.8854430906226503
balsameus,order,classified_conditional,LTR,0.6038916213614225,4.103460986147726
balsameus,order,classified_conditional,Maverick,0.003477005361653911,-1.0537623657956283
balsameus,order,classified_conditional,PLE,0.00014010015155928998,-4.265331504700764
balsameus,order,classified_conditional,SINE,0.010422702578266614,0.04405260635835795
balsameus,order,classified_conditional,TIR,0.17881852736209236,2.886437717109878
balsameus,order,classified_conditional,Transposon Derivatives,0.001828653488756771,-1.6963538633274613
balsameus,order,classified_conditional,YR,0.001660144838138642,-1.7930289104016754
campi,order,classified_conditional,DIRS,0.015427035141015613,0.5872376536102175
campi,order,classified_conditional,Helitron,0.0014107448728962481,-1.8047660017575602
campi,order,classified_conditional,LINE,0.1677074440495392,2.9733372116214887
campi,order,classified_conditional,LTR,0.6244755652849422,4.288028356647172
campi,order,classified_conditional,Maverick,0.0040201510023495785,-0.7575643806084233
campi,order,classified_conditional,PLE,4.475503502368401e-05,-5.2554351714022385
campi,order,classified_conditional,SINE,0.012911077487360876,0.4092018175216259
campi,order,classified_conditional,TIR,0.170893539640559,2.992156942113419
campi,order,classified_conditional,Transposon Derivatives,0.0017577620500219481,-1.5848424078664376
campi,order,classified_conditional,YR,0.001351925436291771,-1.8473540198792655
carolinensis,order,classified_conditional,DIRS,0.018338541646590937,0.6733219901325085
carolinensis,order,classified_conditional,Helitron,0.002005801649558821,-1.5396391498339348
carolinensis,order,classified_conditional,LINE,0.17799344565981937,2.9460637715782534
carolinensis,order,classified_conditional,LTR,0.6010080866809895,4.162925433920673
carolinensis,order,classified_conditional,Maverick,0.002122157666757713,-1.4832496174515963
carolinensis,order,classified_conditional,PLE,7.9192473155987e-05,-4.771556976487243
carolinensis,order,classified_conditional,SINE,0.01077876853038278,0.14189536654167334
carolinensis,order,classified_conditional,TIR,0.1837112884053975,2.977682484652969
carolinensis,order,classified_conditional,Transposon Derivatives,0.002100838837929657,-1.4933462442950542
carolinensis,order,classified_conditional,YR,0.001861878449417774,-1.6140970587582544
catahoula,order,classified_conditional,DIRS,0.01444297859004361,0.5118104539386623
catahoula,order,classified_conditional,Helitron,0.001382082454390961,-1.8348065451471536
catahoula,order,classified_conditional,LINE,0.15021968941597882,2.8537008869246803
catahoula,order,classified_conditional,LTR,0.6540214471193907,4.3247422128767505
catahoula,order,classified_conditional,Maverick,0.0033450400612308273,-0.950919261843139
catahoula,order,classified_conditional,PLE,6.7736269917783e-05,-4.850531429603626
catahoula,order,classified_conditional,SINE,0.009404848649226348,0.08282743823397887
catahoula,order,classified_conditional,TIR,0.1631501693254538,2.9362731290868975
catahoula,order,classified_conditional,Transposon Derivatives,0.002664095617933207,-1.1785332871516925
catahoula,order,classified_conditional,YR,0.0013019124964339722,-1.8945635973153578
cheaha,order,classified_conditional,DIRS,0.01511045727170638,0.5996252757558667
cheaha,order,classified_conditional,Helitron,0.001380609587886143,-1.7932366309364483
cheaha,order,classified_conditional,LINE,0.15521322108922173,2.929038028627719
cheaha,order,classified_conditional,LTR,0.6412815673402515,4.3477068601706765
cheaha,order,classified_conditional,Maverick,0.002624513256516771,-1.1508663101625132
cheaha,order,classified_conditional,PLE,5.8087620740135e-05,-4.961564468906249
cheaha,order,classified_conditional,SINE,0.009738527890738645,0.16032820272659887
cheaha,order,classified_conditional,TIR,0.17114760857389308,3.02676462926362
cheaha,order,classified_conditional,Transposon Derivatives,0.0019262714702078822,-1.460175509216632
cheaha,order,classified_conditional,YR,0.001519135898837708,-1.6976200773226413
conanti,order,classified_conditional,DIRS,0.014555094090120055,0.49745164381977336
conanti,order,classified_conditional,Helitron,0.0017051697782376827,-1.64682471535333
conanti,order,classified_conditional,LINE,0.18319438705916175,3.0300584156369395
conanti,order,classified_conditional,LTR,0.6103958175628763,4.2336182301751855
conanti,order,classified_conditional,Maverick,0.0030239652768740467,-1.0739204220742087
conanti,order,classified_conditional,PLE,6.363709874041099e-05,-4.935048062979167
conanti,order,classified_conditional,SINE,0.010739958844512114,0.19348185928088935
conanti,order,classified_conditional,TIR,0.17284130629023095,2.9718844710252545
conanti,order,classified_conditional,Transposon Derivatives,0.0019719702723923226,-1.5014562165953214
conanti,order,classified_conditional,YR,0.0015086937268542428,-1.76924520293601
fuscus,order,classified_conditional,DIRS,0.014372898270326196,0.5256480340362923
fuscus,order,classified_conditional,Helitron,0.0014999017412696812,-1.7342967345337872
fuscus,order,classified_conditional,LINE,0.16359921687490772,2.957723302652858
fuscus,order,classified_conditional,LTR,0.6469634795975235,4.332593512478199
fuscus,order,classified_conditional,Maverick,0.004976283035455974,-0.5350131007411232
fuscus,order,classified_conditional,PLE,4.5735613245865006e-05,-5.224574335962354
fuscus,order,classified_conditional,SINE,0.009211603144384434,0.08076756606604452
fuscus,order,classified_conditional,TIR,0.1559169861815483,2.9096273910748627
fuscus,order,classified_conditional,Transposon Derivatives,0.0022397201434903517,-1.3333454125561426
fuscus,order,classified_conditional,YR,0.001174175397847909,-1.9791302225148453
gvnigeusgwotli,order,classified_conditional,DIRS,0.025090541228573633,0.772057567450898
gvnigeusgwotli,order,classified_conditional,Helitron,0.003217249139734045,-1.2819066741804699
gvnigeusgwotli,order,classified_conditional,LINE,0.15541189973092,2.5956456456665196
gvnigeusgwotli,order,classified_conditional,LTR,0.6040273239428557,3.9531860710472104
gvnigeusgwotli,order,classified_conditional,Maverick,0.004994791339875873,-0.842037726751026
gvnigeusgwotli,order,classified_conditional,PLE,0.00013260756241760795,-4.470794535229998
gvnigeusgwotli,order,classified_conditional,SINE,0.011039732886119627,-0.04893251872198601
