representation,n_pcs,cumulative_variance_explained,k,kmeans_seed,kmeans_nstart,within_cluster_sum_squares,mean_silhouette,median_silhouette,minimum_silhouette,calinski_harabasz,davies_bouldin,minimum_cluster_size,singleton_count,cluster_sizes_ascending,gap_d1,gap_d1_se,gap_d2,gap_d2_se,unconstrained_silhouette_best,singleton_free_silhouette_best,passes_minimum_cluster_size,passes_downstream_cluster_size,passes_mean_silhouette,gap_supported,passes_feature_stability,passes_species_stability,passes_six_pc_sensitivity,accepted_cluster_solution
all_23_pcs,23,1,1,20260811,1000,48.020734585784986,,,,,,34,0,34,0.32537255432040624,0.034331780241125036,0.6256644515064047,0.07357654948186895,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all_23_pcs,23,1,2,20260812,1000,39.868802401370914,0.1789822345286468,0.19627965756930518,0.07062902692843374,6.543006415770352,1.822795082114615,9,0,9;25,0.22944648741881934,0.02985421987184749,0.39575844532435056,0.06027783693939271,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
all_23_pcs,23,1,3,20260813,1000,32.59066158657345,0.1925660387362052,0.2110231132872238,0,7.338486543222229,1.3323193521961607,1,1,1;9;24,0.2224500770435327,0.030171114286877423,0.4236366380612808,0.06000875410509806,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all_23_pcs,23,1,4,20260814,1000,27.3488322934043,0.1570890439208179,0.14856921953171767,-0.047615282566522206,7.55860508800082,1.3645560036806683,1,1,1;9;12;12,0.2502081948348014,0.0301622157374695,0.45498281515667927,0.06014700707690613,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all_23_pcs,23,1,5,20260815,1000,23.01056894971067,0.20085896449140175,0.20051439902361365,-0.047615282566522206,7.880018145480002,1.2077485547506162,1,1,1;2;7;12;12,0.26953818703726773,0.030858291253491335,0.5045436606709033,0.06075077975360782,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all_23_pcs,23,1,6,20260816,1000,19.38935605286443,0.22244639950752304,0.22757538559336324,-0.07275776563195237,8.269264814530466,1.0918343493466054,1,1,1;2;4;7;9;11,0.2973318640054119,0.031296445191216694,0.5660394371200352,0.06118543604009342,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all_23_pcs,23,1,7,20260817,1000,17.2544427588364,0.2280589132065902,0.2492903066980388,-0.07275776563195237,8.023922601056823,0.9803254647993568,1,2,1;1;2;4;6;9;11,0.30059186497423385,0.03214764409283067,0.5814837370564878,0.06216424274696317,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
all_23_pcs,23,1,8,20260818,1000,15.28336467700276,0.2122021138495696,0.23258382416315596,-0.03744541094817113,7.9560978845479715,1.043526750334753,1,2,1;1;2;4;5;5;6;10,0.31114010385825774,0.03295519266604378,0.6074642348914523,0.06308111613150506,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
first_6_pcs,6,0.8667019785606025,1,20261011,1000,41.619665677433375,,,,,,34,0,34,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
first_6_pcs,6,0.8667019785606025,2,20261012,1000,33.49701183621342,0.21406426486229754,0.21246474344018185,0.0848592933174845,7.759645074908929,1.6154156298225069,9,0,9;25,,,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
