superfamily,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Academ,-0.129872102080823,-0.1737466157520843,-0.1339768034612583,-0.1407067569954278,-0.1691858582596746,0.2524577516679423,-0.0237590585835641,0.0873775679454226,-0.2024147282099693,0.1609573867133012,0.3387179214809854,0.2468897519839357,-0.4218258669731989,0.0117595211289498,0.235235966363451,0.1069041963369044,0.4447232954707451,0.1456963980103776,0.2484402433481559,-0.0197697343460535,0.0294241220214315,0.0059890983011897,0.0595643544173013
CACTA,-0.0691471877859527,-0.0620296615953327,-0.0039852703737369,0.0214826615303363,-0.0338019779170076,0.0542850930307584,-0.1386444476027923,-0.0350583713763462,0.0523948412139417,-0.1001831070386623,-0.1683939701071136,-0.1722311875811269,-0.1220950412940368,-0.262085876543797,0.4741652553304874,-0.0870806862059813,-0.3101674905433559,-0.3694958161851911,0.2953520825207941,0.0927424860534277,0.4409397865185673,-0.0908597112860952,0.0813864588340881
Copia,-0.138638038365961,-0.0794253123148145,-0.1062591619270631,-0.0293139778628596,-0.0331043478715265,0.156583913526098,-0.0910761458148431,-0.0691081335222583,-0.1086951148890957,-0.0252770651603431,-0.0534434437665732,-0.2209521636403473,0.0129675844860102,-0.0171639847940147,-0.43725611375718,-0.0919849176792047,0.0502692519634521,0.2908680334137761,-0.1265711251672145,-0.2616316419542986,0.5712356898067296,-0.258238410354233,-0.2304832554832313
Cyrypton,-0.0609285389084374,-0.0375444577177965,-0.1263494626151837,-0.12944595716795,-0.2532456956247118,0.0975765173311938,0.0995538907645275,0.0390920851735826,-0.0205096658562001,0.0520467391302825,0.1469089142174397,0.5014315114865914,0.0785280575131257,-0.2820878537081561,-0.122955755148558,-0.1753983407651916,-0.2896549670770318,-0.3575031815433108,-0.3119734834929611,-0.2928964869895006,-0.0704386982347257,0.105775844634073,-0.1290527472061605
DIRS,-0.0551281786157112,-0.0182909569572289,-0.0058734884854333,0.0521625273287353,-0.1029506274663509,0.0726368581051704,-0.0074968359687802,0.1744781161766453,-7.008719423099662e-05,-0.1649956616977219,-0.0697659102129166,-0.0178413928950641,0.1788201482121498,-0.3791080769542146,-0.3218696453558324,0.1860418368100547,0.3135801730185337,-0.1406293513416821,-0.09091734190524,0.5986677331617954,0.0950164429323519,0.2429440276269835,0.0817435292376526
EnSpm,0.2096416508734074,0.1679255425160375,0.1921381267109584,-0.1301300304698446,-0.381200556240542,-0.2843117972325727,0.4064434556980611,-0.2951661924879145,-0.2803869753172764,-0.3429662690884679,0.0158894908085637,-0.1319985435948982,-0.3070478519345276,0.1404293928268931,-0.0144800427797507,-0.023860828856259,-0.0091985808859112,-0.0196216992292987,-0.1230505352587079,0.0704031833777761,0.0399995998290963,0.0241571481333576,0.0491893516508922
Gypsy,0.0352764633848057,0.0926727902230267,0.0521612638568181,0.124001852975066,-0.0697902101960522,-0.1245063991687413,-0.0248079053513978,0.0255393389465433,-0.008809299971873,-0.1344525634592394,-0.1745853830415552,-0.0098952542752714,0.1210215122383914,-0.1644283218127329,-0.1329303432023182,-0.0307695571493653,0.0424735022140068,0.18110611219838,0.5436825773388623,-0.4334575505181718,-0.0874287519160521,0.5234403889366572,-0.0040942651675589
Helitron,-0.2160395706045904,-0.301947935519987,0.0338567214222861,-0.0473435171394533,0.2168407734381713,0.1786316931264598,-0.0088229118633624,-0.0044263267861962,-0.1967176515297172,-0.0525467465790502,0.356599793792554,-0.4726480652130896,0.0078452540708745,0.0624990414316368,0.0444420882461814,-0.2240328719781091,-0.2565690697868832,0.0555588367230944,-0.1567859156772219,0.0794737139064719,-0.2340875102543936,0.3676520366185986,-0.0119958652496974
IS3EU,-0.330222068092191,0.51917823645658,-0.2209655453853433,-0.489386491540787,0.4718520766798999,-0.2103793223993474,0.0409245865966701,0.0438511952461398,-0.0404958964935376,-0.0529164427824163,-0.0578260341771545,0.0291183338724524,-0.0550281203442968,-0.051657473540543,0.039910845897232,0.0288850308518658,0.0507249521683987,-0.004364156430674,-0.0279750600378221,-0.0018152118468879,-0.0254872061341826,-0.0025434735344961,0.0111597457153602
Jockey,-0.0438243074932805,-0.0072794480445204,-0.0105904785891008,0.0462583808326522,0.0101524169474308,0.0883494598272451,0.0951359917497032,-0.0891154133868184,-0.3441038390175753,-0.0881475145468952,-0.0342930820410162,0.284890732962891,0.6515248117984099,0.3666636200762296,0.3124169343093869,0.0677670936367296,-0.0080844517883275,0.1224770557704208,0.0297268453731498,0.117630796038191,0.1659442143396318,0.0115168053208661,-0.0459366560093177
Kolobok,0.7818979264471702,-0.073285576630759,-0.4339910425454516,-0.0477156199133477,0.3205878784080031,0.1224102987063153,-0.0650494687387744,-0.0807033669710762,-0.07252988064009,-0.0326957385989869,-0.0448464968468251,-0.0049737065026301,-0.0411704918258559,-0.0606208934134431,0.0150682986698096,-0.0455026520169411,0.0397165644076291,-0.0039322606825838,-0.0563368176060217,0.0048999820593047,-0.0248737426200154,0.0315033079106112,0.0057432107431022
L1,0.0083353440738198,0.2940253005496389,-0.2574972989149244,0.0439641858847855,-0.4001604070487037,-0.0127346450810958,-0.3626899143385668,0.1753284467772082,0.0841573420852223,0.3158363928164812,-0.1953243492210524,-0.0674022961496846,-0.1348883638913263,0.3862939076948072,-0.0088417092971643,-0.0618322915115641,-0.2092856557837693,0.1034724646739209,-0.1208277067833348,0.194677232676656,-0.0108107573489656,0.22986870921584,0.0137694690973356
L2,-0.020794898056975,0.0173387736631368,-0.0650457563552494,-0.0147546062745524,-0.1485330468464513,0.0529629780778034,0.068013078697489,0.0251068500346023,-0.03861252557307,-0.0278884420222629,-0.0516417554653429,0.036309833075178,0.0588651744175583,-0.2862665775874726,-0.0573166437590388,-0.1595203160160164,-0.2915310571621469,0.3982139380651613,0.2761093787771916,0.2590778317983493,-0.4194934250292202,-0.4852653019743545,-0.0651861398830976
