species,te_level,composition_mode,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
abditus,superfamily,classified_conditional,-0.0094689333119827,-0.3615559457234346,-0.1073459167723841,0.1234659169910337,-0.1758105062319814,-0.2585066153876335,0.2704618792628339,0.0387899409149572,-0.1163967473385645,-0.0377290858755412,-0.179137363799025,-0.0181518202665826,-0.0333432798337503,0.0713987462449615,0.0304697785365431,-0.0304841738537158,-0.0099096262567597,-0.0131784053848598,0.0695771066649986,0.001725522348585,0.0007049645451132,-0.0101228087648862,-0.0153395359805205
adatsihi,superfamily,classified_conditional,-0.0040485470398098,-0.4123103248850717,-0.3825939315021803,-0.2310136203037474,-0.1834512494584024,-0.4296912589863559,0.3163465883307839,-0.0024189194612673,0.1520347731713218,0.0630197288464904,-0.0110315815659027,0.0918284393043043,-0.0211979257853972,-0.0747877482033687,-0.0463312196615181,0.0598105803571826,-0.0641359299696589,-0.040208700682347,-0.0160583712933982,-0.02199849155784,-0.0334396361927854,0.0013009147945422,-0.0122267397861346
aeneus,superfamily,classified_conditional,-0.1534603296878456,0.5716788941728838,-0.5681528066841781,0.5419376162027865,-0.4530670207454449,0.2809777438157198,0.4873114309907784,0.4515702643631839,-0.0729670792849398,0.1346756707649337,0.1109808432329177,0.2109519743948529,-0.0133816803935868,0.0258834430637132,-0.0142408293072406,-0.0541722002246617,0.0214156902426893,-0.0012392652546743,-0.0226834712610331,-0.0088362027517934,-0.0024794208256885,-0.0169157779180566,0.0008056866618367
amphileucus,superfamily,classified_conditional,-0.8811924812777582,-0.6386926015408846,-0.0354853351121484,-0.146028017663071,0.5674757223811883,-0.160680136726614,-0.0434015921086605,0.0286307922327183,0.0077912737858145,0.1725999191499935,-0.0082583864686831,-0.0842242022453339,0.0945740714791381,-0.1124415352505865,0.0637017191330516,-0.0110871427506904,0.0604314379701559,0.0035471212675436,-0.018262840150608,0.0010396006552831,-0.0002398526102771,-0.0239956967732305,-0.0010289737371694
anicetus,superfamily,classified_conditional,0.3564777862827991,0.3337979668917226,0.6772810230331119,-0.7378598786773605,-0.1321219938043534,0.6050895520878175,-0.0246224276175011,0.1032399297582293,0.1011338349281938,0.1960441744681334,0.0614722790357512,-6.51754042129097e-05,0.0021172486755938,0.0282973487785834,-0.0062137493032194,0.0009221337639765,0.0473256280371357,-0.0413194331622694,0.0264100931613942,-0.0051979598025699,-0.0241538307410054,0.0037716802613559,-0.0089417644261928
apalachicolae,superfamily,classified_conditional,0.5112638590239905,-0.6720626388303654,-0.1416908723278692,0.1434286015178985,-0.3940267387789219,-0.0096479529608368,-0.027226788225612,-0.0875651916590252,-0.0624760932540366,0.0981428434641164,-0.0488321534856962,0.0347962760262864,-0.0013058410142147,-0.0198478362120626,-0.010949217600861,-0.012868705009469,-0.046693731355962,-0.0293751319459272,0.0473722037356804,-0.024668532633608,0.0307056551874075,-0.0183445416563909,0.0228292665797296
aureatus,superfamily,classified_conditional,-0.1207342151098287,-1.0649004168247485,0.901850089419429,0.5505733262890853,0.4564610525903217,-0.0752271873630016,-0.4003139459073873,0.5564896651610882,-0.1379222228394335,0.0240248877725588,-0.0409091111858361,0.0116212516250483,0.0128272235741889,0.0826191890341347,-0.0740118256319896,0.0431475880186555,0.0119722259164739,-0.0273616955909438,-0.0111295635548484,0.0121311203030224,-0.0017629491812909,0.0011245663310467,0.004575257411771
auriculatus,superfamily,classified_conditional,0.0917330230531138,0.3966332345203461,0.2851099964584199,0.7870089238455985,-0.1124684330139692,-0.3912560024160278,-0.1807082363125014,-0.267531582458769,-0.0277920051094439,0.0827656557327575,-0.0983349714391464,0.0238598038100244,-0.1326649705824756,-0.0052752338743216,0.1960381417350876,0.0114477144985975,0.0469464107092717,-0.0054055532957962,-0.0109548978877807,-0.0117460248745703,0.010520260370587,-0.0257476669204688,-0.0009252635081318
bairdi,superfamily,classified_conditional,0.1491836715587605,1.1565234204499883,0.311086274387006,-0.053109387343607,0.3165676694536864,0.0057696575981825,0.0587069700839777,0.0476277461238538,-0.2106899290061464,-0.1848116281982391,-0.0827693577125385,0.014187798627698,-0.00096890607461,-0.0656014961433413,-0.0004021162755987,0.0222537506093567,0.0098418852863115,-0.0529561709360252,0.0387670486185529,0.0204574814753132,-0.0189227934007768,0.0068804275382935,-0.0001005753695843
balsameus,superfamily,classified_conditional,0.1364572684447418,-0.2439991246366507,-0.4977092119424256,-0.505012694912493,-0.0358437284481326,-0.2151412193006676,0.4400300863690867,0.1351716648908507,0.323526724534632,-0.0967255755976431,-0.0913812564218312,-0.0418456986241325,0.0633764761477435,0.0571640130223252,0.0355219059485291,0.1022998534946047,0.0536375722620957,0.0234827824677827,-0.0065890928487746,0.0382124733426908,0.0194472631932175,-0.0080914811672552,0.0209479961663696
