PC,eigenvalue,variance_explained,cumulative_variance_explained
1,0.3909990626503169,0.2686957869086817,0.2686957869086817
2,0.2490509806379868,0.1711486180281473,0.4398444049368291
3,0.2117684581281732,0.1455279511758737,0.5853723561127029
4,0.1551009876519895,0.106585887047858,0.691958243160561
5,0.1334037641404145,0.091675486737282,0.7836337298978431
6,0.1208787370163746,0.0830682486627594,0.8667019785606025
7,0.0556233738919053,0.0382245576679752,0.9049265362285778
8,0.0338210139037444,0.0232419072396686,0.9281684434682465
9,0.0301640764146752,0.0207288482833609,0.9488972917516074
10,0.0273521197720263,0.0187964628251242,0.9676937545767316
11,0.0155805529712057,0.0107070050569778,0.9784007596337096
12,0.0074833885131133,0.0051426081475613,0.9835433677812708
13,0.0069188565620008,0.0047546600133354,0.9882980277946064
14,0.005319914090574,0.0036558617127216,0.991953889507328
15,0.0048793945929275,0.0033531353269692,0.9953070248342972
16,0.0019896022260461,0.0013672609139752,0.9966742857482724
17,0.0013338088605892,0.0009165976484765,0.9975908833967492
18,0.0010071242793156,0.0006920989756632,0.9982829823724124
19,0.0008895512128067,0.000611302394181,0.9988942847665934
20,0.0007149743896163,0.0004913326516318,0.9993856174182252
21,0.0004559866635338,0.0003133554708484,0.9996989728890736
22,0.0002831045022693,0.0001945503053102,0.9998935231943838
23,0.0001549422552133,0.0001064768056162,1.0
