species,Academ,CACTA,CR1,Chapaev,Copia,Cyrypton,DIRS,Dada,EnSpm,Ginger,Gypsy,Helitron,IS3EU,Jockey,Kolobok,L1,L2,MITE,MULE,Maverick,Merlin,Mutator,P,PIF-Harbinger,Penelope,PiggyBac,Tc1-mariner,hAT,tRNA
abditus,0.000357722671272177,0.009755571225325905,9.003283951521297e-07,0.0,0.00754284029519336,0.001663079211565601,0.07266594260366027,0.0,0.000405124344613653,0.0,0.5732762875559996,0.001956649168040199,1.415242237585e-05,0.000997352962985311,0.000175049739875516,0.05155984496779167,0.09701477645355312,0.0027239669927375744,0.00012574011033225998,0.004604501411590357,1.355425899003e-06,0.022311146493002972,9.647943748981499e-05,0.047956433498689784,9.878575817328701e-05,0.00043965008857788405,0.01181499842964228,0.09188547238710201,0.000556176016115375
adatsihi,0.0003895396303094671,0.009475728160843083,1.8808693187327723e-07,0.0,0.007672938107637541,0.0022536898243720235,0.07788521005593642,0.0,0.00039952884996525715,0.0,0.5534171369688073,0.001953313705903744,1.8704343588137006e-05,0.0008865206997849024,0.00020403953788277507,0.05399222306914305,0.10411894921602598,0.0022339445613252995,0.00017107021760537204,0.004150554261913965,9.404346593663863e-07,0.02517341840565382,0.00010706784183553403,0.04777652582592677,0.00012773808034174502,0.00043705348114063213,0.01306605519003924,0.09357614334213295,0.0005117781002939031
aeneus,0.00043006682413481,0.007731104486025513,2.0068259938535817e-07,0.0,0.007220773987324531,0.002265555366169157,0.08081732173500827,0.0,0.000321777155622475,0.0,0.5326221599567443,0.001440997391234576,1.6593775201177e-05,0.001016918935865425,0.000155202570828652,0.08032028846534256,0.10524334143864934,0.001859451382284954,9.085436427773499e-05,0.010477431141890182,2.0068259938535817e-07,0.020612260963761675,6.84675513743e-05,0.04346270686290434,6.979607018223099e-05,0.000273423352242571,0.01018875858786232,0.09259033030508242,0.00070401596478777
amphileucus,0.0004543748697724999,0.01174296710463798,1.9275115588039994e-06,2.6098506506209994e-06,0.010030312689277615,0.0017642821699591013,0.08545512370801307,5.706719221767998e-06,0.00021355800065393993,0.0,0.5282073275122912,0.003676873504291185,2.8122393642963992e-05,0.0010815061755221577,0.00013082534952691397,0.041141012312365575,0.09841039021250748,0.003141784730497581,0.00014624415698964794,0.004413702062867845,0.0,0.027311043632500896,0.00012692149611648096,0.05428194058522719,0.00011959695219302297,0.0006841419576282837,0.014286997090549798,0.11254266338021658,0.0005980438713195849
anicetus,0.000454600661005624,0.009678397048014396,1.4666128791281956e-07,0.0,0.007867123475868897,0.00200520379315262,0.08002376515508752,4.839822501123045e-07,0.000405989110484702,0.0,0.5373284589912093,0.002068584135366363,2.0848568719025e-05,0.000960310114279995,0.000201263285402762,0.06112496092909958,0.10024428224103024,0.002464677608770257,0.00015823952995131798,0.002965863227954736,0.0,0.023939751350932455,8.2348979878612e-05,0.05079987693144683,6.8329494038582e-05,0.000421784531192913,0.015483133494573465,0.09860828624063825,0.002623290458363536
apalachicolae,0.00040684884856192387,0.010281829014860007,0.0,0.0,0.008020352471114805,0.0019350238209252266,0.07443332549410649,0.0,0.00037082812336820695,0.0,0.5552111465899543,0.0019391716775449283,8.552070261634998e-06,0.0009549491345881687,0.00027204094485138493,0.05655276927545501,0.09944056719544897,0.002466296832012211,0.00014900751917192896,0.003717816433123966,0.0,0.023380233406198367,9.573524816715798e-05,0.04750230250904871,8.954166251005097e-05,0.00047628827517370886,0.013370604277543533,0.09830153192855186,0.0006232372474571208
aureatus,0.000364857505767077,0.010272856654566995,0.0,3.160583046759e-06,0.008035183972548095,0.001331284346872516,0.08816753666890471,0.0,0.000204712497714014,0.0,0.5705050369573361,0.003253295997183928,8.938641790955e-06,0.000993981995925995,0.00014073897785824,0.03738751495622722,0.08004530465731223,0.007550411632751946,0.000181641750104194,0.004602588375703932,0.0,0.027964383693886753,0.000103026961289563,0.04580223919086821,8.378813775552799e-05,0.000752737985812321,0.01317555045671066,0.0981939608781019,0.0008752665239600139
auriculatus,0.00026594091456704904,0.009620410703143406,0.0,0.0,0.005873692273791956,0.0012275950399161042,0.06092308532524645,0.0,0.00038016007709303106,0.0,0.5836217139405836,0.0013333543329061882,1.2893715076016002e-05,0.0008501112917078152,0.00014391245496876302,0.06053929005313762,0.07926864498259933,0.0022257880336308193,0.00012212798747517802,0.006959876406962178,0.0,0.027182031755621724,8.695337927570801e-05,0.05289821694036465,4.451323606305601e-05,0.0006892742426488711,0.01042174848015531,0.09463748848520116,0.0006711759478641131
bairdi,0.00024812591273560305,0.008439811895008156,0.0,8.004563457862677e-07,0.0061159184171446475,0.0013669473182276342,0.07217463246681953,0.0,0.00042009600192419606,0.0,0.5979428585395449,0.0014000017382705212,3.3422941051111005e-05,0.0009312406228154361,0.00017575819799391302,0.05280708386588609,0.0863244416744002,0.002287493652823881,0.00011255325559307602,0.0059939379634223475,0.0,0.020680624848140632,6.243559497132802e-05,0.04407456698111497,3.876051318646601e-05,0.00044449376776414806,0.011188692653632294,0.08543314729308014,0.0013021534281030252
balsameus,0.00039470619522853005,0.009658746121438517,1.324266823873e-06,0.0,0.007980393286815907,0.001928619260304186,0.0845179053437119,2.304464321907e-06,0.000405337670676589,0.0,0.5395780171621887,0.001957673114307122,2.4474264603959003e-05,0.000986884178652721,0.000258278706726727,0.05585694517083525,0.10290168278759484,0.002124378703482874,0.000166812277338803,0.004039297870049241,0.0,0.026542905410258638,8.9771421197447e-05,0.04960457472655251,0.000162756793540816,0.00034955709822727404,0.01348727085656368,0.09630204770698841,0.000677335141569671
