id,decision,decision_source,species,rank,review_key,filename,tile_name,source_match,included_in_finalized,decision_file
aeneus-1061,keep,auto_fill,D. aeneus,11,Process_393_green.ome.tiff::tile_y008192_x053248.tiff::1,Process_393_green.ome.tiff,tile_y008192_x053248.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
aeneus-1062,keep,auto_fill,D. aeneus,12,Process_393_green.ome.tiff::tile_y008192_x053248.tiff::4,Process_393_green.ome.tiff,tile_y008192_x053248.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
aeneus-1064,keep,auto_fill,D. aeneus,14,Process_393_green.ome.tiff::tile_y024576_x053248.tiff::1,Process_393_green.ome.tiff,tile_y024576_x053248.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
aeneus-1076,keep,auto_fill,D. aeneus,26,Process_393_green.ome.tiff::tile_y040960_x000000.tiff::3,Process_393_green.ome.tiff,tile_y040960_x000000.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
aeneus-1052,keep,auto_fill,D. aeneus,2,Process_393_green.ome.tiff::tile_y065536_x028672.tiff::1,Process_393_green.ome.tiff,tile_y065536_x028672.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
aeneus-1059,keep,auto_fill,D. aeneus,9,Process_395_green.ome.tiff::tile_y008192_x020480.tiff::1,Process_395_green.ome.tiff,tile_y008192_x020480.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
aeneus-1097,keep,auto_fill,D. aeneus,47,Process_395_green.ome.tiff::tile_y008192_x020480.tiff::2,Process_395_green.ome.tiff,tile_y008192_x020480.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
aeneus-1094,keep,auto_fill,D. aeneus,44,Process_395_green.ome.tiff::tile_y008192_x020480.tiff::4,Process_395_green.ome.tiff,tile_y008192_x020480.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
aeneus-1080,keep,auto_fill,D. aeneus,30,Process_395_green.ome.tiff::tile_y008192_x024576.tiff::3,Process_395_green.ome.tiff,tile_y008192_x024576.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
aeneus-1089,keep,auto_fill,D. aeneus,39,Process_395_green.ome.tiff::tile_y008192_x024576.tiff::4,Process_395_green.ome.tiff,tile_y008192_x024576.tiff,both,True,/home/jake/Projects/Desmognathus_TE/input_data/specimen_slides/literal_largest_cell_mask_review_extension_20260714_decisions_aenues_orestes_wrighti.csv
