species,n_nuclei,n_images,n_specimens,iod_equal_image_estimate,iod_equal_image_ci_low,iod_equal_image_ci_high,iod_pooled_nucleus_median,iod_pooled_nucleus_mean,iod_trimmed_mean_10pct,iod_nucleus_sd,iod_nucleus_iqr,iod_nucleus_min,iod_nucleus_max,image_median_iod_min,image_median_iod_max,image_median_iod_range,median_nucleus_area_um2,median_nucleus_mean_od,estimate_support,sample_size_support,quality_match_status,pooled_median_difference_pct,trimmed_mean_difference_pct,relative_iod_anchor,relative_iod_index,relative_iod_ci_low,relative_iod_ci_high,relative_iod_rank,iod_ratio_to_fuscus,genome_size_pg_fuscus_anchored,genome_size_pg_ci_low,genome_size_pg_ci_high,genome_size_reference_species,genome_size_reference_pg,genome_size_calibration_pg_per_iod,genome_size_rank
D. valtos,37,2,2,1301.70359550,1252.48435775,1341.88087400,1307.05354000,1290.90553508,1295.78010971,86.96437023,111.34821000,1079.60422800,1446.91939200,1277.70181800,1325.70537300,48.00355500,49.99680000,0.37158000,multiple_observed_images,meets_prior_minimum_30,common_support,0.41099560,-0.45505642,950.17611281,1.36996035,1.31816022,1.41224438,1,1.37908525,22.70273273,20.00323433,26.35861165,D. fuscus,16.46216769,0.01744079,1
D. bairdi,37,1,1,1077.42094600,1054.68931000,1110.33497900,1077.42094600,1076.44748376,1078.77251868,77.70274940,80.73680100,911.15368300,1235.55244200,1077.42094600,1077.42094600,0.00000000,46.35360000,0.34102700,single_observed_image,meets_prior_minimum_30,common_support,0.00000000,0.12544518,950.17611281,1.13391710,1.10999350,1.16855703,2,1.14146980,18.79106722,16.72108823,21.94523802,D. fuscus,16.46216769,0.01744079,2
D. intermedius,35,2,2,1038.65650200,978.59158350,1100.26764950,1044.93047200,1038.42567814,1036.19411138,84.35733381,111.90537900,871.19087300,1219.29978800,1003.99638400,1073.31662000,69.32023600,44.46720000,0.33582700,multiple_observed_images,meets_prior_minimum_30,common_support,0.60404667,-0.23707459,950.17611281,1.09311999,1.02990548,1.15796181,3,1.10040095,18.11498489,15.80728703,21.16870360,D. fuscus,16.46216769,0.01744079,3
D. marmoratus,37,2,2,1031.01143800,983.18282800,1081.86058400,1024.50947400,1024.14112189,1023.24248058,89.79743851,114.96681200,828.83435200,1228.27946500,993.78260000,1068.24027600,74.45767600,46.26720000,0.32008700,multiple_observed_images,meets_prior_minimum_30,common_support,-0.63063937,-0.75352776,950.17611281,1.08507404,1.03473747,1.13858954,4,1.09230141,17.98164897,15.76953141,20.93556711,D. fuscus,16.46216769,0.01744079,4
D. auriculatus,36,2,2,1017.97615650,918.41285700,1138.14922600,961.86814200,959.10473581,952.58169373,79.89607717,99.36874075,838.21666300,1183.95812100,938.49789800,1097.45441500,158.95651700,48.06000000,0.28582100,multiple_observed_images,meets_prior_minimum_30,common_support,-5.51172187,-6.42396802,950.17611281,1.07135524,0.96657119,1.19782976,5,1.07849123,17.75430342,15.04324875,21.23025426,D. fuscus,16.46216769,0.01744079,5
D. amphileucus,33,2,2,1001.33356725,917.20835550,1066.73062800,992.60045800,982.37936761,987.25852848,105.45424153,167.21040200,791.53337500,1137.11686500,958.91010050,1043.75703400,84.84693350,42.22080000,0.33249700,multiple_observed_images,meets_prior_minimum_30,common_support,-0.87214786,-1.40562938,950.17611281,1.05383997,0.96530353,1.12266622,6,1.06085929,17.46404360,15.02252021,20.43700175,D. fuscus,16.46216769,0.01744079,6
D. kanawha,34,2,2,984.69436325,881.09228224,1238.01495400,899.80632650,922.44193171,907.44372893,116.63510946,97.66204425,768.83519600,1428.33512200,891.20422100,1078.18450550,186.98028450,41.27760000,0.31410200,multiple_observed_images,meets_prior_minimum_30,common_support,-8.62074974,-7.84513827,950.17611281,1.03632827,0.92729366,1.30293210,7,1.04323095,17.17384282,14.28514617,22.15815940,D. fuscus,16.46216769,0.01744079,7
D. brimleyorum,35,2,2,981.90691550,897.14367700,1071.15048456,1022.66525000,1022.98670817,1022.13813176,102.33750436,144.59688400,847.24318400,1249.24449800,922.51053400,1041.30329700,118.79276300,44.17920000,0.33111500,multiple_observed_images,meets_prior_minimum_30,common_support,4.15093670,4.09725358,950.17611281,1.03339465,0.94418673,1.12731784,8,1.04027780,17.12522754,14.93273755,20.60223794,D. fuscus,16.46216769,0.01744079,8
D. folkertsi,37,2,2,977.03994050,939.84870800,1011.50731284,978.20155300,980.64852292,981.99103942,81.72949366,95.36061900,794.26714400,1125.05041400,964.21687100,989.86301000,25.64613900,46.23840000,0.30775000,multiple_observed_images,meets_prior_minimum_30,common_support,0.11889099,0.50674478,950.17611281,1.02827247,0.98913106,1.06454719,9,1.03512150,17.04034368,15.05921266,19.82930648,D. fuscus,16.46216769,0.01744079,9
D. monticola,36,2,2,969.17143450,905.22970148,1091.37901035,957.36142550,982.08892058,972.58191467,131.51003284,145.38496375,720.05533700,1404.09229200,949.57469200,988.76817700,39.19348500,41.21280000,0.33186950,multiple_observed_images,meets_prior_minimum_30,common_support,-1.21856759,0.35189648,950.17611281,1.01999137,0.95269676,1.14860708,10,1.02678524,16.90311075,14.78521938,20.46442701,D. fuscus,16.46216769,0.01744079,10
