id,decision,decision_source,species,rank,review_key,filename,tile_name
"amphileucus-0001","keep","initial_default","D. amphileucus","1","Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::70","Process_337_raw_green.ome.tiff","tile_y040960_x094208.tiff"
"amphileucus-0002","keep","initial_default","D. amphileucus","2","Process_337_raw_green.ome.tiff::tile_y020480_x016384.tiff::34","Process_337_raw_green.ome.tiff","tile_y020480_x016384.tiff"
"amphileucus-0003","keep","initial_default","D. amphileucus","3","Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::109","Process_337_raw_green.ome.tiff","tile_y032768_x040960.tiff"
"amphileucus-0004","keep","initial_default","D. amphileucus","4","Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::19","Process_338_raw_green.ome.tiff","tile_y008192_x086016.tiff"
"amphileucus-0005","keep","initial_default","D. amphileucus","5","Process_337_raw_green.ome.tiff::tile_y045056_x049152.tiff::13","Process_337_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"amphileucus-0006","keep","initial_default","D. amphileucus","6","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::160","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0007","keep","initial_default","D. amphileucus","7","Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::65","Process_337_raw_green.ome.tiff","tile_y032768_x040960.tiff"
"amphileucus-0008","keep","initial_default","D. amphileucus","8","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::184","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0009","keep","initial_default","D. amphileucus","9","Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::96","Process_337_raw_green.ome.tiff","tile_y040960_x094208.tiff"
"amphileucus-0010","keep","initial_default","D. amphileucus","10","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::45","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0011","keep","initial_default","D. amphileucus","11","Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::7","Process_337_raw_green.ome.tiff","tile_y040960_x094208.tiff"
"amphileucus-0012","keep","initial_default","D. amphileucus","12","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::215","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0013","keep","initial_default","D. amphileucus","13","Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::10","Process_338_raw_green.ome.tiff","tile_y008192_x081920.tiff"
"amphileucus-0014","keep","initial_default","D. amphileucus","14","Process_337_raw_green.ome.tiff::tile_y045056_x049152.tiff::118","Process_337_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"amphileucus-0015","keep","initial_default","D. amphileucus","15","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::176","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0016","keep","initial_default","D. amphileucus","16","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::128","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0017","keep","initial_default","D. amphileucus","17","Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::44","Process_338_raw_green.ome.tiff","tile_y008192_x081920.tiff"
"amphileucus-0018","keep","initial_default","D. amphileucus","18","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::124","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0019","keep","initial_default","D. amphileucus","19","Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::15","Process_337_raw_green.ome.tiff","tile_y032768_x040960.tiff"
"amphileucus-0020","keep","initial_default","D. amphileucus","20","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::57","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0021","keep","initial_default","D. amphileucus","22","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::132","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0022","keep","initial_default","D. amphileucus","23","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::187","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0023","keep","initial_default","D. amphileucus","24","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::203","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0024","keep","initial_default","D. amphileucus","25","Process_337_raw_green.ome.tiff::tile_y045056_x049152.tiff::97","Process_337_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"amphileucus-0025","keep","initial_default","D. amphileucus","26","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::83","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0026","keep","initial_default","D. amphileucus","27","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::216","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
