id,decision,decision_source,species,rank,review_key,filename,tile_name
"amphileucus-0018","keep","implicit_default","D. amphileucus","18","Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::95","Process_337_raw_green.ome.tiff","tile_y040960_x094208.tiff"
"amphileucus-0036","keep","implicit_default","D. amphileucus","36","Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::10","Process_338_raw_green.ome.tiff","tile_y008192_x081920.tiff"
"amphileucus-0026","keep","implicit_default","D. amphileucus","26","Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::75","Process_337_raw_green.ome.tiff","tile_y040960_x094208.tiff"
"amphileucus-0028","keep","implicit_default","D. amphileucus","28","Process_337_raw_green.ome.tiff::tile_y045056_x049152.tiff::100","Process_337_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"amphileucus-0027","keep","implicit_default","D. amphileucus","27","Process_338_raw_green.ome.tiff::tile_y024576_x004096.tiff::116","Process_338_raw_green.ome.tiff","tile_y024576_x004096.tiff"
"amphileucus-0038","keep","implicit_default","D. amphileucus","38","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::86","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0005","keep","implicit_default","D. amphileucus","5","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::102","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0006","keep","implicit_default","D. amphileucus","6","Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::15","Process_337_raw_green.ome.tiff","tile_y032768_x040960.tiff"
"amphileucus-0016","keep","implicit_default","D. amphileucus","16","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::37","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0008","keep","implicit_default","D. amphileucus","8","Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::1","Process_338_raw_green.ome.tiff","tile_y008192_x086016.tiff"
"amphileucus-0032","keep","implicit_default","D. amphileucus","32","Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::113","Process_338_raw_green.ome.tiff","tile_y008192_x086016.tiff"
"amphileucus-0024","keep","explicit","D. amphileucus","24","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::175","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0021","keep","implicit_default","D. amphileucus","21","Process_338_raw_green.ome.tiff::tile_y024576_x004096.tiff::109","Process_338_raw_green.ome.tiff","tile_y024576_x004096.tiff"
"amphileucus-0034","keep","implicit_default","D. amphileucus","34","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::2","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0023","keep","implicit_default","D. amphileucus","23","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::218","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0001","problem","explicit","D. amphileucus","1","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::84","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0037","keep","implicit_default","D. amphileucus","37","Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::83","Process_338_raw_green.ome.tiff","tile_y008192_x086016.tiff"
"amphileucus-0010","keep","implicit_default","D. amphileucus","10","Process_337_raw_green.ome.tiff::tile_y045056_x049152.tiff::37","Process_337_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"amphileucus-0011","keep","implicit_default","D. amphileucus","11","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::8","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0031","keep","implicit_default","D. amphileucus","31","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::49","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0013","keep","implicit_default","D. amphileucus","13","Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::22","Process_338_raw_green.ome.tiff","tile_y008192_x086016.tiff"
"amphileucus-0035","problem","explicit","D. amphileucus","35","Process_338_raw_green.ome.tiff::tile_y024576_x004096.tiff::23","Process_338_raw_green.ome.tiff","tile_y024576_x004096.tiff"
"amphileucus-0014","keep","implicit_default","D. amphileucus","14","Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::100","Process_338_raw_green.ome.tiff","tile_y008192_x086016.tiff"
"amphileucus-0015","keep","implicit_default","D. amphileucus","15","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::54","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0007","keep","implicit_default","D. amphileucus","7","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::31","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0022","keep","implicit_default","D. amphileucus","22","Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::98","Process_338_raw_green.ome.tiff","tile_y008192_x081920.tiff"
"amphileucus-0019","keep","implicit_default","D. amphileucus","19","Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::68","Process_338_raw_green.ome.tiff","tile_y008192_x081920.tiff"
"amphileucus-0002","keep","implicit_default","D. amphileucus","2","Process_338_raw_green.ome.tiff::tile_y008192_x086016.tiff::116","Process_338_raw_green.ome.tiff","tile_y008192_x086016.tiff"
"amphileucus-0012","problem","explicit","D. amphileucus","12","Process_338_raw_green.ome.tiff::tile_y024576_x004096.tiff::38","Process_338_raw_green.ome.tiff","tile_y024576_x004096.tiff"
"amphileucus-0039","problem","explicit","D. amphileucus","39","Process_338_raw_green.ome.tiff::tile_y024576_x004096.tiff::90","Process_338_raw_green.ome.tiff","tile_y024576_x004096.tiff"
