source_taxon,max_svl_mm,max_svl_source_id,max_svl_source_path
abditus,44,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
adatsihi,50,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
aeneus,31,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
amphileucus,122,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
anicetus,51,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
apalachicolae,57,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
aureatus,73,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
auriculatus,60,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
bairdi,55,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
balsameus,54,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
brimleyorum,75,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
campi,57,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
carolinensis,49,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
catahoula,64,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
cheaha,79,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
conanti,65,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
folkertsi,89,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
fuscus,72,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
gvnigeusgwotli,86,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
imitator,41,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
intermedius,85,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
kanawha,87,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
lycos,74,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
marmoratus,76,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
mavrokoilius,80,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
monticola,72,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
ochrophaeus,44,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
ocoee,54,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
orestes-ac,52,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
orestes-b,50,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
organi,31,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
pascagoula,56,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
perlapsus,56,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
planiceps,48,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
santeetlah,55,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
tilleyi,52,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
valentinei,61,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
valtos,62,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
welteri,75,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
wrighti,29,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx
