analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.0495903365777902,0.975509706887934,13.382923669911122,0.0,1.0,0.9167423772846516,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,2,cell_collider,1,5,6.362014562163391,0.0415437877671365,19.695347895496724,6.312424225585602,0.0425867497512343,0.0390410782077731,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,3,iod_bridge,1,5,6.684441349618589,0.0353583510744721,20.01777468295192,6.634851013040798,0.0362460268973357,0.033228268864987,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,4,iod_cell_only,2,4,13.04645591178198,0.0110510187513377,23.15171906967672,9.768795399765594,0.007563677994539,0.0069339441457293,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,5,iod_collider,1,5,11.609787397292807,0.0030127749981267,24.94312073062614,11.56019706071502,0.0030884110909958,0.0028312773255918,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,6,nucleus_bridge,1,5,13.82129905847608,0.0009971099340485567,27.15463239180941,13.771708721898293,0.0010221425035631,0.0009370413486401662,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,20.18331362063947,0.00045945772465261214,30.288576778534207,16.905653108623085,0.0002132966678908454,0.0001955380943891484,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,8,nucleus_collider,1,5,18.82813923342986,8.156831918071372e-05,32.161472566763194,18.778548896852072,8.361610202830846e-05,7.665442415270747e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,25.512580583048447,3.967480937305812e-05,35.61784374094319,22.234920071032064,1.4850752278467068e-05,1.3614313948227352e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,lambda,focal_primary,lambda,,,24,10,independent,3,3,36.79994119288606,1.926277524377795e-06,43.999941192886055,30.617017522974933,2.2469795440065477e-07,2.0599013688825446e-07,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,1,cell_bridge,1,5,0.5021136727919432,0.7779781528280012,13.835447006125277,0.0,1.0,0.7746468977213866,True,True,True,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,2,cell_collider,1,5,4.385485731355309,0.1116101966164629,17.718819064688642,3.883372058563367,0.1434618648489711,0.1111322885465803,True,False,False,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,3,iod_bridge,1,5,6.364602675908651,0.0414900625123262,19.697936009241985,5.862489003116711,0.0533306267811082,0.0413124045895226,False,False,False,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,4,iod_cell_only,2,4,10.75008840726396,0.0295210066651456,20.855351565158696,7.019904559033421,0.0298983411661739,0.0231606572313922,False,False,False,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,5,nucleus_bridge,1,5,7.601718514852195,0.0223515578603871,20.935051848185527,7.099604842060252,0.0287303155996575,0.0222558498498311,False,False,False,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,6,nucleus_cell_only,2,4,11.987204246207504,0.0174466718334882,22.09246740410224,8.257020397976966,0.0161068569686245,0.0124771267827871,False,False,False,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,7,iod_collider,1,5,9.404665500501604,0.0090740848195167,22.737998833834936,8.902551827709662,0.0116636756270491,0.0090352301405222,False,False,False,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,8,nucleus_collider,1,5,10.644512130242354,0.0048817277964967,23.977845463575687,10.142398457450412,0.0062748905978289,0.0048608245351492,False,False,False,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,9,iod_nucleus_only,2,4,17.009114806151004,0.0019250833896893,27.11437796404574,13.278930957920466,0.0013077260641482,0.0010130259386618,False,False,False,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,BM,focal_primary,BM,,,24,10,independent,3,3,24.43466336209927,0.0004343269073163736,31.634663362099268,17.799216355973993,0.00013644237713662474,0.0001056946641666178,False,False,False,0,0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,1,cell_bridge,1,5,0.2208727899291142,0.8954432830799789,13.554206123262446,0.0,1.0,0.9042622408712252,True,True,True,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,2,cell_collider,1,5,6.127523320703816,0.0467116509528438,19.460856654037148,5.9066505307747015,0.0521659515856479,0.0471717002780178,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,3,iod_bridge,1,5,6.684401603405716,0.0353590537617287,20.017734936739046,6.4635288134766,0.0394877648086289,0.0357072946928467,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,4,iod_cell_only,2,4,12.811924924109531,0.0122322784303202,22.917188082004262,9.36298195874182,0.0092651893773671,0.0083781609084742,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,5,iod_collider,1,5,11.54669890437964,0.0031093255160198,24.88003223771297,11.325826114450528,0.0034723868890109,0.0031399483494289,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,6,nucleus_bridge,1,5,13.821005669732632,0.0009972562151929765,27.154339003065964,13.600132879803516,0.0011137011511915,0.0010070778986373,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_sensitivity,OUfixedRoot,focal_primary,OUfixedRoot,,,24,7,nucleus_cell_only,2,4,19.948528990436447,0.0005112194770998668,30.053792148331183,16.499586025068737,0.0002613126401453602,0.00023629515354581956,False,False,False,3,1,relative_nuclear_iod_index; not_absolute_genome_size
