bootstrap_replicate,species,tree_tip,nucleus_area_um2,cell_area_um2,relative_iod_index
1,D. aeneus,aeneus,38.6064,206.5968,0.5928635177261614
1,D. amphileucus,amphileucus,44.1648,319.5216,1.0143995892420539
1,D. anicetus,anicetus,41.76,243.4824,0.9058668398533009
1,D. apalachicolae,apalachicolae,45.8064,298.584,0.8803281424205379
1,D. auriculatus,auriculatus,49.716,316.0296,1.110469130806846
1,D. bairdi,bairdi,43.8624,305.5248,1.1460308422982886
1,D. brimleyorum,brimleyorum,43.9488,329.2056,1.0867661204156478
1,D. campi,campi,35.8344,256.6296,0.8843260660146699
1,D. folkertsi,folkertsi,44.3016,269.7408,1.0267791870415648
1,D. fuscus,fuscus,47.7576,273.5208,1.0
1,D. gvnigeusgwotli,gvnigeusgwotli,46.8648,271.62,0.8736713178484108
1,D. intermedius,intermedius,47.3328,325.152,1.0630363086797066
1,D. kanawha,kanawha,40.896,290.664,1.0062664070904646
1,D. marmoratus,marmoratus,46.7856,275.5296,1.019481708435208
1,D. mavrokoilius,mavrokoilius,40.752,271.44,0.9143852628361858
1,D. monticola,monticola,39.6,260.8848,1.067687131418093
1,D. ochrophaeus,ochrophaeus,51.6312,267.8832,0.8092206821515893
1,D. ocoee,ocoee,44.1504,292.8528,0.9838298893643032
1,D. orestes,orestes,47.1024,255.5856,0.8042267732273839
1,D. perlapsus,perlapsus,43.2576,299.8656,0.7808516509779951
1,D. tilleyi,tilleyi,41.1552,267.0624,0.9942399596577017
1,D. valtos,valtos,50.7888,312.7824,1.3608181522004892
1,D. welteri,welteri,48.6864,306.7776,0.8859925996332518
1,D. wrighti,wrighti,42.9696,225.5976,0.9192035537897311
2,D. aeneus,aeneus,38.6856,209.9232,0.5415934229828852
2,D. amphileucus,amphileucus,44.2872,316.2528,1.0414577023227385
2,D. anicetus,anicetus,40.0464,244.1952,0.926672521393643
2,D. apalachicolae,apalachicolae,46.2384,301.0248,0.88383604400978
2,D. auriculatus,auriculatus,48.9024,316.656,0.9755917426650368
2,D. bairdi,bairdi,43.8768,306.972,1.097986045232274
2,D. brimleyorum,brimleyorum,44.496,329.7888,1.1316849223716383
2,D. campi,campi,35.8992,257.4504,0.8817436998777507
2,D. folkertsi,folkertsi,43.9848,268.0704,1.0306888533007337
2,D. fuscus,fuscus,45.4392,272.9376,1.0
2,D. gvnigeusgwotli,gvnigeusgwotli,46.692,271.62,0.9124990256723717
2,D. intermedius,intermedius,50.1192,325.152,1.1099300800733496
2,D. kanawha,kanawha,43.128,286.452,1.024039585574572
2,D. marmoratus,marmoratus,47.952,273.888,1.024652271393643
