species,max_svl_mm,max_svl_source_taxon,max_svl_source_id,max_svl_source_path,development_mode,development_source_id,development_source_detail,development_confidence,reproductive_strategy,reproductive_strategy_source_id,reproductive_strategy_source_detail,reproductive_strategy_confidence,aquaticity_index,microhabitat_class,lifestyle_source_id,lifestyle_source_detail,lifestyle_confidence,elevation_min_m,elevation_max_m,elevation_mid_m,elevation_source_id,elevation_source_detail,organismal_source_ids
abditus,44.0,abditus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017;collaborator_desmog_svl;pyron_personal_communication_reproductive_strategy
adatsihi,50.0,adatsihi,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_adatsihi.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_adatsihi.html,medium,1500.0,,,nc_biodiversity_amphibians,Desmognathus_adatsihi.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
aeneus,31.0,aeneus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,direct_development,amphibio_2017,AmphiBIO_v1.zip,medium,direct_development,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_aeneus.html,medium,,,,,,amphibio_2017;collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
amphileucus,122.0,amphileucus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_amphileucus.html,medium,aquatic_eggs,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_amphileucus.html,medium,490.0,1676.0,1083.0,nc_biodiversity_amphibians,Desmognathus_amphileucus.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
anicetus,51.0,anicetus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_anicetus.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_anicetus.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
apalachicolae,57.0,apalachicolae,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,graham_timpe_laurencio_2010_auriculatus_decline,Discussion habitat-partitioning text; Graham_etal_2010_auriculatus_decline.pdf,high,,,,,,amphibio_2017;collaborator_desmog_svl;graham_timpe_laurencio_2010_auriculatus_decline;pyron_personal_communication_reproductive_strategy
aureatus,73.0,aureatus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_aureatus.html,medium,aquatic_eggs,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,2.0,stream_aquatic,nc_biodiversity_amphibians,Desmognathus_aureatus.html,medium,400.0,1100.0,750.0,nc_biodiversity_amphibians,Desmognathus_aureatus.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
auriculatus,60.0,auriculatus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,3.0,swamp_coastal_plain,graham_timpe_laurencio_2010_auriculatus_decline,Discussion habitat-partitioning text; Graham_etal_2010_auriculatus_decline.pdf,high,,,,,,amphibio_2017;collaborator_desmog_svl;graham_timpe_laurencio_2010_auriculatus_decline;pyron_personal_communication_reproductive_strategy
bairdi,55.0,bairdi,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_bairdi.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_bairdi.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
balsameus,54.0,balsameus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_balsameus.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_balsameus.html,medium,1000.0,,,nc_biodiversity_amphibians,Desmognathus_balsameus.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
brimleyorum,75.0,brimleyorum,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,,,,,2.0,stream_aquatic,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017;collaborator_desmog_svl
campi,57.0,campi,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_campi.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_campi.html,medium,,900.0,,nc_biodiversity_amphibians,Desmognathus_campi.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
carolinensis,49.0,carolinensis,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_carolinensis.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_carolinensis.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
catahoula,64.0,catahoula,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,,,,,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,,,,,,,,,,,collaborator_desmog_svl;pyron_personal_communication_reproductive_strategy
cheaha,79.0,cheaha,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,article summary excerpt accessed 2026-03-08,high,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,article summary excerpt accessed 2026-03-08,high,,,,,,collaborator_desmog_svl;pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article;pyron_personal_communication_reproductive_strategy
conanti,65.0,conanti,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_conanti.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_conanti.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
folkertsi,89.0,folkertsi,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_folkertsi.html,medium,,,,,1.0,streamside,amphibio_2017,AmphiBIO_v1.zip,low,670.0,1035.0,852.5,nc_biodiversity_amphibians,Desmognathus_folkertsi.html,amphibio_2017;collaborator_desmog_svl;nc_biodiversity_amphibians
fuscus,72.0,fuscus,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_fuscus.html,medium,,,,,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_fuscus.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians
gvnigeusgwotli,86.0,gvnigeusgwotli,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_gvnigeusgwotli.html,medium,aquatic_eggs,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_gvnigeusgwotli.html,medium,490.0,1676.0,1083.0,nc_biodiversity_amphibians,Desmognathus_gvnigeusgwotli.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
intermedius,85.0,intermedius,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_intermedius.html,high,aquatic_eggs,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,2.0,stream_aquatic,nc_biodiversity_amphibians,Desmognathus_intermedius.html,medium,300.0,1500.0,900.0,nc_biodiversity_amphibians,Desmognathus_intermedius.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
kanawha,87.0,kanawha,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_kanawha.html,medium,aquatic_eggs,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_kanawha.html,medium,490.0,1676.0,1083.0,nc_biodiversity_amphibians,Desmognathus_kanawha.html,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
lycos,74.0,lycos,collaborator_desmog_svl,analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_lycos.html,medium,terrestrial_eggs_aquatic_larvae,pyron_personal_communication_reproductive_strategy,Expert email interpretation after reviewing the initial PCA; species assignment transcribed from the supplied figure,high,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_lycos.html,medium,,,,,,collaborator_desmog_svl;nc_biodiversity_amphibians;pyron_personal_communication_reproductive_strategy
