species,tree_tip,relative_iod_index,relative_iod_ci_low,relative_iod_ci_high,nucleus_area_um2,cell_area_um2,n_iod_nuclei,n_iod_images,n_iod_specimens,n_size_cells,n_size_images,iod_definition
D. anicetus,anicetus,0.93253949,0.9087134,0.94988342,41.6952,244.1952,39,1,1,50,1,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. tilleyi,tilleyi,1.00661664,0.97003872,1.02673288,41.8536,264.4776,36,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. campi,campi,0.89755933,0.86230245,0.91674989,37.0728,257.4504,36,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. ocoee,ocoee,1.01331694,0.94217564,1.07836659,43.4448,293.1552,35,3,3,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. apalachicolae,apalachicolae,0.94947148,0.88586193,1.05030314,45.2016,299.5488,37,2,2,50,1,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. monticola,monticola,1.01999137,0.95269676,1.14860708,39.6072,260.0784,36,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. perlapsus,perlapsus,0.87170229,0.78932127,0.98915649,43.38,293.5512,33,3,3,50,1,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. brimleyorum,brimleyorum,1.03339465,0.94418673,1.12731784,45.1656,329.4,35,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. bairdi,bairdi,1.1339171,1.1099935,1.16855703,44.208,306.1368,37,1,1,50,1,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. valtos,valtos,1.36996035,1.31816022,1.41224438,49.968,314.1936,37,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. auriculatus,auriculatus,1.07135524,0.96657119,1.19782976,49.176,315.1368,36,2,2,50,1,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. fuscus,fuscus,0.99338336,0.85719817,1.12216987,46.944,272.808,35,4,4,50,3,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. welteri,welteri,0.90866473,0.83324268,0.97235868,48.708,304.5456,38,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. orestes,orestes,0.8539244,0.74941846,0.99651167,46.3176,255.4704,22,3,3,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. ochrophaeus,ochrophaeus,0.82133005,0.76348059,0.83919881,52.1352,272.304,32,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. intermedius,intermedius,1.09311999,1.02990548,1.15796181,48.9384,325.2456,35,2,2,50,1,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. marmoratus,marmoratus,1.08507404,1.03473747,1.13858954,47.6064,274.9032,37,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. mavrokoilius,mavrokoilius,0.93972676,0.825411,1.04958846,42.552,269.064,38,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. kanawha,kanawha,1.03632827,0.92729366,1.3029321,41.724,288.5904,34,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. aeneus,aeneus,0.5807752,0.54751623,0.66445339,37.6632,208.9872,21,2,1,44,3,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. amphileucus,amphileucus,1.05383997,0.96530353,1.12266622,44.4312,318.78,33,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. gvnigeusgwotli,gvnigeusgwotli,0.93833013,0.88005824,0.96517678,46.62,272.4192,37,1,1,50,1,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. folkertsi,folkertsi,1.02827247,0.98913106,1.06454719,44.8704,268.8408,37,2,2,50,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
D. wrighti,wrighti,0.89277663,0.82701381,0.97768239,42.9696,237.0312,9,3,3,8,2,relative image-derived nuclear IOD index normalized to the Path24 median; not an independently validated absolute genome size
