analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.0442776711621602,0.9781044299272506,13.377611004495492,0.0,1.0,0.7664743874595139,True,True,True,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,2,cell_collider,1,5,3.7892467561973913,0.1503749588857661,17.12258008953072,3.7449690850352297,0.1537412103296074,0.1178387000146701,True,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,3,iod_bridge,1,5,5.451120406175422,0.065509493816054,18.78445373950876,5.406842735013264,0.0669759708796396,0.051335366254478,True,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,4,iod_cell_only,2,4,9.240367162372811,0.055364357864358,19.34563032026755,5.968019315772057,0.0505895797401062,0.0387756171431321,True,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,5,iod_collider,1,5,7.271543170576267,0.0263635847835448,20.6048765039096,7.227265499414109,0.0269537525614781,0.0206593609842942,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,6,nucleus_bridge,1,5,11.6446143599871,0.0029607662378904,24.97794769332043,11.60033668882494,0.0030270451163487,0.0023201525513657,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,15.43386111618449,0.0038809962906918,25.539124274079228,12.161513269583736,0.0022864459936776,0.0017525022924633,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,8,nucleus_collider,1,5,14.360382136930076,0.0007615223253476522,27.69371547026341,14.316104465767914,0.0007785695494746899,0.0005967536185282427,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,19.811502543105497,0.0005440545818390374,29.916765701000237,16.539154696504742,0.00025619354902908006,0.0001963657935631431,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0001,focal_primary,lambda,,,24,10,independent,3,3,25.421172063703736,0.0002852652448008808,32.62117206370374,19.243561059208247,6.626951770592621e-05,5.079388799088721e-05,False,False,False,5,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0002,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.9908742926391152,0.6093044938527461,14.324207625972448,0.0,1.0,0.7280455996171398,True,True,True,2,1,relative_nuclear_iod_index; not_absolute_genome_size
