analysis,model,n_fits,top_count,top_rate,admissible_competitive_count,admissible_competitive_rate,path_trait_definition
measurement_bootstrap_primary,nucleus_bridge,250,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap_primary,cell_bridge,250,246,0.984,250,1.0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap_primary,nucleus_cell_only,250,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap_primary,nucleus_collider,250,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap_primary,cell_collider,250,3,0.012,16,0.064,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap_primary,iod_bridge,250,1,0.004,6,0.024,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap_primary,iod_nucleus_only,250,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap_primary,iod_cell_only,250,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap_primary,iod_collider,250,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap_primary,independent,250,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,nucleus_bridge,24,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,cell_bridge,24,24,1.0,24,1.0,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,nucleus_cell_only,24,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,nucleus_collider,24,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,cell_collider,24,0,0.0,1,0.0416666666666666,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,iod_bridge,24,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,iod_nucleus_only,24,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,iod_cell_only,24,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,iod_collider,24,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out_24,independent,24,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,nucleus_bridge,200,0,0.0,200,1.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,cell_bridge,200,200,1.0,200,1.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,nucleus_cell_only,200,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,nucleus_collider,200,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,cell_collider,200,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,iod_bridge,200,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,iod_nucleus_only,200,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,iod_cell_only,200,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,iod_collider,200,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_trees_18,independent,200,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,nucleus_bridge,4,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,cell_bridge,4,4,1.0,4,1.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,nucleus_cell_only,4,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,nucleus_collider,4,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,cell_collider,4,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,iod_bridge,4,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,iod_nucleus_only,4,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,iod_cell_only,4,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,iod_collider,4,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
evolutionary_model_choice_primary,independent,4,0,0.0,0,0.0,relative_nuclear_iod_index; not_absolute_genome_size
