analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.0495903365777902,0.975509706887934,13.382923669911122,0.0,1.0,0.9167423772846516,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,2,cell_collider,1,5,6.362014562163391,0.0415437877671365,19.695347895496724,6.312424225585602,0.0425867497512343,0.0390410782077731,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,3,iod_bridge,1,5,6.684441349618589,0.0353583510744721,20.01777468295192,6.634851013040798,0.0362460268973357,0.033228268864987,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,4,iod_cell_only,2,4,13.04645591178198,0.0110510187513377,23.15171906967672,9.768795399765594,0.007563677994539,0.0069339441457293,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,5,iod_collider,1,5,11.609787397292807,0.0030127749981267,24.94312073062614,11.56019706071502,0.0030884110909958,0.0028312773255918,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,6,nucleus_bridge,1,5,13.82129905847608,0.0009971099340485567,27.15463239180941,13.771708721898293,0.0010221425035631,0.0009370413486401662,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,20.18331362063947,0.00045945772465261214,30.288576778534207,16.905653108623085,0.0002132966678908454,0.0001955380943891484,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,8,nucleus_collider,1,5,18.82813923342986,8.156831918071372e-05,32.161472566763194,18.778548896852072,8.361610202830846e-05,7.665442415270747e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,25.512580583048447,3.967480937305812e-05,35.61784374094319,22.234920071032064,1.4850752278467068e-05,1.3614313948227352e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_primary,focal_primary,lambda,,,24,10,independent,3,3,36.79994119288606,1.926277524377795e-06,43.999941192886055,30.617017522974933,2.2469795440065477e-07,2.0599013688825446e-07,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
tree_species_set_sensitivity,focal_tree_18,focal_tree_18,lambda,,,18,1,cell_bridge,1,5,1.8464405180849703,0.3972377706574368,16.84644051808497,0.0,1.0,0.4335669718667488,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
