parent_node,child_node,child_is_tip,branch_length_myr
internal_01,internal_02,False,13.866232
internal_01,wrighti,True,30.574569
internal_02,internal_03,False,2.407127
internal_02,internal_22,False,10.620665
internal_03,internal_04,False,1.926691
internal_03,aeneus,True,14.30121
internal_04,internal_05,False,2.595652
internal_04,internal_19,False,9.264644
internal_05,internal_06,False,0.490221
internal_05,internal_13,False,1.064322
internal_06,internal_07,False,0.595008
internal_06,brimleyorum,True,9.288645
internal_07,internal_08,False,0.701927
internal_07,internal_10,False,2.938187
internal_08,internal_09,False,1.5286309999999999
internal_08,campi,True,7.991711
internal_09,anicetus,True,6.463080000000001
internal_09,tilleyi,True,6.46308
internal_10,internal_11,False,1.261514
internal_10,perlapsus,True,5.75545
internal_11,internal_12,False,1.156821
internal_11,monticola,True,4.493936
internal_12,ocoee,True,3.337115
internal_12,apalachicolae,True,3.337115
internal_13,internal_14,False,0.759819
internal_13,internal_18,False,3.583233
internal_14,internal_15,False,0.356842
internal_14,welteri,True,7.954725
internal_15,internal_16,False,0.344797
internal_15,fuscus,True,7.597882
internal_16,internal_17,False,3.0405219999999997
internal_16,auriculatus,True,7.253085
internal_17,bairdi,True,4.212563
internal_17,valtos,True,4.212563
internal_18,orestes,True,5.131311
internal_18,ochrophaeus,True,5.131311
internal_19,internal_20,False,0.605257
internal_19,internal_21,False,0.38556
internal_20,intermedius,True,2.5046169999999996
internal_20,marmoratus,True,2.504618
internal_21,mavrokoilius,True,2.724315
internal_21,kanawha,True,2.724315
internal_22,internal_23,False,1.17919
internal_22,folkertsi,True,6.0876719999999995
internal_23,amphileucus,True,4.908482
internal_23,gvnigeusgwotli,True,4.908482
