component,path,publication_id,rows,columns,bytes,sha256
shared_identity_and_provenance,data/identity/analysis_availability.csv,S01,37,43,16279,6ccef7d6ccedc6cd9d29363e0117506ba73dc6d2d160f7dabe59990283c2776f
shared_identity_and_provenance,data/identity/genomic_accessions.tsv,,34,3,1377,f55c5c0561d374dc1dedb53c85e286a9f5a159c6b15bf29d0c617dde230a8485
shared_identity_and_provenance,data/identity/path24_panel.csv,S03,24,18,5280,6aa3ea8d805ee61796b0e80e8063e92ce6dc7d6c65627e975eed54123fc939f8
shared_identity_and_provenance,data/identity/source_manifest.csv,,47,24,22588,0935efedf20f6bf6597b8f36a0d3f00dc8dcf19dbb6e5ffe4472646f160895eb
shared_identity_and_provenance,data/identity/source_species_aliases.csv,,2,6,501,428ded0a13416effa9dbf0b6400204713f1b958a8494ec503e27915b409fe256
shared_identity_and_provenance,data/identity/species_taxonomy_crosswalk.csv,,38,7,1558,8e8284661f8ef2d3a3344578159f0ab107e207e7d70c11c96b2afa4dd2b87919
shared_identity_and_provenance,data/identity/te34_panel.csv,S02,34,18,6859,b78afbff2fee4067a4987d837c29ba970b296bb9f0d09104f0b6bf0770a27fbd
shared_identity_and_provenance,data/identity/trait_registry.csv,,14,12,3501,7467aac602d0bd8a88827fac0cc6fbf548f513e66ed758815cec5ce0b355426f
transposable_elements,analyses/01_transposable_elements/data/assembly_quality.csv,S05,34,12,8575,91b0164eeeddd54f3bc892504e9a4261c0f43b58fe16c773288533d3e7ae5a75
transposable_elements,analyses/01_transposable_elements/data/dnapipete_input_quality.csv,S06,34,22,10862,d74dc492c8fc16511a747311db483efeff0d3ff6d7b4b2a4aa8c385aa7662600
transposable_elements,analyses/01_transposable_elements/data/dnapipete_mass_accounting.csv,S07,34,17,8389,575fa00362c35c206f84fedc44a110948306ea141a8cd7b10ef7c93f95aef3a7
transposable_elements,analyses/01_transposable_elements/data/ltr_element_metrics.csv,S14,1086,82,995546,c332c2ba11a083b25d4edbf55bd5b2d2fd7c0f2b3da6cef9ab3dff1d7bf35bae
transposable_elements,analyses/01_transposable_elements/data/ltr_excluded_elements.csv,S17,2,27,1398,c3f8aefe0d9fab25f19fc57c2acf6ca5f38d5769600b627813fdd5d7bbfcad04
transposable_elements,analyses/01_transposable_elements/data/ltr_resource_coverage.csv,S16,34,18,7258,25cb335ea86ec62b2e246ffd29987babd0dd7f4c2298180f0025e0d7365a4d3e
transposable_elements,analyses/01_transposable_elements/data/ltr_species_robustness.csv,S15,148,23,56308,9e33b0974f3a24227117652caf5f866bd16e05b7147e21eedf70dc7c1b460387
transposable_elements,analyses/01_transposable_elements/data/repeatmasker_divergence_landscape.csv,S12,13371,8,1027064,c32685aa8586c4a0c89398b4e12759a6b5fc991c871f15cecc02ec240d681c79
transposable_elements,analyses/01_transposable_elements/data/repeatmasker_species_inventory.csv,S13,34,4,1006,13289d1e814e8f24f0fb1aefd6a7f29ce1998db7a4b99781d2c66543f0ec979c
transposable_elements,analyses/01_transposable_elements/data/te_diversity.csv,S08,68,5,4075,6bb5377d4cc8fb6c94c5dcfb32203e4375f6faccdddb89559dd21c0c5a189407
transposable_elements,analyses/01_transposable_elements/data/te_feature_prevalence.csv,,39,12,6868,51db50ef85bcf0f7562780f1a8a3d6a6618a0393032c370b62d9362bcd0d5f31
transposable_elements,analyses/01_transposable_elements/data/te_order_composition.csv,,34,11,7437,c7b00470d8e26b1ed6063a9d68b3c8403618df3298d485346c16818fb9c1b965
transposable_elements,analyses/01_transposable_elements/data/te_pca_candidate_cluster_assignments.csv,,68,14,22872,e3aee83b10e3ee429edbb9353d244a6d5790ebbb32edc3d277356c1bbaf3cffc
transposable_elements,analyses/01_transposable_elements/data/te_pca_clr_matrix.csv,,1156,6,103857,c58a7cc71ed4306544e81397007cd3f8b348e6df4fce54066e0f2f748f52ff39
transposable_elements,analyses/01_transposable_elements/data/te_pca_clustering_analysis_manifest.json,,,,7965,8995dd06ca1918e3e1a27dcfbd7e57ba61070d147cae25a297a89031e3a77079
