species,te_resource_panel34_v1,path_analysis_panel24_v1,manual_review_inclusion,decision_basis,te_sra_accession,te_assembly_accession,has_tree_tip,has_te,has_genome,has_ectopic,has_morphology,has_ltr_history,has_ltr_high_confidence,ltr_history_n_pairs_high_confidence,has_finalized_genome_iod,has_finalized_cell_morphology,analysis_role
aeneus,True,True,True,active WGS and manually finalized microscopy/IOD record retained below the automatic 50-sample target,SRX19953415,GCA_030264635.1,True,True,True,True,True,True,True,9.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
amphileucus,True,True,False,active WGS and finalized microscopy/IOD record,SRX20502537,GCA_032360725.1,True,True,True,True,True,True,True,10.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
anicetus,True,True,False,active WGS and finalized microscopy/IOD record,SRX21425396,GCA_033119125.1,True,True,True,True,True,True,True,4.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
apalachicolae,True,True,False,active WGS and finalized microscopy/IOD record,SRX19952657,GCA_030264955.1,True,True,True,True,True,True,False,0.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
auriculatus,True,True,False,active WGS and finalized microscopy/IOD record,SRX19953419,GCA_030264895.1,True,True,True,True,True,True,True,3.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
bairdi,True,True,False,active WGS and finalized microscopy/IOD record,SRX21425397,GCA_034783875.1,True,True,True,True,True,True,True,6.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
brimleyorum,False,True,False,finalized microscopy/IOD record; absent from active WGS lookup,,,True,False,True,False,True,False,False,0.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
campi,True,True,False,active WGS and finalized microscopy/IOD record,SRX21425398,GCA_033118305.1,True,True,True,True,True,True,True,11.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
folkertsi,False,True,False,finalized microscopy/IOD record; genomic resource excluded as untrusted,,,True,False,True,False,True,False,False,0.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
fuscus,True,True,False,active reidentified SRX20497025 resource and finalized microscopy/IOD record,SRX20497025,GCA_032353935.1,True,True,True,True,True,True,True,9.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
gvnigeusgwotli,True,True,False,active WGS and finalized microscopy/IOD record,SRX20502827,GCA_032353775.1,True,True,True,True,True,True,True,5.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
intermedius,True,True,False,active WGS and finalized microscopy/IOD record,SRX20502776,GCA_032275315.1,True,True,True,True,True,True,True,7.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
kanawha,True,True,False,active WGS and finalized microscopy/IOD record; terminal-internal proxy absent,SRX20502939,GCA_032353855.1,True,True,True,False,True,False,False,0.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
marmoratus,True,True,False,active WGS and finalized microscopy/IOD record,SRX19954879,GCA_031753695.1,True,True,True,True,True,True,True,3.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
mavrokoilius,True,True,False,active WGS and finalized microscopy/IOD record,SRX20503049,GCA_032354855.1,True,True,True,True,True,True,True,5.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
monticola,True,True,False,active WGS and finalized microscopy/IOD record,SRX19955091,GCA_031753675.1,True,True,True,True,True,True,True,8.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
ochrophaeus,False,True,False,finalized microscopy/IOD record; genomic resource excluded as untrusted,,,True,False,True,False,True,False,False,0.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
ocoee,True,True,False,active WGS and finalized microscopy/IOD record,SRX19952863,GCA_030264995.1,True,True,True,True,True,True,True,5.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
orestes,True,True,True,active WGS and manually finalized microscopy/IOD record retained below the automatic 50-sample target,SRX19952890,GCA_030264915.1,True,True,True,True,True,True,True,7.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
perlapsus,True,True,False,active WGS and finalized microscopy/IOD record,SRX20503048,GCA_032275285.1,True,True,True,True,True,True,True,7.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
tilleyi,True,True,False,active WGS and finalized microscopy/IOD record,SRX21394251,GCA_034782015.1,True,True,True,True,True,True,True,36.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
valtos,True,True,False,active WGS and finalized microscopy/IOD record; terminal-internal proxy absent,SRX20503015,GCA_032357565.1,True,True,True,False,True,False,False,0.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
welteri,True,True,False,active WGS and finalized microscopy/IOD record,SRX19958882,GCA_030264495.1,True,True,True,True,True,True,True,14.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
wrighti,True,True,True,active WGS and manually finalized microscopy/IOD record retained below the automatic 50-sample target,SRX19958881,GCA_030265035.1,True,True,True,True,True,True,True,11.0,True,True,finalized_cell_nucleus_iod_phylogenetic_path
