source_id,short_citation,full_reference,year,doi,url,source_type,taxonomic_scope,trait_blocks,access_date,notes,evidence_stream,sra_accessions,assembly_accession,biosample_accession,bioproject_accession,public_taxon_name,analysis_taxon_name,voucher_or_isolate,tree_tip,analysis_role,inclusion_decision,decision_basis_source_id,decision_date
collaborator_desmog_svl,Collaborator_desmog_SVL,Collaborator-provided Desmognathus maximum SVL workbook,2026,,,collaborator_dataset,desmognathus,max_svl,2026-07-24,Sole authorized body-size source; frozen at analyses/03_phylogenetic_path/data/collaborator_max_svl.xlsx without literature fallback. Exact source-label mappings and the species aggregation rule are recorded in source_species_aliases.csv and trait_registry.csv.
amphibio_2017,Oliveira_2017_AmphiBIO,AmphiBIO global amphibian ecological traits database,2017,10.1038/sdata.2017.123,https://figshare.com/articles/dataset/Oliveira_et_al_AmphiBIO_v1/4644424,dataset,global_amphibian,development|lifestyle,2026-03-08,Used for development and lifestyle only with caution for legacy taxonomy
nc_biodiversity_amphibians,Petranka_Amphibians_of_North_Carolina,Amphibians of North Carolina species accounts,2026,,https://auth1.dpr.ncparks.gov/amphibians/index.php,website,north_carolina_and_adjacent_taxa,development|lifestyle|elevation,2026-03-08,Species account pages provide habitat life-history and elevation evidence and are stored locally as HTML snapshots with hashes
pyron_beamer_2022_ocoee_treatmentbank,Pyron_Beamer_2022_ocoee_TreatmentBank,TreatmentBank XHTML rendering of Desmognathus perlapsus treatment from Pyron and Beamer 2022,2022,10.11646/zootaxa.5190.2.3,https://treatment.plazi.org/GgServer/xhtml/039087A5C5193F4AC4BA191F72C40EB6,website,ocoee_complex,taxonomy,2026-03-08,Retained for taxonomy; not used as a body-size source
pyron_beamer_2023_conanti_fuscus_article,Pyron_Beamer_2023_conanti_fuscus,Systematics of the Desmognathus conanti and D. fuscus complexes with descriptions of six new species from eastern North America,2023,10.11646/zootaxa.5311.4.1,https://doi.org/10.11646/zootaxa.5311.4.1,paper,conanti_fuscus_complex,taxonomy|external_morphology,,Primary modern source for the conanti-fuscus complex; not used as a body-size source
pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_2023_conanti_fuscus_AppS1,Pyron and Beamer conanti-fuscus Appendix S1 specimen morphometrics,2023,10.5281/zenodo.7972011,https://zenodo.org/records/7972011,dataset,conanti_fuscus_complex,external_morphology,,Archived specimen-level morphometric matrix; not used as a body-size source
pyron_beamer_2022_ocoee_article,Pyron_Beamer_2022_ocoee,"Systematics of the Ocoee Salamander (Plethodontidae: Desmognathus ocoee), with description of two new species from the southern Blue Ridge Mountains",2022,10.11646/zootaxa.5190.2.3,https://doi.org/10.11646/zootaxa.5190.2.3,paper,ocoee_complex,taxonomy|lifestyle,,Key revision for the ocoee complex; not used as a body-size source
pyron_beamer_2022_blackbellied_article,Pyron_Beamer_2022_blackbellied,Nomenclatural solutions for diagnosing cryptic species using molecular and morphological data facilitate a taxonomic revision of the Black-bellied Salamanders from the southern Appalachian Mountains,2022,10.11646/bionomina.27.1.1,https://doi.org/10.11646/bionomina.27.1.1,paper,black_bellied_complex,taxonomy|external_morphology,,Key revision for black-bellied salamanders; not used as a body-size source
means_lamb_bernardo_2017_valentinei_article,Means_Lamb_Bernardo_2017_valentinei,A new species of dusky salamander (Amphibia: Plethodontidae: Desmognathus) from the eastern Gulf Coastal Plain of the United States and a redescription of D. auriculatus,2017,10.11646/zootaxa.4263.3.3,https://doi.org/10.11646/zootaxa.4263.3.3,paper,gulf_coastal_plain,taxonomy|external_morphology|lifestyle,,Primary description source for Desmognathus valentinei; not used as a body-size source
graham_timpe_laurencio_2010_auriculatus_decline,Graham_Timpe_Laurencio_2010_auriculatus_decline,"Status and possible decline of the Southern Dusky Salamander (Desmognathus auriculatus) in Georgia and Alabama, USA",2010,,https://www.herpconbio.org/Volume_5/Issue_3/Graham_etal_2010.pdf,paper,auriculatus_complex,lifestyle,2026-03-08,Used for habitat partitioning between blackwater-swamp D. auriculatus and seepage-associated D. apalachicolae; not used as a body-size source
