current_species,search_name_primary,search_name_legacy,species_complex,primary_revision_doi,mapping_status,notes
abditus,Desmognathus abditus,,,,,
adatsihi,Desmognathus adatsihi,,,,,
aeneus,Desmognathus aeneus,,,,,
amphileucus,Desmognathus amphileucus,,,,,
anicetus,Desmognathus anicetus,,,,,
apalachicolae,Desmognathus apalachicolae,,,,,
aureatus,Desmognathus aureatus,,,,,
auriculatus,Desmognathus auriculatus,,,,,
bairdi,Desmognathus bairdi,,,,,
balsameus,Desmognathus balsameus,,,,,
brimleyorum,Desmognathus brimleyorum,,,,,
campi,Desmognathus campi,,,,,
carolinensis,Desmognathus carolinensis,,,,,
catahoula,Desmognathus catahoula,,,,,
cheaha,Desmognathus cheaha,,,,,
conanti,Desmognathus conanti,,,,,
folkertsi,Desmognathus folkertsi,,,,,
fuscus,Desmognathus fuscus,,fuscus_complex,10.11646/zootaxa.5311.4.1,,
gvnigeusgwotli,Desmognathus gvnigeusgwotli,,,,,
imitator,Desmognathus imitator,,,,,
intermedius,Desmognathus intermedius,,,,,
kanawha,Desmognathus kanawha,,,,,
lycos,Desmognathus lycos,,,,,
marmoratus,Desmognathus marmoratus,,,,,
mavrokoilius,Desmognathus mavrokoilius,,,,,
monticola,Desmognathus monticola,,,,,
ochrophaeus,Desmognathus ochrophaeus,,,,,
ocoee,Desmognathus ocoee,,,,,
orestes,Desmognathus orestes,,,,,
organi,Desmognathus organi,,,,,
pascagoula,Desmognathus pascagoula,,,,,
perlapsus,Desmognathus perlapsus,,,,,
santeetlah,Desmognathus santeetlah,,,,,
tilleyi,Desmognathus tilleyi,,,,,
valentinei,Desmognathus valentinei,,,,,
valtos,Desmognathus valtos,,,,,
welteri,Desmognathus welteri,,,,,
wrighti,Desmognathus wrighti,,,,,
