species,filename,specimen_group,n_nuclei,image_median_iod,image_mean_iod,image_median_nucleus_area_um2,image_median_mean_od,image_median_match_log_edge_sharpness,image_median_match_log_relative_ring_noise
D. amphileucus,Process_337_raw_green.ome.tiff,3442,16,958.91010050,954.29014237,41.84640000,0.32593400,0.11075138,0.10480377
D. amphileucus,Process_338_raw_green.ome.tiff,3437,17,1043.75703400,1008.81628547,42.35040000,0.34320700,0.10962187,0.10654324
D. anicetus,Process_343_raw_green.ome.tiff,3441,39,886.07674300,887.79119259,40.19040000,0.31677300,0.10981727,0.10660971
D. apalachicolae,Process_356_raw_green.ome.tiff,3471,18,953.55984150,957.06898844,44.78400000,0.31010400,0.10860383,0.10036347
D. apalachicolae,Process_357_raw_green.ome.tiff,3472,19,850.77040500,855.02152516,38.23200000,0.32139800,0.11285747,0.12102661
D. auriculatus,Process_324_raw_green.ome.tiff,3462,5,1097.45441500,1092.11036060,45.92160000,0.32924300,0.10784607,0.10037920
D. auriculatus,Process_331_raw_green.ome.tiff,3463,31,938.49789800,937.65221568,48.15360000,0.28386900,0.10953906,0.10536051
D. bairdi,Process_359_raw_green.ome.tiff,3455,37,1077.42094600,1076.44748376,46.35360000,0.34102700,0.10985362,0.10219093
D. brimleyorum,Process_348_raw_green.ome.tiff,3464,22,1041.30329700,1054.52177877,45.42480000,0.33132900,0.11026485,0.10590535
D. brimleyorum,Process_349_raw_green.ome.tiff,3468,13,922.51053400,969.61966562,43.25760000,0.33111500,0.10839302,0.10485016
D. campi,Process_346_raw_green.ome.tiff,3431,13,852.69108100,847.12285531,36.82080000,0.32794900,0.10974854,0.10724550
D. campi,Process_347_raw_green.ome.tiff,3432,23,852.98778500,845.86048152,41.06880000,0.29748700,0.11044101,0.10660975
D. folkertsi,Process_366_raw_green.ome.tiff,3521,16,964.21687100,981.81381287,48.59280000,0.29246000,0.10969900,0.10532978
D. folkertsi,Process_367_raw_green.ome.tiff,3520,21,989.86301000,979.76068295,44.98560000,0.31202300,0.11057165,0.10480791
D. fuscus,Process_314_raw_green.ome.tiff,3372,12,1079.68817100,1085.09505942,45.91440000,0.33872650,0.11141142,0.11314751
D. fuscus,Process_315_raw_green.ome.tiff,3373,8,1061.30965400,1028.24355300,47.83680000,0.31566600,0.10845278,0.10082764
D. fuscus,Process_320_raw_green.ome.tiff,3401,5,833.27677700,844.61790520,40.59360000,0.31280300,0.11078480,0.11159106
D. fuscus,Process_321_raw_green.ome.tiff,3402,10,801.28195850,805.29176920,42.75360000,0.26494700,0.10956372,0.10136880
D. gvnigeusgwotli,Process_345_raw_green.ome.tiff,3429,37,891.57887800,886.18518400,42.22080000,0.31077200,0.10944776,0.10178269
D. intermedius,Process_335_raw_green.ome.tiff,3426,19,1003.99638400,1003.51232821,41.22720000,0.34533000,0.11140534,0.10714461
D. intermedius,Process_336_raw_green.ome.tiff,3428,16,1073.31662000,1079.88528119,48.24720000,0.31969250,0.10853364,0.10158595
D. kanawha,Process_339_raw_green.ome.tiff,3422,4,1078.18450550,1134.98392175,47.06640000,0.33875450,0.11238438,0.11798527
D. kanawha,Process_341_raw_green.ome.tiff,3423,30,891.20422100,894.10299970,40.82400000,0.31215500,0.10975194,0.10097591
D. marmoratus,Process_333_raw_green.ome.tiff,3444,8,1068.24027600,1052.06629613,46.99440000,0.32957000,0.11041996,0.10645529
D. marmoratus,Process_334_raw_green.ome.tiff,3445,29,993.78260000,1016.43762555,45.95040000,0.31550200,0.10948552,0.10406936
D. mavrokoilius,Process_317_raw_green.ome.tiff,3355,14,972.48998800,978.77299314,45.39600000,0.31604800,0.10933851,0.10284340
D. mavrokoilius,Process_340_raw_green.ome.tiff,3421,24,813.32185200,810.69358175,37.44720000,0.29803250,0.11008248,0.10855597
