species,genome_panel_status,n_genome_nuclei,n_genome_images,n_size_cells,n_size_images,genome_size_pg_fuscus_anchored,genome_size_pg_fuscus_anchored_ci_low,genome_size_pg_fuscus_anchored_ci_high,nucleus_area_um2,nucleus_area_um2_ci_low,nucleus_area_um2_ci_high,cell_area_um2,cell_area_um2_ci_low,cell_area_um2_ci_high,tree_display_order
D. anicetus,frozen_primary_common_support,39,1,50,1,15.35796409,13.58900796,17.72846420,41.69520000,40.43304000,44.04960000,244.19520000,242.17200000,248.50080000,1
D. tilleyi,frozen_primary_common_support,36,2,50,2,16.57793846,14.56913552,19.24466701,41.85360000,41.47092000,43.29360000,264.47760000,262.69920000,267.31440000,2
D. campi,frozen_primary_common_support,36,2,50,2,14.78187695,12.95455477,17.02114272,37.07280000,35.83440000,38.26080000,257.45040000,248.55840000,259.34400000,3
D. ocoee,frozen_primary_common_support,35,3,50,2,16.68828556,14.62891815,19.62641862,43.44480000,41.99040000,44.51040000,293.15520000,291.54240000,296.75520000,4
D. apalachicolae,frozen_primary_common_support,37,2,50,1,15.63681664,13.61429999,18.67923136,45.20160000,43.71840000,46.85940000,299.54880000,293.76486000,301.44240000,5
D. monticola,frozen_primary_common_support,36,2,50,2,16.79820648,14.69483401,20.32660384,39.60720000,39.12480000,40.96800000,260.07840000,257.16960000,264.94560000,6
D. perlapsus,frozen_primary_common_support,33,3,50,1,14.35603820,12.36741053,17.49785743,43.38000000,41.32800000,45.00000000,293.55120000,289.10880000,299.82240000,7
D. brimleyorum,frozen_primary_common_support,35,2,50,2,17.01894476,14.82939650,20.47764510,45.16560000,43.89120000,46.84320000,329.40000000,325.26720000,332.56080000,8
D. bairdi,frozen_primary_common_support,37,1,50,1,18.67444589,16.69008007,21.81771689,44.20800000,43.66080000,45.43200000,306.13680000,303.52320000,309.71520000,9
D. valtos,frozen_primary_common_support,37,2,50,2,22.56183477,19.96773893,26.19004583,49.96800000,48.79440000,51.43680000,314.19360000,306.84960000,319.67280000,10
D. auriculatus,frozen_primary_common_support,36,2,50,1,17.64411647,14.96286110,21.07276908,49.17600000,47.81520000,50.42880000,315.13680000,312.27534000,318.60000000,11
D. fuscus,frozen_primary_common_support,35,4,50,3,16.36000000,16.36000000,16.36000000,46.94400000,45.19332000,48.21120000,272.80800000,271.00800000,275.01120000,12
D. welteri,frozen_primary_common_support,38,2,50,2,14.96477150,12.79204364,17.53421245,48.70800000,47.86542000,49.99050000,304.54560000,301.53600000,311.18400000,13
D. ochrophaeus,limited_overlap_no_frozen_primary_iod,0,0,50,2,,,,52.13520000,50.47200000,54.25920000,272.30400000,266.58684000,277.32960000,14
D. intermedius,frozen_primary_common_support,35,2,50,1,18.00255946,15.80564685,21.12544042,48.93840000,46.67040000,50.16960000,325.24560000,321.37920000,328.09716000,15
D. marmoratus,frozen_primary_common_support,37,2,50,2,17.87005106,15.79520686,20.89412784,47.60640000,46.49544000,49.50720000,274.90320000,273.67200000,277.43040000,16
D. mavrokoilius,frozen_primary_common_support,38,2,50,2,15.47633110,13.00686778,18.76010812,42.55200000,40.20480000,44.36640000,269.06400000,266.91840000,271.98720000,17
D. kanawha,frozen_primary_common_support,34,2,50,2,17.06725832,14.27108361,22.60026555,41.72400000,40.68000000,43.09920000,288.59040000,283.83840000,291.85920000,18
D. amphileucus,frozen_primary_common_support,33,2,50,2,17.35565806,14.99868833,20.25670417,44.43120000,43.60248000,45.68418000,318.78000000,316.40958000,321.28560000,19
D. gvnigeusgwotli,frozen_primary_common_support,37,1,50,1,15.45333008,13.54428379,17.95088829,46.62000000,44.38080000,47.25360000,272.41920000,271.33200000,275.97600000,20
D. folkertsi,frozen_primary_common_support,37,2,50,2,16.93458770,15.00652840,19.75780996,44.87040000,43.62480000,47.46240000,268.84080000,265.56480000,270.66240000,21
