group,file_count,total_bytes
results/analysis_report.html,1,19429
results/data,35,7434686177
results/data/divergence,1,3204801
results/data/permanova,6,45701
results/data/pgls,3,12372
results/data/trait_evolution,1,6131
results/figures,38,8584351
results/figures/TE_diversity_hierarchical_donuts,34,11452530
results/figures/TE_diversity_multi_donuts,34,11727016
results/figures/TE_diversity_superfamily_donuts,34,7214845
results/figures/class_phylogeny,7,1643385
results/figures/divergence,156,38617339
results/figures/divergence_phylogeny,34,11132884
results/figures/diversity,1,0
results/figures/diversity_phylogeny,6,1858908
results/figures/diversity_threshold_plots,6,2809337
results/figures/landscape,4,1024126
results/figures/order_phylogeny,8,1856775
results/figures/pca,17,2501079
results/figures/permanova,8,1288215
results/figures/pgls,4,348521
results/figures/phylo_landscape,3,772815
results/figures/phylo_signal,3,1193013
results/figures/phylogeny,3,678551
results/figures/superfamily_phylogeny,13,2957617
results/figures/te_landscape,6,1366175
results/figures/trait_evolution,4,407196
results/landscapes,35,3031340
results/phylogeny,1,1092
results/tables/diversity,1,0
results/tables/pca,45,243562
results/tables/phylogenetic_signal,2,14389
results/tables/phylogeny,1,845
