panel_name,n_species,n_genome_stable,n_genome_minor_caution,n_genome_caution,n_genome_sensitivity_limited,n_ltr_high_confidence_species,min_ltr_high_confidence_pairs,n_with_elevation,n_low_body_proxy,n_total_length_body_proxy,n_mixed_stage_body_proxy,n_with_phylo_assistance,species_with_phylo_assistance,species_list
te_genome_all,18,0,4,0,14,15,,7,0,0,9,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;valtos;welteri
te_genome_primary,18,0,4,0,14,15,,7,0,0,9,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;valtos;welteri
te_genome_primary_mediumplus,18,0,4,0,14,15,,7,0,0,9,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;valtos;welteri
te_genome_organismal_primary_mediumplus,18,0,4,0,14,15,,7,0,0,9,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;valtos;welteri
te_genome_organismal_primary_phylofill,18,0,4,0,14,15,,7,0,0,9,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;valtos;welteri
te_genome_primary_phylofill,18,0,4,0,14,15,,7,0,0,9,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;valtos;welteri
te_genome_primary_strict_body,9,0,2,0,7,8,,6,0,0,0,0,,amphileucus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;ocoee;perlapsus;welteri
te_genome_organismal_primary_strict_body,9,0,2,0,7,8,,6,0,0,0,0,,amphileucus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;ocoee;perlapsus;welteri
te_genome_ltr_history_primary_mediumplus,15,0,4,0,11,15,3,6,0,0,7,0,,amphileucus;anicetus;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;welteri
te_genome_ltr_history_primary_strict_body,8,0,2,0,6,8,3,5,0,0,0,0,,amphileucus;gvnigeusgwotli;intermedius;marmoratus;mavrokoilius;ocoee;perlapsus;welteri
te_genome_ectopic_all,16,0,4,0,12,15,,6,0,0,8,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;welteri
te_genome_ectopic_primary_mediumplus,16,0,4,0,12,15,,6,0,0,8,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;welteri
te_genome_ectopic_organismal_primary_mediumplus,16,0,4,0,12,15,,6,0,0,8,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;welteri
te_genome_ectopic_organismal_primary_phylofill,16,0,4,0,12,15,,6,0,0,8,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;welteri
te_genome_ectopic_primary_phylofill,16,0,4,0,12,15,,6,0,0,8,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;welteri
te_genome_ectopic_primary_strict_body,8,0,2,0,6,8,,5,0,0,0,0,,amphileucus;gvnigeusgwotli;intermedius;marmoratus;mavrokoilius;ocoee;perlapsus;welteri
te_genome_ectopic_organismal_primary_strict_body,8,0,2,0,6,8,,5,0,0,0,0,,amphileucus;gvnigeusgwotli;intermedius;marmoratus;mavrokoilius;ocoee;perlapsus;welteri
te_genome_morphology_all,18,0,4,0,14,15,,7,0,0,9,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;valtos;welteri
te_genome_morphology_primary_mediumplus,18,0,4,0,14,15,,7,0,0,9,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;valtos;welteri
te_genome_morphology_primary_phylofill,18,0,4,0,14,15,,7,0,0,9,0,,amphileucus;anicetus;apalachicolae;auriculatus;bairdi;campi;fuscus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;monticola;ocoee;perlapsus;tilleyi;valtos;welteri
te_genome_morphology_primary_strict_body,9,0,2,0,7,8,,6,0,0,0,0,,amphileucus;gvnigeusgwotli;intermedius;kanawha;marmoratus;mavrokoilius;ocoee;perlapsus;welteri
