species,order_dirs,order_helitron,order_line,order_ltr,order_maverick,order_ple,order_sine,order_tir,order_transposon_derivatives,order_yr,te_order_source_id,te_order_source_path,te_order_source_sha256,has_te_order,superfamily_academ,superfamily_cacta,superfamily_cr1,superfamily_chapaev,superfamily_copia,superfamily_cyrypton,superfamily_dirs,superfamily_dada,superfamily_enspm,superfamily_ginger,superfamily_gypsy,superfamily_helitron,superfamily_is3eu,superfamily_jockey,superfamily_kolobok,superfamily_l1,superfamily_l2,superfamily_mite,superfamily_mule,superfamily_maverick,superfamily_merlin,superfamily_mutator,superfamily_p,superfamily_pif_harbinger,superfamily_penelope,superfamily_piggybac,superfamily_tc1_mariner,superfamily_hat,superfamily_trna,te_superfamily_source_id,te_superfamily_source_path,te_superfamily_source_sha256,has_te_superfamily,order_simpson,order_shannon,order_pielou,order_diversity_source_id,order_diversity_source_path,order_diversity_source_sha256,has_order_diversity,superfamily_simpson,superfamily_shannon,superfamily_pielou,superfamily_diversity_source_id,superfamily_diversity_source_path,superfamily_diversity_source_sha256,has_superfamily_diversity,ectopic_n_rows_total,ectopic_n_elements,ectopic_mean_ratio,ectopic_median_ratio,ectopic_mean_terminal_depth,ectopic_mean_internal_depth,ectopic_mean_domain_count,ectopic_n_complete_known,ectopic_complete_fraction,ectopic_source_id,ectopic_source_path,ectopic_source_sha256,has_ectopic,genome_size_pg,genome_size_se_pg,genome_size_gb,genome_size_q1_pg,genome_size_q3_pg,genome_size_ci_low_pg,genome_size_ci_high_pg,genome_size_bootstrap_sd_pg,genome_n_images,genome_n_specimens,genome_n_nuclei,genome_n_analysis_ready_images,genome_n_total_strict_images,genome_cv_area_pct,genome_support_tier,genome_support_warnings,genome_selection_reason,genome_measurement_kind,genome_source_image_existing_pct,genome_tile_manifest_existing_pct,genome_mask_existing_pct,genome_primary_missing,genome_result_status,genome_flag_summary,genome_source_id,genome_source_path,genome_source_sha256,has_genome,morph_n_specimens,morph_n_images,morph_n_ready_images,morph_n_pairs,morph_cell_area_um2,morph_nucleus_area_um2,morph_cell_area_q1_um2,morph_cell_area_q3_um2,morph_cell_area_ci_low_um2,morph_cell_area_ci_high_um2,morph_cell_area_bootstrap_sd_um2,morph_nucleus_area_q1_um2,morph_nucleus_area_q3_um2,morph_nucleus_area_ci_low_um2,morph_nucleus_area_ci_high_um2,morph_nucleus_area_bootstrap_sd_um2,morph_nc_ratio,morph_cytoplasm_area_um2,morph_low_support,morph_effective_n,morph_support_label,morph_support_warnings,morph_n_selected_manual_total,morph_n_selected_auto,morphology_source_id,morphology_source_path,morphology_source_sha256,has_morphology,has_tree_tip,has_te
amphileucus,2.4703653516032573,0.3090392184188019,15.798132414938491,59.84727175923305,0.3709692580531352,0.0100520587906729,1.197205807387068,19.584611876688854,0.2640652979820887,0.1482869569045717,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,True,0.04543748697725,1.1742967104637985,0.0001927511558804,0.0002609850650621,1.0030312689277618,0.1764282169959102,8.54551237080131,0.0005706719221768,0.021355800065394,0.0,52.82073275122913,0.3676873504291186,0.0028122393642964,0.1081506175522158,0.0130825349526914,4.114101231236559,9.84103902125075,0.3141784730497582,0.0146244156989648,0.4413702062867846,0.0,2.73110436325009,0.0126921496116481,5.42819405852272,0.0119596952193023,0.0684141957628284,1.4286997090549802,11.254266338021662,0.0598043871319585,repo_dnapipete_superfamily_breakdown,results/data/dnaPipeTE_superfamily_breakdown.csv,55a2bc1d7cc708aae6eb6aabc3d8a1e85e24c9e6af4aa99175eb8236d583e373,True,0.5777305102124376,1.1273590229229562,0.4896058027792815,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,True,0.68546805636241,1.6692123793109626,0.5064608617399846,repo_diversity_superfamily_stats,results/data/diversity_superfamily_stats.csv,efb9c93176dea97266d7a2171b7c6e6b62b911d849a9b8be1d47cd675c5fdcf9,True,25.0,25.0,0.8378240300423753,0.7277679194210502,294.01351670466005,253.53317769118974,5.52,25.0,0.4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,True,14.292299,0.330574,13.977868422,13.759327,14.936856,13.79025,15.029807,0.330574,1.0,1.0,38.0,1.0,2.0,,limited,low_image_count; low_specimen_count,image_qc_pass,verified_linked_nucleus_iod,100.0,100.0,100.0,False,sensitivity_limited,low_image_count; low_specimen_count,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,2.0,2.0,1.0,50.0,297.7488,41.7888,287.5536,308.3472,291.4128,300.9024,2.463332,40.176,45.1728,40.7232,42.65496,0.739668,0.1392439999999999,256.0032,False,36.354379,medium,,27.0,23.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,True
anicetus,1.817939366013266,0.1770377282490229,17.890358982287186,60.22117392955989,0.2538304723493523,0.005847912197612,1.2442760559756283,18.00698517245311,0.2109369965972599,0.1716133843176704,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,True,0.0454600661005624,0.9678397048014395,1.4666128791281955e-05,0.0,0.7867123475868897,0.200520379315262,8.002376515508752,4.839822501123045e-05,0.0405989110484702,0.0,53.73284589912093,0.2068584135366363,0.0020848568719025,0.0960310114279995,0.0201263285402762,6.112496092909958,10.024428224103024,0.2464677608770257,0.0158239529951318,0.2965863227954736,0.0,2.3939751350932457,0.0082348979878612,5.079987693144683,0.0068329494038582,0.0421784531192913,1.5483133494573464,9.860828624063824,0.2623290458363536,repo_dnapipete_superfamily_breakdown,results/data/dnaPipeTE_superfamily_breakdown.csv,55a2bc1d7cc708aae6eb6aabc3d8a1e85e24c9e6af4aa99175eb8236d583e373,True,0.5724070872553466,1.1003166499118506,0.4778614494029889,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,True,0.6777849219333227,1.6482419156077723,0.505891061352248,repo_diversity_superfamily_stats,results/data/diversity_superfamily_stats.csv,efb9c93176dea97266d7a2171b7c6e6b62b911d849a9b8be1d47cd675c5fdcf9,True,26.0,26.0,0.6891525143589446,0.5710332905967515,360.7114934440922,533.8499067435823,5.3076923076923075,25.0,0.16,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,True,13.069896,0.298012,12.782358288,12.391482,13.637803,12.580091,13.763685,0.298012,1.0,1.0,50.0,1.0,1.0,,limited,low_image_count; low_specimen_count,image_qc_pass,verified_linked_nucleus_iod,100.0,100.0,100.0,False,sensitivity_limited,low_image_count; low_specimen_count,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,1.0,1.0,1.0,50.0,232.8768,39.312,220.1328,242.6544,228.0366,237.7728,2.715261,37.584,40.4352,38.5776,40.0176,0.397517,0.171142,192.3696,True,49.800929,limited,low_image_count; low_specimen_count,38.0,12.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,True
apalachicolae,1.664503321479298,0.1645956570374226,17.788751890209607,61.3098244580161,0.3155658911692147,0.0076002392896559,1.007558555855225,17.368018692883023,0.2093377044513681,0.1642435896090858,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,True,0.0406848848561924,1.0281829014860009,0.0,0.0,0.8020352471114807,0.1935023820925227,7.44333254941065,0.0,0.0370828123368207,0.0,55.52111465899545,0.1939171677544929,0.0008552070261635,0.0954949134588169,0.0272040944851385,5.655276927545502,9.9440567195449,0.2466296832012212,0.0149007519171929,0.3717816433123967,0.0,2.3380233406198374,0.0095735248167158,4.750230250904872,0.0089541662510051,0.0476288275173709,1.3370604277543536,9.830153192855189,0.0623237247457121,repo_dnapipete_superfamily_breakdown,results/data/dnaPipeTE_superfamily_breakdown.csv,55a2bc1d7cc708aae6eb6aabc3d8a1e85e24c9e6af4aa99175eb8236d583e373,True,0.5619034382691934,1.0785046288346836,0.4683886090100178,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,True,0.6602691570923951,1.602245281501596,0.5041592644534205,repo_diversity_superfamily_stats,results/data/diversity_superfamily_stats.csv,efb9c93176dea97266d7a2171b7c6e6b62b911d849a9b8be1d47cd675c5fdcf9,True,12.0,12.0,0.6117555162106489,0.5803427918437141,327.1605572688414,579.1448579718149,5.333333333333333,12.0,0.0,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,True,12.687106,0.442008,12.407989668,11.901999,13.380065,11.946446,13.557567,0.442008,1.0,1.0,19.0,1.0,2.0,,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,image_qc_pass,verified_linked_nucleus_iod,100.0,100.0,100.0,False,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count; auto_dominant,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,2.0,2.0,1.0,50.0,267.84,39.4704,259.344,279.5616,259.3584,282.0528,6.104614,35.568,42.7104,34.6176,43.8912,2.763261,0.1466305,229.968,False,47.309172,medium,,26.0,24.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,True
auriculatus,1.0942125314434767,0.1127029583672735,15.258771722063347,64.75484662517069,0.588289730326632,0.0037625207846084,0.7261387085409329,17.169374934065605,0.1881367089736073,0.1037635602638195,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,True,0.0265940914567049,0.9620410703143404,0.0,0.0,0.5873692273791955,0.1227595039916104,6.092308532524644,0.0,0.0380160077093031,0.0,58.36217139405835,0.1333354332906188,0.0012893715076016,0.0850111291707815,0.0143912454968763,6.053929005313761,7.926864498259933,0.2225788033630819,0.0122127987475178,0.6959876406962177,0.0,2.718203175562172,0.0086953379275708,5.289821694036465,0.0044513236063056,0.0689274242648871,1.0421748480155308,9.463748848520115,0.0671175947864113,repo_dnapipete_superfamily_breakdown,results/data/dnaPipeTE_superfamily_breakdown.csv,55a2bc1d7cc708aae6eb6aabc3d8a1e85e24c9e6af4aa99175eb8236d583e373,True,0.5277062746752152,1.01315063674767,0.4400057308762791,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,True,0.6329379574554319,1.5446144775957855,0.4860252720850468,repo_diversity_superfamily_stats,results/data/diversity_superfamily_stats.csv,efb9c93176dea97266d7a2171b7c6e6b62b911d849a9b8be1d47cd675c5fdcf9,True,13.0,13.0,0.7461199972913716,0.7094433907699379,563.7034287037926,798.3795150357845,5.461538461538462,13.0,0.23076923076923078,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,True,14.527962,0.385348,14.208346836,13.524351,15.214946,13.870803,15.311429,0.385348,1.0,1.0,48.0,1.0,2.0,,limited,low_image_count; low_specimen_count,image_qc_pass,verified_linked_nucleus_iod,100.0,100.0,100.0,False,sensitivity_limited,low_image_count; low_specimen_count,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,2.0,2.0,1.0,50.0,277.1136,47.2032,256.6512,285.0768,256.6512,286.0416,10.783711,46.224,48.4992,46.1808,48.4992,0.928335,0.1669835,237.0096,True,7.677231,limited,,26.0,24.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,True
bairdi,1.3958902960088928,0.1190160408902923,15.101245241350467,66.57161897296119,0.509552771434277,0.0032950836389874,0.87569499945817,15.113017625675491,0.1944629286368535,0.1162060399453728,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,True,0.0248125912735603,0.8439811895008155,0.0,8.004563457862676e-05,0.6115918417144647,0.1366947318227634,7.217463246681952,0.0,0.0420096001924196,0.0,59.79428585395448,0.1400001738270521,0.0033422941051111,0.0931240622815436,0.0175758197993913,5.280708386588608,8.632444167440019,0.2287493652823881,0.0112553255593076,0.5993937963422347,0.0,2.068062484814063,0.0062435594971328,4.407456698111496,0.0038760513186466,0.0444493767764148,1.1188692653632293,8.543314729308014,0.1302153428103025,repo_dnapipete_superfamily_breakdown,results/data/dnaPipeTE_superfamily_breakdown.csv,55a2bc1d7cc708aae6eb6aabc3d8a1e85e24c9e6af4aa99175eb8236d583e373,True,0.510872814689814,0.998289918319162,0.43355180286566,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,True,0.6170637259504024,1.5043085507007534,0.4673397274535585,repo_diversity_superfamily_stats,results/data/diversity_superfamily_stats.csv,efb9c93176dea97266d7a2171b7c6e6b62b911d849a9b8be1d47cd675c5fdcf9,True,32.0,32.0,0.5802435067623078,0.5432169726335889,304.02162629310436,691.7424877037844,5.28125,32.0,0.1875,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,True,16.285622,0.413025,15.927338316,15.647266,17.327555,15.695161,17.253027,0.413025,1.0,1.0,50.0,1.0,1.0,,limited,low_image_count; low_specimen_count,image_qc_pass,verified_linked_nucleus_iod,100.0,100.0,100.0,False,sensitivity_limited,low_image_count; low_specimen_count,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,1.0,1.0,1.0,50.0,286.3152,42.6384,277.0992,300.1392,281.448,291.47616,2.614574,40.5216,46.1808,41.616,44.0064,0.614892,0.1465485,242.9496,True,49.831488,limited,low_image_count; low_specimen_count,27.0,23.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,True
brimleyorum,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,False,,,,,,,False,,,,,,,,,,,,,False,15.080389,0.424146,14.748620442,14.023202,16.565599,14.330268,15.987434,0.424146,1.0,1.0,35.0,1.0,2.0,,limited,low_image_count; low_specimen_count,image_qc_pass,verified_linked_nucleus_iod,100.0,100.0,100.0,False,sensitivity_limited,low_image_count; low_specimen_count,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,2.0,2.0,1.0,50.0,292.9968,42.1344,279.6192,306.4608,286.3008,303.5664,4.043517,39.3408,44.8128,40.0752,43.5024,0.865786,0.142763,251.2368,False,41.545213,medium,,43.0,7.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,False
campi,1.542703514101561,0.1410744872896248,16.770744404953916,62.44755652849421,0.4020151002349578,0.0044755035023684,1.2911077487360874,17.0893539640559,0.1757762050021948,0.1351925436291771,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,True,0.0317569898677833,1.0013203618232989,0.0,0.0,0.7235045852599111,0.1598116370935062,7.899349925722624,0.0,0.033755479987261,0.0,55.45385050747535,0.1667647058089398,0.0008732017276105,0.0894834569526297,0.0223255286304581,5.870473847895786,9.456809323672951,0.2077857426851603,0.0111759340506976,0.4752236297963475,0.0,2.614542764098253,0.0057858578148499,4.826882220696184,0.0052905102776457,0.0443964883428541,1.3626772176317252,9.3572597759267,0.178900306761476,repo_dnapipete_superfamily_breakdown,results/data/dnaPipeTE_superfamily_breakdown.csv,55a2bc1d7cc708aae6eb6aabc3d8a1e85e24c9e6af4aa99175eb8236d583e373,True,0.5522721190984154,1.067878909853085,0.4637739178900549,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,True,0.66171339221648,1.6100799351014812,0.5066245007326398,repo_diversity_superfamily_stats,results/data/diversity_superfamily_stats.csv,efb9c93176dea97266d7a2171b7c6e6b62b911d849a9b8be1d47cd675c5fdcf9,True,33.0,33.0,1.061079584935976,0.6817955026393268,552.3323253478479,498.1063183424723,5.484848484848484,33.0,0.3333333333333333,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,True,12.794174,0.504849,12.512702172,11.780579,13.427306,11.741264,13.706185,0.504849,2.0,2.0,50.0,2.0,2.0,,medium,,image_qc_pass,verified_linked_nucleus_iod,100.0,100.0,100.0,False,minor_caution,,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,2.0,2.0,2.0,50.0,237.3984,37.1232,221.976,257.256,223.2864,258.2928,8.917051,34.5888,41.6304,34.6032,42.1344,2.347481,0.1622545,196.1136,False,48.316586,medium,,32.0,18.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,True
folkertsi,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,False,,,,,,,False,,,,,,,,,,,,,False,15.732414,1.483722,15.386300892,14.651829,16.461589,13.89338,18.973593,1.483722,2.0,2.0,50.0,0.0,2.0,,medium,auto_dominant,all_selected_fallback,verified_linked_nucleus_iod,100.0,100.0,100.0,True,minor_caution,auto_dominant; all_selected_genome_fallback,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,2.0,2.0,0.0,50.0,235.6416,42.2208,219.5856,252.4464,223.6608,251.136,6.619579,39.3696,44.8992,39.4848,44.7264,1.344302,0.186658,193.1976,False,46.457716,medium,auto_dominant,23.0,27.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,False
fuscus,1.4372898270326195,0.1499901741269681,16.359921687490772,64.69634795975236,0.4976283035455974,0.0045735613245865,0.9211603144384434,15.591698618154831,0.2239720143490352,0.1174175397847909,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,True,0.0288528022603234,0.8828378682477809,0.0,0.0,0.7063041852348982,0.1387931298642002,7.308673156948031,0.0002019971722266,0.0394363318784861,0.0,57.96541116384131,0.1772955365451694,0.0025588802274288,0.0869177622441536,0.0176808623608413,5.585778052427431,9.457731546194523,0.264745598745024,0.0134965283450505,0.5882203790395888,0.0,2.397833243665916,0.0069907231240034,4.508205184363411,0.0054061675285368,0.041839100711083,1.1329242080113262,8.549102753810615,0.0927628372086397,repo_dnapipete_superfamily_breakdown,results/data/dnaPipeTE_superfamily_breakdown.csv,55a2bc1d7cc708aae6eb6aabc3d8a1e85e24c9e6af4aa99175eb8236d583e373,True,0.5300386016638509,1.0300013025476809,0.4473238820496196,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,True,0.6363734673130685,1.5502319541322205,0.4816066348864811,repo_diversity_superfamily_stats,results/data/diversity_superfamily_stats.csv,efb9c93176dea97266d7a2171b7c6e6b62b911d849a9b8be1d47cd675c5fdcf9,True,34.0,34.0,0.9311442661930337,0.7073111601209732,622.2541002604165,592.0000981719392,5.411764705882353,34.0,0.2647058823529412,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,True,16.36,0.445123,16.00008,15.502984,16.987299,15.53629,17.297055,0.445123,1.0,1.0,23.0,1.0,4.0,,limited,low_pair_count; low_image_count; low_specimen_count,image_qc_pass,verified_linked_nucleus_iod,100.0,100.0,100.0,False,sensitivity_limited,low_pair_count; low_image_count; low_specimen_count,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,4.0,4.0,1.0,50.0,257.2272,44.2512,236.52,268.4592,234.9216,273.1248,9.886193,41.8032,47.2752,41.8032,47.3616,1.993237,0.176701,214.7328,True,10.447693,limited,,25.0,25.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,True
gvnigeusgwotli,2.509054122857364,0.3217249139734046,15.541189973092004,60.40273239428559,0.4994791339875875,0.0132607562417608,1.103973288611963,19.19136100679346,0.2562593626989023,0.1609650474579714,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,True,0.0473159642815319,1.2835469831842363,0.0,0.0006288326194525,0.9240268547905556,0.1900177117850468,8.365180505081312,0.0005720977719738,0.0257796985692699,0.0002501724383166,54.0314584383503,0.3797932094135501,0.0022527071793003,0.0955034887765937,0.0166575822666295,3.8267523697796015,9.64712748855102,0.3025117470689029,0.0155343093021817,0.5896303801574034,0.0,2.764925042182648,0.0087077722129093,5.2621488886466805,0.0156541969663109,0.0674981668579283,1.3751347406097345,10.69225153794084,0.0691391132157731,repo_dnapipete_superfamily_breakdown,results/data/dnaPipeTE_superfamily_breakdown.csv,55a2bc1d7cc708aae6eb6aabc3d8a1e85e24c9e6af4aa99175eb8236d583e373,True,0.5733714145837426,1.124606127600384,0.4884102355314311,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,True,0.674822084024201,1.6506342717410984,0.5008240209844568,repo_diversity_superfamily_stats,results/data/diversity_superfamily_stats.csv,efb9c93176dea97266d7a2171b7c6e6b62b911d849a9b8be1d47cd675c5fdcf9,True,27.0,27.0,0.7425686328993906,0.5132832219481414,528.4915766152493,551.9317339105248,5.407407407407407,27.0,0.18518518518518517,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,True,13.709404,0.401855,13.407797112,12.546889,14.531212,12.9843,14.55153,0.401855,1.0,1.0,50.0,1.0,1.0,,limited,low_image_count; low_specimen_count,image_qc_pass,verified_linked_nucleus_iod,100.0,100.0,100.0,False,sensitivity_limited,low_image_count; low_specimen_count,cellprofiler_final_species_results,path_analysis/data/external/derived/cellprofiler_final_species_results.csv,9587ed8a281e2641744c12cd244195714a7a414105cc676554247c8779a1c332,True,1.0,1.0,1.0,50.0,253.9296,41.2848,245.3184,266.1984,248.5152,259.2144,2.797217,39.384,44.5248,40.3776,43.272,0.691682,0.161044,210.7656,True,49.804632,limited,low_image_count; low_specimen_count,25.0,25.0,cellprofiler_species_morphology_summary,path_analysis/data/external/derived/cellprofiler_species_morphology_summary.csv,7d4e7322aea3bc1742e8868cd7c363e11e16872d1cdd7c5a726ff19c70c05da9,True,True,True
