species,ltr_history_n_pairs_attempted,ltr_history_n_pairs_estimated,ltr_history_n_pairs_high_confidence,ltr_history_median_p_distance,ltr_history_median_k2p_distance,ltr_history_median_comparable_sites,ltr_history_age_central_mya,ltr_history_age_high_mya,ltr_history_age_low_mya,ltr_history_age_central_high_conf_mya,ltr_history_age_high_high_conf_mya,ltr_history_age_low_high_conf_mya,has_ltr_history,ltr_history_source_id,ltr_history_source_path,ltr_history_source_sha256,ltr_history_calibration_source_id,ltr_history_calibration_source_path,ltr_history_calibration_source_sha256,ltr_history_rate_source_id,ltr_history_rate_source_path,ltr_history_rate_source_sha256,ltr_history_source_ids,ltr_history_rate_window_low,ltr_history_rate_window_high,ltr_history_rate_central
abditus,98,98,19,0.0667428876878303,0.0701842948759122,372.5,28.599957162148414,22.936044077095488,35.0921474379561,30.177575833002,24.201232383721205,37.027885547093454,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
adatsihi,50,50,4,0.0708369346009795,0.0754818633059913,392.0,30.75870550366392,24.66727559019322,37.74093165299563,31.875666031728688,25.563034131327512,39.111442220931096,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
aeneus,33,33,9,0.0517241379310344,0.0536581346507163,232.0,21.865580542264183,17.53533812114912,26.82906732535815,21.865580542264183,17.53533812114912,26.82906732535815,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
amphileucus,30,30,10,0.0705650732246477,0.074598265103534,370.0,30.39864103648492,24.378518007690847,37.299132551767,20.19778596783586,16.1978322761664,24.7826833825346,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
anicetus,34,34,4,0.0682196286472148,0.0720531268331757,451.5,29.361502377007213,23.54677347489402,36.02656341658785,24.344561912033317,19.523383964748284,29.870777466064872,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
apalachicolae,17,17,0,0.0633802816901408,0.0664780730178058,669.0,27.089679306359333,21.724860463335222,33.2390365089029,,,,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
aureatus,27,27,7,0.0841121495327102,0.0897945230666237,471.0,36.59108519422318,29.34461538124957,44.89726153331184,19.67651960588664,15.77979709570124,24.1430895564229,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
auriculatus,17,17,3,0.064516129032258,0.0675641907796391,399.0,27.532270081352525,22.07980090837879,33.782095389819546,29.64273556738016,23.772311464820557,36.37163654117545,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
bairdi,42,42,6,0.0641593795750405,0.067379440672385,389.0,27.456984789072923,22.01942505633495,33.68972033619248,29.81677810707137,23.911886756455274,36.585186737376574,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
balsameus,38,38,5,0.0612433721219885,0.0643676401334175,323.5,26.2296822059566,21.035176514188723,32.18382006670875,20.698212761682434,16.599154940251207,25.396707058584347,True,repo_ltr_age_species_summary,results/data/ltr_age/ltr_age_species_summary.csv,a15c165c1f4aeacf50ed35ed964b078ccfd12a2ffe8f3088899b8590746dab0c,repo_ltr_age_species_summary_calibrated,results/data/ltr_age/ltr_age_species_summary_calibrated.csv,9d0e42dbb1f37ccb11b63051774309b9d7f3a085710f8c40a54339e41c27abc9,repo_ltr_substitution_rate_candidates,results/data/ltr_age/ltr_substitution_rate_candidates.csv,c9ab443998b828cdfc0c01c5706f161ef5fce4b77d563d2895d7c96d1d9be499,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,1e-09,1.53e-09,1.227e-09
