family,panel,run_type,run_label,removed_species,removed_clade,n_species,status,warning_count,winner_model,winner_margin_cicc,winner_weight,baseline_winner_model,baseline_winner_margin_cicc,same_winner,ltr_balance_to_te_evenness_coef,ltr_balance_to_te_evenness_sign,ltr_balance_to_te_evenness_same_sign_as_baseline,ltr_balance_to_te_evenness_present,te_evenness_to_gs_coef,te_evenness_to_gs_sign,te_evenness_to_gs_same_sign_as_baseline,te_evenness_to_gs_present,body_size_to_gs_coef,body_size_to_gs_sign,body_size_to_gs_same_sign_as_baseline,body_size_to_gs_present,ltr_history_to_gs_coef,ltr_history_to_gs_sign,ltr_history_to_gs_same_sign_as_baseline,ltr_history_to_gs_present,ectopic_index_to_gs_coef,ectopic_index_to_gs_sign,ectopic_index_to_gs_same_sign_as_baseline,ectopic_index_to_gs_present
te_genome,te_genome_primary_mediumplus,clade_jackknife,drop_clade_coastal_clade,apalachicolae;auriculatus;fuscus;monticola,coastal_clade,23,ok,1,mediated_evenness,24.44950368054399,0.9999918265052374,mediated_evenness,30.44751099087926,TRUE,-0.9446326022650277,negative,TRUE,TRUE,-0.07214441851182317,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,clade_jackknife,drop_clade_mountain_clade,anicetus;ocoee;orestes;santeetlah,mountain_clade,23,ok,1,mediated_evenness,24.71101566234732,0.9999938322577758,mediated_evenness,30.44751099087926,TRUE,-0.9007653582675677,negative,TRUE,TRUE,-0.38400933711730284,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,clade_jackknife,drop_clade_small_clade,aeneus;aureatus;gvnigeusgwotli;wrighti,small_clade,23,ok,0,mediated_evenness,27.97691090574279,0.9999984202920352,mediated_evenness,30.44751099087926,TRUE,-0.8917440570073093,negative,TRUE,TRUE,0.05977632622713411,positive,FALSE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,clade_jackknife,drop_clade_southern_appalachian,organi;valentinei;welteri,southern_appalachian,24,ok,1,mediated_evenness,28.039559767966594,0.9999989205253275,mediated_evenness,30.44751099087926,TRUE,-0.8585010718668858,negative,TRUE,TRUE,-0.30100962019665967,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,leave_one_species_out,drop_aeneus,aeneus,NA,26,ok,1,mediated_evenness,31.166639618874306,0.9999997303830125,mediated_evenness,30.44751099087926,TRUE,-0.9353027429894326,negative,TRUE,TRUE,-0.1038393806894131,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,leave_one_species_out,drop_amphileucus,amphileucus,NA,26,ok,1,mediated_evenness,29.79950187012674,0.9999995191136272,mediated_evenness,30.44751099087926,TRUE,-0.9166809686439104,negative,TRUE,TRUE,-0.40603813316195314,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,leave_one_species_out,drop_anicetus,anicetus,NA,26,ok,1,mediated_evenness,28.928913157224002,0.9999992362332881,mediated_evenness,30.44751099087926,TRUE,-0.9042872464736649,negative,TRUE,TRUE,-0.25062034515529896,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,leave_one_species_out,drop_apalachicolae,apalachicolae,NA,26,ok,1,mediated_evenness,28.965747953586863,0.9999992124366185,mediated_evenness,30.44751099087926,TRUE,-0.9070933696397007,negative,TRUE,TRUE,-0.13526801253929394,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,leave_one_species_out,drop_aureatus,aureatus,NA,26,ok,1,mediated_evenness,28.300727310284273,0.9999988603833068,mediated_evenness,30.44751099087926,TRUE,-0.8976299803096129,negative,TRUE,TRUE,-0.12069179464302662,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,leave_one_species_out,drop_auriculatus,auriculatus,NA,26,ok,1,mediated_evenness,28.52887130599372,0.9999989695061774,mediated_evenness,30.44751099087926,TRUE,-0.917122495560546,negative,TRUE,TRUE,-0.11446496913748107,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,leave_one_species_out,drop_bairdi,bairdi,NA,26,ok,1,mediated_evenness,28.931022127279455,0.9999990990620667,mediated_evenness,30.44751099087926,TRUE,-0.9293142718019815,negative,TRUE,TRUE,-0.12585878699872038,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
te_genome,te_genome_primary_mediumplus,leave_one_species_out,drop_campi,campi,NA,26,ok,1,mediated_evenness,29.417564205953404,0.9999993592828087,mediated_evenness,30.44751099087926,TRUE,-0.914969556615422,negative,TRUE,TRUE,-0.11962837441051805,negative,TRUE,TRUE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE,NA,absent,TRUE,FALSE
