family,panel,run_type,n_runs,same_winner_n,same_winner_frac,unique_winner_models,min_winner_margin_cicc,median_winner_margin_cicc,failed_or_skipped_runs,baseline_winner_model,ltr_balance_to_te_evenness_baseline_sign,ltr_balance_to_te_evenness_presence_frac,ltr_balance_to_te_evenness_same_sign_frac,te_evenness_to_gs_baseline_sign,te_evenness_to_gs_presence_frac,te_evenness_to_gs_same_sign_frac,body_size_to_gs_baseline_sign,body_size_to_gs_presence_frac,body_size_to_gs_same_sign_frac,ltr_history_to_gs_baseline_sign,ltr_history_to_gs_presence_frac,ltr_history_to_gs_same_sign_frac,ectopic_index_to_gs_baseline_sign,ectopic_index_to_gs_presence_frac,ectopic_index_to_gs_same_sign_frac
te_genome,te_genome_primary_mediumplus,all_runs,31,31,1,1,24.44950368054399,28.965747953586863,0,mediated_evenness,negative,1,1,negative,1,0.9032258064516129,absent,NA,NA,absent,NA,NA,absent,NA,NA
te_genome,te_genome_primary_mediumplus,leave_one_species_out,27,27,1,1,25.770634838684792,29.123251066535662,0,mediated_evenness,negative,1,1,negative,1,0.9259259259259259,absent,NA,NA,absent,NA,NA,absent,NA,NA
te_genome,te_genome_primary_mediumplus,clade_jackknife,4,4,1,1,24.44950368054399,26.343963284045056,0,mediated_evenness,negative,1,1,negative,1,0.75,absent,NA,NA,absent,NA,NA,absent,NA,NA
te_genome_ectopic_organismal,te_genome_ectopic_organismal_primary_mediumplus,all_runs,28,28,1,1,3.0125387780878725,5.542316272845504,0,te_body_size_baseline,negative,1,1,negative,1,0.9285714285714286,positive,1,1,absent,NA,NA,absent,NA,NA
te_genome_ectopic_organismal,te_genome_ectopic_organismal_primary_mediumplus,leave_one_species_out,24,24,1,1,3.0125387780878725,5.508965201253975,0,te_body_size_baseline,negative,1,1,negative,1,0.9583333333333334,positive,1,1,absent,NA,NA,absent,NA,NA
te_genome_ectopic_organismal,te_genome_ectopic_organismal_primary_mediumplus,clade_jackknife,4,4,1,1,5.8906213672590795,6.968122453217493,0,te_body_size_baseline,negative,1,1,negative,1,0.75,positive,1,1,absent,NA,NA,absent,NA,NA
te_genome_ltr_history,te_genome_ltr_history_primary_mediumplus,all_runs,28,26,0.9285714285714286,2,0.01798458648208623,3.6989415829071213,0,history_additive,negative,1,1,positive,1,0.75,absent,NA,NA,positive,0.9285714285714286,0.9285714285714286,absent,NA,NA
te_genome_ltr_history,te_genome_ltr_history_primary_mediumplus,leave_one_species_out,24,23,0.9583333333333334,2,0.01798458648208623,3.709932228425064,0,history_additive,negative,1,1,positive,1,0.7916666666666666,absent,NA,NA,positive,0.9583333333333334,0.9583333333333334,absent,NA,NA
te_genome_ltr_history,te_genome_ltr_history_primary_mediumplus,clade_jackknife,4,3,0.75,2,0.9408120693988664,2.627513276621837,0,history_additive,negative,1,1,positive,1,0.5,absent,NA,NA,positive,0.75,0.75,absent,NA,NA
te_genome_organismal,te_genome_organismal_primary_mediumplus,all_runs,31,16,0.5161290322580645,2,0.004463671715356554,0.8244071705395655,0,body_size_additive,negative,1,1,negative,1,0.9354838709677419,positive,0.5161290322580645,0.5161290322580645,absent,NA,NA,absent,NA,NA
te_genome_organismal,te_genome_organismal_primary_mediumplus,leave_one_species_out,27,14,0.5185185185185185,2,0.004463671715356554,0.5949547437390237,0,body_size_additive,negative,1,1,negative,1,0.9629629629629629,positive,0.5185185185185185,0.5185185185185185,absent,NA,NA,absent,NA,NA
te_genome_organismal,te_genome_organismal_primary_mediumplus,clade_jackknife,4,2,0.5,2,0.8244071705395655,1.7488205468588092,0,body_size_additive,negative,1,1,negative,1,0.75,positive,0.5,0.5,absent,NA,NA,absent,NA,NA
