species,adult_svl_min_mm,adult_svl_max_mm,adult_svl_mid_mm,adult_total_length_min_mm,adult_total_length_max_mm,adult_total_length_mid_mm,body_size_proxy_mm,body_size_proxy_measurement,body_size_proxy_source_id,body_size_source_detail,body_size_proxy_confidence,development_mode,development_source_id,development_source_detail,development_confidence,aquaticity_index,microhabitat_class,lifestyle_source_id,lifestyle_source_detail,lifestyle_confidence,elevation_min_m,elevation_max_m,elevation_mid_m,elevation_source_id,elevation_source_detail,organismal_source_ids
abditus,,,,,,,,,,,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,1.0,streamside,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017
adatsihi,,,,,,,,,,,,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_adatsihi.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_adatsihi.html,medium,1500.0,,,nc_biodiversity_amphibians,Desmognathus_adatsihi.html,nc_biodiversity_amphibians
aeneus,,,,38.0,57.0,47.5,57.0,adult_total_length_max_mm,nc_biodiversity_amphibians,Desmognathus_aeneus.html,low,direct_development,amphibio_2017,AmphiBIO_v1.zip,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_aeneus.html,medium,,,,,,amphibio_2017;nc_biodiversity_amphibians
amphileucus,79.0,120.0,99.5,,,,99.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,Desmognathus_amphileucus.html,high,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_amphileucus.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_amphileucus.html,medium,490.0,1676.0,1083.0,nc_biodiversity_amphibians,Desmognathus_amphileucus.html,nc_biodiversity_amphibians
anicetus,,,,,,,45.099,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_anicetus.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_anicetus.html,medium,,,,,,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1
apalachicolae,,,,,,,91.5,amphibio_body_size_mm_measurement,amphibio_2017,AmphiBIO_v1.zip,low,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,1.0,streamside,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017
aureatus,34.0,73.0,53.5,,,,53.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,Desmognathus_aureatus.html,high,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_aureatus.html,medium,2.0,stream_aquatic,nc_biodiversity_amphibians,Desmognathus_aureatus.html,medium,400.0,1100.0,750.0,nc_biodiversity_amphibians,Desmognathus_aureatus.html,nc_biodiversity_amphibians
auriculatus,,,,,,,163.0,amphibio_body_size_mm_measurement,amphibio_2017,AmphiBIO_v1.zip,low,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,medium,1.0,streamside,amphibio_2017,AmphiBIO_v1.zip,low,,,,,,amphibio_2017
bairdi,,,,,,,53.70100000000001,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,Pyron_Beamer_conanti_fuscus_Appendix_S1.csv,medium,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_bairdi.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_bairdi.html,medium,,,,,,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1
balsameus,,,,,,,,,,,,aquatic_larva,nc_biodiversity_amphibians,Desmognathus_balsameus.html,medium,1.0,streamside,nc_biodiversity_amphibians,Desmognathus_balsameus.html,medium,1000.0,,,nc_biodiversity_amphibians,Desmognathus_balsameus.html,nc_biodiversity_amphibians
