"species","phylo_body_size_proxy_mm_observed","phylo_body_size_proxy_mm_observed_confidence","phylo_body_size_proxy_mm","phylo_body_size_proxy_mm_status","phylo_body_size_proxy_mm_recommendation","phylo_body_size_proxy_mm_method","phylo_body_size_proxy_mm_training_n","phylo_body_size_proxy_mm_top_donor_species","phylo_body_size_proxy_mm_top_donor_distance","phylo_body_size_proxy_mm_neighbor_species","phylo_body_size_proxy_mm_neighbor_support","phylo_body_size_proxy_mm_neighbor_support_label","phylo_body_size_proxy_mm_cv_primary_metric_type","phylo_body_size_proxy_mm_cv_primary_metric_value","phylo_development_mode_observed","phylo_development_mode_observed_confidence","phylo_development_mode","phylo_development_mode_status","phylo_development_mode_recommendation","phylo_development_mode_method","phylo_development_mode_training_n","phylo_development_mode_top_donor_species","phylo_development_mode_top_donor_distance","phylo_development_mode_neighbor_species","phylo_development_mode_neighbor_support","phylo_development_mode_neighbor_support_label","phylo_development_mode_cv_primary_metric_type","phylo_development_mode_cv_primary_metric_value","phylo_aquaticity_index_observed","phylo_aquaticity_index_observed_confidence","phylo_aquaticity_index","phylo_aquaticity_index_status","phylo_aquaticity_index_recommendation","phylo_aquaticity_index_method","phylo_aquaticity_index_training_n","phylo_aquaticity_index_top_donor_species","phylo_aquaticity_index_top_donor_distance","phylo_aquaticity_index_neighbor_species","phylo_aquaticity_index_neighbor_support","phylo_aquaticity_index_neighbor_support_label","phylo_aquaticity_index_cv_primary_metric_type","phylo_aquaticity_index_cv_primary_metric_value","phylo_microhabitat_class_observed","phylo_microhabitat_class_observed_confidence","phylo_microhabitat_class","phylo_microhabitat_class_status","phylo_microhabitat_class_recommendation","phylo_microhabitat_class_method","phylo_microhabitat_class_training_n","phylo_microhabitat_class_top_donor_species","phylo_microhabitat_class_top_donor_distance","phylo_microhabitat_class_neighbor_species","phylo_microhabitat_class_neighbor_support","phylo_microhabitat_class_neighbor_support_label","phylo_microhabitat_class_cv_primary_metric_type","phylo_microhabitat_class_cv_primary_metric_value"
"abditus",,,57.9136753080751,"phylo_inferred_for_missing","sensitivity_only_fill_missing_with_explicit_phylo_flag","phylogenetic_inverse_distance_knn",31,"auriculatus",13.4438904,"auriculatus;fuscus;lycos;valtos;welteri",0.75326697414249,"neighbor_consistency_score","mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"low","1","low_confidence_observed_supported_by_phylogeny","keep_observed_but_mark_phylo_support","phylogenetic_inverse_distance_knn",30,"auriculatus",13.4438904,"auriculatus;fuscus;lycos;valtos;welteri",0.600000014281578,"weighted_vote_share","accuracy",0.666666666666667,"streamside","low","streamside","low_confidence_observed_supported_by_phylogeny","keep_observed_but_mark_phylo_support","phylogenetic_inverse_distance_knn",30,"auriculatus",13.4438904,"auriculatus;fuscus;lycos;valtos;welteri",0.600000014281578,"weighted_vote_share","accuracy",0.666666666666667
"adatsihi",36.5,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"aeneus",29.3,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"direct_development","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"amphileucus",99.5,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"anicetus",45.099,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"apalachicolae",45.43,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"aureatus",53.5,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,2,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"stream_aquatic","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"auriculatus",48.46,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,3,"high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"swamp_coastal_plain","high",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
"bairdi",53.701,"medium",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"not_in_tree","no_phylogenetic_inference_available",,31,,,,,,"accuracy",0.967741935483871,1,"medium",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"not_in_tree","no_phylogenetic_inference_available",,30,,,,,,"accuracy",0.666666666666667
"balsameus",33,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"mae",12.3681631502174,"aquatic_larva","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",31,,,,,,"accuracy",0.967741935483871,1,"medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667,"streamside","medium",,"observed_source_backed","keep_observed_source_backed_value","phylogenetic_inverse_distance_knn",30,,,,,,"accuracy",0.666666666666667
