species,has_tree_tip,has_te,has_genome,has_ectopic,has_morphology,genome_size_pg,genome_size_se_pg,genome_result_status,genome_flag_summary,morph_cell_area_um2,morph_nucleus_area_um2,morph_nc_ratio,ltr_line_logratio,order_pielou,weighted_te_divergence_p90,weighted_te_deletions_p90,ectopic_log10_mean_ratio,body_size_proxy_mm,body_size_proxy_measurement,body_size_proxy_source_id,body_size_proxy_confidence,development_mode,development_source_id,development_confidence,aquaticity_index,microhabitat_class,lifestyle_source_id,lifestyle_confidence,elevation_mid_m,elevation_source_id,has_core_organismal_complete,has_core_organismal_mediumplus,has_elevation,uses_total_length_body_proxy,uses_mixed_stage_body_proxy,is_low_confidence_body_proxy,is_low_confidence_lifestyle_proxy,organismal_source_ids,te_feature_source_ids,genome_source_id,morphology_source_id
aeneus,True,True,True,True,False,10.9704,0.8881,sensitivity_limited,tier_instability_severe,,,,1.0814451503726454,0.4971986127866932,15.229521384401313,0.6499923908864084,-0.1565107084466167,47.5,adult_total_length_range_mid_mm,nc_biodiversity_amphibians,low,direct_development,amphibio_2017,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,,True,False,False,True,False,True,False,amphibio_2017;nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
amphileucus,True,True,True,True,True,19.639,3.7984,sensitivity_limited,tier_instability_severe,211.7376,48.141,0.337915,1.3318274154238243,0.5060845334980832,14.84201807525132,0.6956201851821222,-0.0768471875828914,99.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,False,False,False,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
anicetus,True,True,True,True,True,20.1691,5.7342,caution,high_standard_error; low_image_count; low_specimen_count,217.5408,33.8256,0.154832,1.213697335160583,0.494945701696281,13.018938326598226,0.5474937765051844,-0.1616846549941235,45.099,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,,True,True,False,False,True,False,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
apalachicolae,True,True,True,True,True,12.7449,3.8966,minor_caution,high_area_cv,253.3644,34.3764,0.134563,1.2373080263737135,0.4850348192948527,13.522389580743312,0.5701683501301362,-0.2134221059172521,91.5,amphibio_body_size_mm_measurement,amphibio_2017,low,aquatic_larva,amphibio_2017,medium,1.0,streamside,amphibio_2017,low,,,True,False,False,False,False,True,True,amphibio_2017,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
aureatus,True,True,True,True,False,18.4891,4.1059,caution,high_standard_error; tier_instability_warn,,,,1.5188677397329136,0.4836171844575863,14.30255975320636,0.6396284883481139,0.0016277252410519,53.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,aquatic_larva,nc_biodiversity_amphibians,medium,2.0,stream_aquatic,nc_biodiversity_amphibians,medium,750.0,nc_biodiversity_amphibians,True,True,True,False,False,False,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
auriculatus,True,True,True,True,True,17.3923,2.903,sensitivity_limited,high_area_cv; preservation_shift; tier_instability_severe,146.4714,48.456,0.572764,1.4453714861587617,0.4557330880137987,13.54636954144359,0.4832237998979086,-0.1271913200199015,163.0,amphibio_body_size_mm_measurement,amphibio_2017,low,aquatic_larva,amphibio_2017,medium,1.0,streamside,amphibio_2017,low,,,True,False,False,False,False,True,True,amphibio_2017,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
bairdi,True,True,True,True,True,18.9692,2.9271,caution,low_specimen_count; tier_instability_warn,275.2632,58.7736,0.212956,1.483416792763257,0.4488048846001291,12.26912331520524,0.253233203333473,-0.2363897108342642,53.70100000000001,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,,True,True,False,False,True,False,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
campi,True,True,True,True,True,15.6222,4.6176,caution,high_area_cv; high_standard_error,223.0596,45.4788,0.201512,1.314619279818199,0.4809838830345422,12.900346756369972,0.4463815287706568,0.0257479588328357,46.88800000000001,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,nc_biodiversity_amphibians,True,True,False,False,True,False,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
cheaha,True,True,True,True,False,12.7012,4.1101,caution,high_area_cv; high_standard_error,,,,1.418588379759003,0.4641268682829312,13.188275471730902,0.5084694885377546,0.0015680104773366,60.0,manual_adult_svl_range_mid_mm,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,high,aquatic_larva,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,high,1.0,streamside,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,high,,,True,True,False,False,False,False,False,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
fuscus,True,True,True,True,True,16.36,2.0738,minor_caution,high_area_cv,140.5476,43.3818,0.57156,1.3747949966048103,0.4625722196841148,12.233228810924745,0.3229015213844729,-0.0309830266903211,59.147,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,aquatic_larva,nc_biodiversity_amphibians,medium,1.0,streamside,nc_biodiversity_amphibians,medium,,,True,True,False,False,True,False,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
