check_name,status,value,details
te_order_hash_matches_stored_value,pass,47bc6e616a8d69e035ea05e7b07bf09759ea36ef419f0f22b6db3570f3c06a57,stored_unique=['47bc6e616a8d69e035ea05e7b07bf09759ea36ef419f0f22b6db3570f3c06a57']; actual=47bc6e616a8d69e035ea05e7b07bf09759ea36ef419f0f22b6db3570f3c06a57
order_diversity_hash_matches_stored_value,pass,bbd53d9292263c7edd17504051d26de01b9e67f134d24648cced209dd6a711c9,stored_unique=['bbd53d9292263c7edd17504051d26de01b9e67f134d24648cced209dd6a711c9']; actual=bbd53d9292263c7edd17504051d26de01b9e67f134d24648cced209dd6a711c9
divergence_hash_matches_stored_value,pass,cc7fe7dfc86e1b58ac086635c8f99a7661c9de651948b610ca8b51e97890c5a2,stored_unique=['cc7fe7dfc86e1b58ac086635c8f99a7661c9de651948b610ca8b51e97890c5a2']; actual=cc7fe7dfc86e1b58ac086635c8f99a7661c9de651948b610ca8b51e97890c5a2
ectopic_hash_matches_stored_value,pass,5ab614026e6f63dac908301151186de0b1cf3def81b5a4513dcb64e6947ed22b,stored_unique=['5ab614026e6f63dac908301151186de0b1cf3def81b5a4513dcb64e6947ed22b']; actual=5ab614026e6f63dac908301151186de0b1cf3def81b5a4513dcb64e6947ed22b
order_percentages_sum_to_100,pass,2.842170943040401e-14,max_abs_deviation=2.84e-14
order_table_has_no_negative_values,pass,0,negative_cells=0
order_shannon_matches_order_table,pass,4.440892098500626e-16,max_abs_diff=4.44e-16
order_pielou_matches_order_table,pass,1.1102230246251565e-16,max_abs_diff=1.11e-16
order_simpson_definition_is_corrected_vs_raw_gini_simpson,warn,1.010101010101..1.010101010101,stored Simpson equals raw_gini_simpson * 100/99 across all species; document the correction if this metric is reported
divergence_threshold_p90_order_table_is_complete,pass,306,species=34; orders=9; duplicates=0; missing_metric_cells=0
te_path_features_reconstruct_from_repo_local_sources,pass,40,all compared TE feature columns matched exactly
te_model_feature_panel_matches_expected_subset,pass,34,subset columns and booleans matched expected values
path_input_master_preserves_te_feature_values,pass,53,all TE feature columns matched te_path_features.csv after join; overlapping provenance columns are read from *_te fields
analysis_panel_summary_matches_panel_files,pass,9,panel file row counts matched analysis_panel_summary.csv
te_source_manifest_entries_present,pass,6,manifest_entries=6; expected=6
te_traceability_gaps_absent,pass,0,te_gap_rows=0
ectopic_missing_ratio_rows_present,warn,1,missing ratio rows are excluded from usable ectopic support counts and mean-ratio summaries
ectopic_unknown_complete_rows_present,warn,1,Complete=unknown rows are excluded from the ectopic_complete_fraction denominator
extended_te_panel_missingness_is_explicit,pass,4,"species_missing_ectopic_support=catahoula,kanawha,lycos,valtos"
legacy_overlap_datasets_match_current_mediumplus_species_sets,pass,3,legacy overlap dataset species sets matched current panel species sets
