species,order_dirs,order_helitron,order_line,order_ltr,order_maverick,order_ple,order_sine,order_tir,order_transposon derivatives,order_yr,ltr_line_logratio,ltr_tir_logratio,retro_dna_logratio,major_order_clr_pc1,major_order_clr_pc2,order_simpson,order_shannon,order_pielou,weighted_te_divergence_p90,weighted_te_deletions_p90,weighted_te_insertions_p90,ltr_divergence_p90,ltr_deletions_p90,line_divergence_p90,line_deletions_p90,tir_divergence_p90,tir_deletions_p90,dirs_divergence_p90,dirs_deletions_p90,sine_divergence_p90,sine_deletions_p90,ectopic_n_rows_total,ectopic_n_elements,ectopic_mean_ratio,ectopic_median_ratio,ectopic_mean_terminal_depth,ectopic_mean_internal_depth,ectopic_mean_domain_count,ectopic_n_complete_known,ectopic_complete_fraction,ectopic_log10_mean_ratio,te_order_source_id,te_order_source_path,te_order_source_sha256,order_diversity_source_id,order_diversity_source_path,order_diversity_source_sha256,divergence_source_id,divergence_source_path,divergence_source_sha256,ectopic_source_id,ectopic_source_path,ectopic_source_sha256,te_feature_source_ids
abditus,1.422396476409308,0.1645915878239484,16.70212657575638,63.78693198311491,0.3873265636222111,0.0083097701201179,0.8246234827669248,16.33465913540212,0.2291376808054799,0.139896744178596,1.339939481062092,1.362184135678659,1.5718201178640894,0.12842120156049658,-0.033519366154464526,0.538249271484893,1.0376923854122777,0.4506640768975747,13.327522156716636,0.5219160244510058,0.21712352496516293,12.08,0.32,18.91,0.38,12.72,1.44,15.21,0.43,9.78,0.955,81.0,81.0,0.5984235195841632,0.56174339205752,359.2743128579402,624.8360762381873,5.419753086419753,81.0,0.2345679012345679,-0.22299134591750966,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
adatsihi,1.813133820293839,0.168063190174014,17.829576881786764,61.13381657839777,0.3571138563863565,0.0109905895934957,1.043288326147548,17.25790051336478,0.1922086803125722,0.1939075635428632,1.2321410236733499,1.2647266245016948,1.5039281559561104,-0.047096502504538666,-0.016694965140733372,0.5642321183208947,1.0877895295543325,0.4724209901575808,13.477850401569908,0.5114118082035026,0.23455717034903348,12.29,0.28,18.96,0.36,12.29,1.44,14.98,0.44,9.91,1.59,44.0,44.0,0.8161677713620059,0.6357462497656823,1096.4808880130122,984.4024218351121,5.2727272727272725,44.0,0.09090909090909091,-0.08822055854092237,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
aeneus,1.5363837971242391,0.1218680985346038,20.363908620596124,60.05511880637007,0.8860977948720952,0.0059027965005605,0.951538625703426,15.730321197307134,0.1572576089693414,0.1916026540224026,1.0814451703033638,1.3395953532699822,1.5813092362717844,0.0448387468173333,-0.19147942123934417,0.5727123527434934,1.1024614208493546,0.4787929115860934,15.229521384401314,0.6499923908864085,0.4364731542900739,14.23,0.43,20.0,0.41,13.4,1.81,15.68,0.43,10.94,1.33,27.0,27.0,0.6974118005105626,0.5762817186320965,276.42377114015665,486.84805713065253,5.481481481481482,27.0,0.3333333333333333,-0.1565107084466167,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
amphileucus,2.4703653516032573,0.3090392184188019,15.798132414938491,59.84727175923305,0.3709692580531352,0.0100520587906729,1.197205807387068,19.584611876688854,0.2640652979820887,0.1482869569045717,1.3318273619013812,1.116995104740001,1.3329537223785388,-0.25797251097899443,0.1724621120285064,0.5777305102124376,1.1273590229229562,0.4896058027792815,14.842018075251318,0.6956201851821221,0.5240644817304897,14.23,0.44,20.51,0.56,12.55,1.57,15.17,0.47,11.08,1.63,25.0,25.0,0.8378240300423753,0.7277679194210502,294.01351670466005,253.53317769118974,5.52,25.0,0.4,-0.07684718758289148,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
anicetus,1.817939366013266,0.1770377282490229,17.890358982287186,60.22117392955989,0.2538304723493523,0.005847912197612,1.2442760559756283,18.00698517245311,0.2109369965972599,0.1716133843176704,1.213697324476945,1.2072001365211873,1.4595409480816959,-0.05481688880581205,0.013632846617509312,0.5724070872553466,1.1003166499118506,0.4778614494029889,13.018938326598226,0.5474937765051844,0.2531507322984799,11.68,0.31,18.79,0.38,11.94,1.45,14.66,0.48,9.79,1.44,26.0,26.0,0.6891525143589446,0.5710332905967515,360.7114934440922,533.8499067435823,5.3076923076923075,25.0,0.16,-0.16168465499412352,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
apalachicolae,1.664503321479298,0.1645956570374226,17.788751890209607,61.3098244580161,0.3155658911692147,0.0076002392896559,1.007558555855225,17.368018692883023,0.2093377044513681,0.1642435896090858,1.2373080165764587,1.2612416055922409,1.5014740189839952,0.01293420680749296,-0.03357940852372224,0.5619034382691934,1.0785046288346836,0.4683886090100178,13.522389580743312,0.5701683501301361,0.23985808172679104,12.18,0.35,19.24,0.4,12.57,1.47,15.5,0.475,10.485,1.72,12.0,12.0,0.6117555162106489,0.5803427918437141,327.1605572688414,579.1448579718149,5.333333333333333,12.0,0.0,-0.2134221059172521,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
aureatus,2.691028840585978,0.2752045704471742,13.878404434953262,63.38923400225782,0.3893446393986839,0.0070878513604475,1.134215741386721,17.484154700806975,0.6387084949815498,0.1126167238213905,1.5188673270776656,1.2879307756477476,1.4632690650077163,-0.3099584414127679,0.2959377685921341,0.5474323147666741,1.0944721806277784,0.4753232286432633,14.30255975320636,0.6396284883481139,0.4970660241622155,13.77,0.42,20.005000000000003,0.55,12.22,1.49,14.33,0.48,9.65,1.63,24.0,24.0,1.006917459951115,0.7905837315469121,1371.574934975183,988.583438276074,5.5,24.0,0.2916666666666667,0.0029938715894105004,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
auriculatus,1.0942125314434767,0.1127029583672735,15.258771722063347,64.75484662517069,0.588289730326632,0.0037625207846084,0.7261387085409329,17.169374934065605,0.1881367089736073,0.1037635602638195,1.445371491389308,1.3274107682903746,1.5080620195475447,0.3066315140977843,-0.007444364766318645,0.5277062746752152,1.01315063674767,0.4400057308762791,13.54636954144359,0.48322379989790865,0.20464677319786667,12.46,0.27,19.1,0.36,12.95,1.37,14.96,0.4,10.585,1.43,13.0,13.0,0.7461199972913716,0.7094433907699379,563.7034287037926,798.3795150357845,5.461538461538462,13.0,0.23076923076923078,-0.12719132001990155,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
bairdi,1.3958902960088928,0.1190160408902923,15.101245241350467,66.57161897296119,0.509552771434277,0.0032950836389874,0.87569499945817,15.113017625675491,0.1944629286368535,0.1162060399453728,1.483416792763257,1.482637617626746,1.6570359059037616,0.14431841086136107,0.06715394119348764,0.510872814689814,0.998289918319162,0.43355180286566,12.26912331520524,0.25323320333347304,0.17936265461519826,11.08,0.0,18.165,0.28,11.78,1.28,14.895,0.4,9.21,1.14,32.0,32.0,0.5802435067623078,0.5432169726335889,304.02162629310436,691.7424877037844,5.28125,32.0,0.1875,-0.2363897108342642,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
balsameus,1.943533248243372,0.1685154235661406,17.864075814001477,60.38916213614225,0.3477005361653911,0.014010015155929,1.0422702578266614,17.881852736209236,0.1828653488756771,0.1660144838138642,1.217952954947983,1.2169584201376558,1.4610436801913464,-0.09421881702872824,-0.007331570947466284,0.5709189095813472,1.0980804998854614,0.4768903017858203,13.131708922732313,0.5097816413933909,0.24385200624319459,11.92,0.28,18.49,0.33,12.11,1.43,14.78,0.47,9.2,1.235,34.0,34.0,0.9176612505248923,0.6382286234703727,1096.1659825024888,749.5366618994644,5.323529411764706,34.0,0.14705882352941177,-0.037317606574527526,repo_dnapipete_order_breakdown,results/data/dnaPipeTE_order_breakdown.csv,93d2d552a55413d845cac9204b06f6382de79744de104c3df88a3e75e9f0e2ff,repo_diversity_order_stats,results/data/diversity_order_stats.csv,0dfe973a52ee6af82a79707627a0b79a035b498b4d31e4b10469fac193a22c87,repo_divergence_summary_statistics_by_species,results/data/divergence/divergence_summary_statistics_by_species.csv,d22265d56becc5f50d39271a099ec3a0f3d10cb4206faddb8569bd8acfd159a4,repo_ectopic_recombination_filtered_3000bp_5plusdomains,results/data/ectopic_recombination_filtered_3000bp_5+domains_no_unknown_species.csv,f297da71a75736dc79c346c1a063b6bfce08840530ec9146f49741f04bf9f5cb,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains
