species,amphibio_order,amphibio_family,amphibio_genus,amphibio_species,amphibio_body_mass_g,amphibio_age_at_maturity_min_y,amphibio_age_at_maturity_max_y,amphibio_body_size_mm,amphibio_size_at_maturity_min_mm,amphibio_size_at_maturity_max_mm,amphibio_longevity_max_y,amphibio_litter_size_min_n,amphibio_litter_size_max_n,amphibio_reproductive_output_y,amphibio_offspring_size_min_mm,amphibio_offspring_size_max_mm,amphibio_ter,amphibio_aqu,amphibio_arb,amphibio_diu,amphibio_noc,amphibio_crepu,amphibio_wet_warm,amphibio_wet_cold,amphibio_dry_warm,amphibio_dry_cold,amphibio_dir,amphibio_lar,amphibio_viv,amphibio_obs,amphibio_development_mode,amphibio_source_id,amphibio_source_filename,amphibio_source_file_sha256
abditus,Caudata,Plethodontidae,Desmognathus,Desmognathus abditus,,,,,,,,,,1.0,,,1.0,,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
aeneus,Caudata,Plethodontidae,Desmognathus,Desmognathus aeneus,,2.0,2.0,57.0,18.0,19.0,4.0,3.0,20.0,1.0,1.9,1.9,1.0,,,,,,,,,,1.0,0.0,0.0,,direct_development,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
apalachicolae,Caudata,Plethodontidae,Desmognathus,Desmognathus apalachicolae,,2.0,3.0,91.5,33.0,40.0,4.0,,,1.0,3.5,3.5,1.0,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
auriculatus,Caudata,Plethodontidae,Desmognathus,Desmognathus auriculatus,,2.0,3.0,163.0,39.0,44.0,7.0,6.0,26.0,1.0,3.5,3.5,1.0,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
brimleyorum,Caudata,Plethodontidae,Desmognathus,Desmognathus brimleyorum,,3.0,4.0,128.0,55.0,58.0,,8.0,43.0,1.0,4.0,4.5,,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
carolinensis,Caudata,Plethodontidae,Desmognathus,Desmognathus carolinensis,,2.0,2.0,90.5,,,10.0,12.0,40.0,1.0,3.0,3.5,1.0,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
conanti,Caudata,Plethodontidae,Desmognathus,Desmognathus conanti,,,,,,,,13.0,24.0,,,,,,,,,,,,,,,,,,,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
folkertsi,Caudata,Plethodontidae,Desmognathus,Desmognathus folkertsi,,2.0,2.0,117.5,,,11.0,6.0,62.0,,3.5,3.5,1.0,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
fuscus,Caudata,Plethodontidae,Desmognathus,Desmognathus fuscus,,2.0,4.0,100.5,35.0,40.0,4.3,8.0,45.0,1.0,1.75,4.0,1.0,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
imitator,Caudata,Plethodontidae,Desmognathus,Desmognathus imitator,,2.0,2.0,87.0,50.0,52.0,10.0,13.0,30.0,1.0,3.5,3.5,1.0,1.0,,1.0,1.0,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
marmoratus,Caudata,Plethodontidae,Desmognathus,Desmognathus marmoratus,,4.0,5.0,114.5,47.0,52.5,13.0,20.0,65.0,1.0,3.5,4.1,,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
monticola,Caudata,Plethodontidae,Desmognathus,Desmognathus monticola,8.2,3.5,7.0,112.5,47.0,52.5,17.7,8.0,42.0,1.0,4.0,4.8,1.0,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
ochrophaeus,Caudata,Plethodontidae,Desmognathus,Desmognathus ochrophaeus,0.6,2.0,4.0,90.5,27.0,55.0,20.0,3.0,37.0,1.0,1.4,5.6,1.0,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
ocoee,Caudata,Plethodontidae,Desmognathus,Desmognathus ocoee,1.4,3.0,4.0,110.0,28.0,30.0,10.0,5.0,29.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
orestes,Caudata,Plethodontidae,Desmognathus,Desmognathus orestes,,3.5,4.5,110.0,,,10.0,11.0,16.0,1.0,3.5,3.5,1.0,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
organi,Caudata,Plethodontidae,Desmognathus,Desmognathus organi,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
planiceps,Caudata,Plethodontidae,Desmognathus,Desmognathus planiceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
quadramaculatus,Caudata,Plethodontidae,Desmognathus,Desmognathus quadramaculatus,28.7,6.0,7.0,210.0,57.0,73.0,15.0,38.0,55.0,1.0,3.9,5.0,,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
santeetlah,Caudata,Plethodontidae,Desmognathus,Desmognathus santeetlah,,2.0,3.0,79.5,23.0,35.0,10.0,10.0,35.0,1.0,2.0,3.1,,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
welteri,Caudata,Plethodontidae,Desmognathus,Desmognathus welteri,,4.0,5.0,122.5,50.0,55.0,20.0,18.0,33.0,1.0,3.5,3.5,,1.0,,,,,,,,,0.0,1.0,0.0,,aquatic_larva,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
wrighti,Caudata,Plethodontidae,Desmognathus,Desmognathus wrighti,,3.5,5.0,44.5,17.0,25.0,,3.0,15.0,1.0,2.2,3.5,1.0,1.0,,,,,,,,,1.0,0.0,0.0,,direct_development,amphibio_2017,AmphiBIO_v1.zip,15185ffec078423ff7b99d1f16d4daa351a5a8861dd27e5574d05f9a58bc4626
