panel,species,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,weighted_median_nuc_iod,nuc_iod_q1,nuc_iod_q3,estimated_genome_pg,estimated_genome_pg_q1,estimated_genome_pg_q3,reference_species,reference_genome_pg,reference_weighted_median_nuc_iod,reference_scale_pg_per_iod,iod_ratio_to_reference,median_clarity_signal,median_shape_signal,support_label,support_warnings
balanced_all_strict,D. amphileucus,50,3,2,44.865979,942.462995,791.533375,1047.664998,21.513422,18.068181,23.914848,D. fuscus,16.360000,716.701163,0.022827,1.315001,0.800112,0.559096,medium,
balanced_all_strict,D. anicetus,50,1,1,50.000000,870.299702,832.273047,923.962826,19.866164,18.998137,21.091122,D. fuscus,16.360000,716.701163,0.022827,1.214313,0.733606,0.567551,low,low_image_count; low_specimen_count
balanced_all_strict,D. apalachicolae,50,2,2,50.000000,881.408436,826.277470,940.763225,20.119741,18.861277,21.474622,D. fuscus,16.360000,716.701163,0.022827,1.229813,0.791278,0.566572,medium,
balanced_all_strict,D. auriculatus,50,4,2,48.354244,859.903510,734.720065,1047.742092,19.628853,16.771314,23.916608,D. fuscus,16.360000,716.701163,0.022827,1.199808,0.712279,0.581541,medium,
balanced_all_strict,D. bairdi,50,1,1,50.000000,1069.748318,1016.998612,1126.727695,24.418940,23.214832,25.719597,D. fuscus,16.360000,716.701163,0.022827,1.492600,0.772125,0.557025,low,low_image_count; low_specimen_count
balanced_all_strict,D. brimleyorum,50,2,2,50.000000,1036.361831,1002.108912,1145.173003,23.656833,22.874948,26.140645,D. fuscus,16.360000,716.701163,0.022827,1.446017,0.863412,0.598029,medium,
balanced_all_strict,D. campi,50,2,2,50.000000,838.180469,773.596976,867.621495,19.132985,17.658750,19.805029,D. fuscus,16.360000,716.701163,0.022827,1.169498,0.693773,0.611834,medium,
balanced_all_strict,D. folkertsi,50,2,2,50.000000,946.374396,896.787509,1013.659625,21.602707,20.470796,23.138614,D. fuscus,16.360000,716.701163,0.022827,1.320459,0.808746,0.620354,medium,
balanced_all_strict,D. fuscus,50,8,4,49.777778,716.701163,656.699314,889.882815,16.360000,14.990349,20.313184,D. fuscus,16.360000,716.701163,0.022827,1.000000,0.669208,0.560928,medium,
balanced_all_strict,D. gvnigeusgwotli,50,1,1,50.000000,894.813386,822.581786,944.627308,20.425734,18.776917,21.562826,D. fuscus,16.360000,716.701163,0.022827,1.248517,0.698406,0.608434,low,low_image_count; low_specimen_count
balanced_all_strict,D. intermedius,50,2,2,50.000000,1022.339952,968.369403,1129.539635,23.336758,22.104783,25.783785,D. fuscus,16.360000,716.701163,0.022827,1.426452,0.780916,0.582873,medium,
balanced_all_strict,D. kanawha,50,2,2,50.000000,941.359144,853.007177,1037.916748,21.488225,19.471431,23.692327,D. fuscus,16.360000,716.701163,0.022827,1.313461,0.804044,0.551020,medium,
balanced_all_strict,D. marmoratus,50,4,2,36.480000,835.573754,682.488659,1043.522851,19.073482,15.579038,23.820296,D. fuscus,16.360000,716.701163,0.022827,1.165861,0.706948,0.498338,medium,
balanced_all_strict,D. mavrokoilius,50,3,2,40.615385,746.837214,675.946324,862.067851,17.047910,15.429697,19.678258,D. fuscus,16.360000,716.701163,0.022827,1.042048,0.747534,0.632610,medium,
balanced_all_strict,D. monticola,50,4,2,49.920000,819.295713,665.008254,927.285741,18.701906,15.180016,21.166974,D. fuscus,16.360000,716.701163,0.022827,1.143148,0.680421,0.521627,medium,
balanced_all_strict,D. ochrophaeus,50,2,2,29.520000,750.462383,719.207005,799.887178,17.130661,16.417200,18.258871,D. fuscus,16.360000,716.701163,0.022827,1.047106,0.554231,0.510256,medium,
balanced_all_strict,D. ocoee,50,3,3,49.959184,948.659169,882.030437,1001.647179,21.654861,20.133940,22.864408,D. fuscus,16.360000,716.701163,0.022827,1.323647,0.842743,0.598528,medium,
balanced_all_strict,D. perlapsus,50,3,3,49.959184,817.595448,774.534520,914.293785,18.663094,17.680151,20.870409,D. fuscus,16.360000,716.701163,0.022827,1.140776,0.755721,0.557292,medium,
balanced_all_strict,D. tilleyi,50,2,2,50.000000,947.429588,864.758550,1001.580564,21.626794,19.739678,22.862887,D. fuscus,16.360000,716.701163,0.022827,1.321931,0.828297,0.587056,medium,
balanced_all_strict,D. valtos,50,2,2,50.000000,1266.031921,1188.297914,1316.495140,28.899468,27.125049,30.051382,D. fuscus,16.360000,716.701163,0.022827,1.766471,0.851521,0.617844,medium,
balanced_all_strict,D. welteri,50,4,2,45.311203,747.645396,692.774401,854.629146,17.066358,15.813828,19.508456,D. fuscus,16.360000,716.701163,0.022827,1.043176,0.728576,0.547995,medium,
balanced_qc_curated,D. amphileucus,50,3,2,44.865979,942.462995,791.533375,1047.664998,21.513422,18.068181,23.914848,D. fuscus,16.360000,716.701163,0.022827,1.315001,0.800112,0.559096,medium,
balanced_qc_curated,D. anicetus,50,1,1,50.000000,870.299702,832.273047,923.962826,19.866164,18.998137,21.091122,D. fuscus,16.360000,716.701163,0.022827,1.214313,0.733606,0.567551,low,low_image_count; low_specimen_count
balanced_qc_curated,D. apalachicolae,50,2,2,50.000000,881.408436,826.277470,940.763225,20.119741,18.861277,21.474622,D. fuscus,16.360000,716.701163,0.022827,1.229813,0.791278,0.566572,medium,
