panel,species,species_key,estimated_genome_pg,estimated_genome_pg_q1,estimated_genome_pg_q3,iod_ratio_to_reference,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,support_label,support_warnings,expected_parent_genome_pg,terminal_log_shift,terminal_pct_shift,terminal_branch_length_mya,terminal_branch_scaled_shift,terminal_shift_z,abs_terminal_shift_z,nearest_species_key,nearest_species,nearest_patristic_distance_mya,nearest_genome_pg,nearest_relative_pct_diff,abs_nearest_relative_pct_diff,fuscus_genome_pg,delta_vs_fuscus_pg,pct_vs_fuscus,abs_pct_vs_fuscus,patristic_distance_to_fuscus_mya,viewer_species_url,support_label_current_top50_primary,support_warnings_current_top50_primary,estimated_genome_pg_current_top50_primary,estimated_genome_pg_balanced_qc_only,support_label_balanced_qc_only,support_warnings_balanced_qc_only,panel_minus_current_pg,panel_vs_current_pct,panel_minus_original_balanced_pg,panel_vs_original_balanced_pct,balanced_minus_current_pg,balanced_vs_current_pct,abs_balanced_vs_current_pct,trigger_fuscus_delta_ge_50pct,trigger_terminal_phylo_z_ge_2,trigger_nearest_relative_jump_ge_25pct,trigger_method_shift_ge_40pct,trigger_low_independent_support,audit_trigger_count,audit_trigger_summary,audit_priority_score,audit_priority_tier,fuscus_deviation_rank,terminal_phylo_rank,nearest_relative_jump_rank,audit_priority_rank
balanced_all_strict,D. valtos,valtos,28.899468,27.125049,30.051382,1.766471,50,2,2,50,medium,NA,23.79396058276189,0.19439139519559756,21.457156741433426,4.212563,0.0947117437108196,2.4099226713735145,2.4099226713735145,bairdi,D. bairdi,8.425126,24.41894,18.34857696525729,18.34857696525729,16.36,12.539468,76.64711491442542,76.64711491442542,15.195764,../viewer_balanced_qc_only/index.html?species=D.%20valtos,low,low_image_count; low_specimen_count; size_darkness_selected_top50,19.770085,28.899468,medium,NA,9.129382999999997,46.177763019228266,0,0,9.129382999999997,46.177763019228266,46.177763019228266,TRUE,TRUE,FALSE,TRUE,FALSE,3,fuscus_delta_ge_50pct; terminal_phylo_z_ge_2; method_shift_ge_40pct,5.831252123753021,high,1,2,7,1
balanced_all_strict,D. intermedius,intermedius,23.336758,22.104783,25.783785,1.426452,50,2,2,50,medium,NA,20.402922541688035,0.1343515616033235,14.379486332496928,2.5046169999999996,0.08489303430489435,2.153174155497515,2.153174155497515,marmoratus,D. marmoratus,5.009234999999999,19.073482,22.35184954692595,22.35184954692595,16.36,6.976758,42.645220048899766,42.645220048899766,24.749035000000003,../viewer_balanced_qc_only/index.html?species=D.%20intermedius,medium,size_darkness_selected_top50,16.285297,23.336758,medium,NA,7.051461,43.29955419296314,0,0,7.051461,43.29955419296314,43.29955419296314,FALSE,TRUE,FALSE,TRUE,FALSE,2,terminal_phylo_z_ge_2; method_shift_ge_40pct,4.9826413931766265,high,4,3,4,2
balanced_all_strict,D. kanawha,kanawha,21.488225,19.471431,23.692327,1.313461,50,2,2,50,medium,NA,19.86510710293109,0.07854032989512394,8.170697941162452,2.724315,0.047584341132088405,1.1775926197398314,1.1775926197398314,mavrokoilius,D. mavrokoilius,5.44863,17.04791,26.04609597305474,26.04609597305474,16.36,5.1282250000000005,31.3461185819071,31.3461185819071,24.749036000000004,../viewer_balanced_qc_only/index.html?species=D.%20kanawha,low,low_image_count; low_specimen_count; size_darkness_selected_top50,13.250501,21.488225,medium,NA,8.237724,62.1691511890758,0,0,8.237724,62.1691511890758,62.1691511890758,FALSE,FALSE,TRUE,TRUE,FALSE,2,nearest_relative_jump_ge_25pct; method_shift_ge_40pct,4.400587610027058,high,9,9,3,3
balanced_all_strict,D. mavrokoilius,mavrokoilius,17.04791,15.429697,19.678258,1.042048,50,3,2,40.615385,medium,NA,19.86510710293109,-0.15293716522073053,-14.181635610287813,2.724315,-0.09265831008547387,-2.4895993781102677,2.4895993781102677,kanawha,D. kanawha,5.44863,21.488225,-20.66394502105222,20.66394502105222,16.36,0.6879100000000022,4.204828850855757,4.204828850855757,24.749036000000004,../viewer_balanced_qc_only/index.html?species=D.%20mavrokoilius,medium,size_darkness_selected_top50,12.848645,17.04791,medium,NA,4.199265000000002,32.682551350745555,0,0,4.199265000000002,32.682551350745555,32.682551350745555,FALSE,TRUE,FALSE,FALSE,FALSE,1,terminal_phylo_z_ge_2,4.217317539738111,high,20,1,5,4
balanced_all_strict,D. bairdi,bairdi,24.41894,23.214832,25.719597,1.4926,50,1,1,50,low,low_image_count; low_specimen_count,23.79396058276189,0.025927269248183116,2.626630463912316,4.212563,0.012632333224855349,0.2636358270423235,0.2636358270423235,valtos,D. valtos,8.425126,28.899468,-15.503842492879105,15.503842492879105,16.36,8.05894,49.26002444987776,49.26002444987776,15.195764,../viewer_balanced_qc_only/index.html?species=D.%20bairdi,low,low_image_count; low_specimen_count; size_darkness_selected_top50,16.285622,24.41894,low,low_image_count; low_specimen_count,8.133318,49.94170931880895,0,0,8.133318,49.94170931880895,49.94170931880895,FALSE,FALSE,FALSE,TRUE,TRUE,2,method_shift_ge_40pct; low_independent_support,4.117532748725266,medium,2,18,9,5
balanced_all_strict,D. ochrophaeus,ochrophaeus,17.130661,16.4172,18.258871,1.047106,50,2,2,29.52,medium,NA,19.771167651100097,-0.14335479833840648,-13.355339946010602,8.714544,-0.04856125485001626,-1.3365095963337157,1.3365095963337157,bairdi,D. bairdi,17.429087,24.41894,-29.846827913087136,29.846827913087136,16.36,0.7706610000000005,4.71064180929095,4.71064180929095,17.429087000000003,../viewer_balanced_qc_only/index.html?species=D.%20ochrophaeus,limited,size_darkness_selected_top50,11.057864,17.959458,limited,NA,6.0727969999999996,54.91835493726456,-0.8287970000000016,-4.6148218949591975,6.0727969999999996,54.91835493726456,54.91835493726456,FALSE,FALSE,TRUE,TRUE,FALSE,2,nearest_relative_jump_ge_25pct; method_shift_ge_40pct,3.997554422474634,high,18,6,2,6
balanced_all_strict,D. brimleyorum,brimleyorum,23.656833,22.874948,26.140645,1.446017,50,2,2,50,medium,NA,20.17472385066494,0.15922146862103004,17.25976115018939,9.288645,0.05224267942085464,1.2994030728903563,1.2994030728903563,ocoee,D. ocoee,18.577289999999998,21.654861,9.244908106313865,9.244908106313865,16.36,7.2968329999999995,44.601668704156474,44.601668704156474,19.557731000000004,../viewer_balanced_qc_only/index.html?species=D.%20brimleyorum,low,low_image_count; low_specimen_count; size_darkness_selected_top50,15.080389,23.656833,medium,NA,8.576443999999999,56.87150377884813,0,0,8.576443999999999,56.87150377884813,56.87150377884813,FALSE,FALSE,FALSE,TRUE,FALSE,1,method_shift_ge_40pct,3.983020365697244,watch,3,7,14,7
balanced_all_strict,D. perlapsus,perlapsus,18.663094,17.680151,20.870409,1.140776,50,3,3,49.959184,medium,NA,19.763038851047778,-0.05726547761210243,-5.565666592764195,5.75545,-0.023870045373381082,-0.6908614641582311,0.6908614641582311,ocoee,D. ocoee,11.5109,21.654861,-13.815683231584808,13.815683231584808,16.36,2.3030940000000015,14.077591687041568,14.077591687041568,19.557731000000004,../viewer_balanced_qc_only/index.html?species=D.%20perlapsus,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,10.725843,18.663094,medium,NA,7.937251000000002,74.00118573430548,0,0,7.937251000000002,74.00118573430548,74.00118573430548,FALSE,FALSE,FALSE,TRUE,FALSE,1,method_shift_ge_40pct,3.3750702705200917,watch,17,12,10,8
balanced_all_strict,D. anicetus,anicetus,19.866164,18.998137,21.091122,1.214313,50,1,1,50,low,low_image_count; low_specimen_count,20.305280627097883,-0.02186299856397067,-2.1625735450899075,6.463080000000001,-0.00859983186453866,-0.29156207628358993,0.29156207628358993,tilleyi,D. tilleyi,12.92616,21.626794,-8.140966247701808,8.140966247701808,16.36,3.506164000000002,21.431320293398535,21.431320293398535,19.557732,../viewer_balanced_qc_only/index.html?species=D.%20anicetus,low,low_image_count; low_specimen_count; size_darkness_selected_top50,13.069896,19.866164,low,low_image_count; low_specimen_count,6.796268000000001,51.99940382081083,0,0,6.796268000000001,51.99940382081083,51.99940382081083,FALSE,FALSE,FALSE,TRUE,TRUE,2,method_shift_ge_40pct; low_independent_support,3.345812227579904,medium,12,17,16,9
balanced_all_strict,D. gvnigeusgwotli,gvnigeusgwotli,20.425734,18.776917,21.562826,1.248517,50,1,1,50,low,low_image_count; low_specimen_count,21.02980922346065,-0.029145341582950568,-2.872471248035602,4.908482,-0.013155142239740347,-0.41067846213790415,0.41067846213790415,amphileucus,D. amphileucus,9.816964,21.513422,-5.055857687354437,5.055857687354437,16.36,4.065733999999999,24.851674816625913,24.851674816625913,33.416672,../viewer_balanced_qc_only/index.html?species=D.%20gvnigeusgwotli,low,low_image_count; low_specimen_count; size_darkness_selected_top50,13.709404,20.425734,low,low_image_count; low_specimen_count,6.716329999999999,48.99067822350265,0,0,6.716329999999999,48.99067822350265,48.99067822350265,FALSE,FALSE,FALSE,TRUE,TRUE,2,method_shift_ge_40pct; low_independent_support,3.334713221552166,medium,10,15,20,10
balanced_all_strict,D. fuscus,fuscus,16.36,14.990349,20.313184,1,50,8,4,49.777778,medium,NA,19.96471739888558,-0.19912725441373524,-18.055439137279194,7.597882,-0.07224111384370151,-1.9557120191198207,1.9557120191198207,bairdi,D. bairdi,15.195764,24.41894,-33.002824856443404,33.002824856443404,16.36,0,0,0,0,../viewer_balanced_qc_only/index.html?species=D.%20fuscus,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,16.36,16.36,medium,NA,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,1,nearest_relative_jump_ge_25pct,3.275825013377557,high,21,4,1,11
balanced_all_strict,D. welteri,welteri,17.066358,15.813828000000001,19.508456,1.043176,50,4,2,45.311203,medium,NA,19.81223315014414,-0.14919042550805406,-13.85949342174061,7.954725,-0.05289667421694418,-1.4498760727350934,1.4498760727350934,auriculatus,D. auriculatus,15.909448999999999,19.628853,-13.054736310878678,13.054736310878678,16.36,0.7063580000000016,4.317591687041578,4.317591687041578,15.909449,../viewer_balanced_qc_only/index.html?species=D.%20welteri,low,low_image_count; low_specimen_count; size_darkness_selected_top50,11.741516,17.066358,medium,NA,5.324842,45.35054928171116,0,0,5.324842,45.35054928171116,45.35054928171116,FALSE,FALSE,FALSE,TRUE,FALSE,1,method_shift_ge_40pct,3.192181090953851,watch,19,5,12,12
balanced_all_strict,D. tilleyi,tilleyi,21.626794,19.739678,22.862887,1.321931,50,2,2,50,medium,NA,20.305280627097883,0.0630520272809223,6.508225112331245,6.46308,0.02480157658830114,0.5818482359983395,0.5818482359983395,anicetus,D. anicetus,12.92616,19.866164,8.862455781599298,8.862455781599298,16.36,5.266794000000001,32.193117359413215,32.193117359413215,19.557732,../viewer_balanced_qc_only/index.html?species=D.%20tilleyi,medium,size_darkness_selected_top50,14.033456,21.626794,medium,NA,7.593338000000001,54.108823941871485,0,0,7.593338000000001,54.108823941871485,54.108823941871485,FALSE,FALSE,FALSE,TRUE,FALSE,1,method_shift_ge_40pct,2.932929412997363,watch,6,13,15,13
balanced_all_strict,D. ocoee,ocoee,21.654861,20.13394,22.864408,1.323647,50,3,3,49.959184,medium,NA,20.271919461928633,0.06599330510668588,6.821956552602626,3.337115,0.036125535450077156,0.8779573794105425,0.8779573794105425,apalachicolae,D. apalachicolae,6.67423,20.119741,7.629919291704601,7.629919291704601,16.36,5.294861000000001,32.364676039119814,32.364676039119814,19.557731000000004,../viewer_balanced_qc_only/index.html?species=D.%20ocoee,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,15.289705,21.654861,medium,NA,6.365156000000001,41.630338845648104,0,0,6.365156000000001,41.630338845648104,41.630338845648104,FALSE,FALSE,FALSE,TRUE,FALSE,1,method_shift_ge_40pct,2.8712061430023255,watch,5,10,17,14
balanced_all_strict,D. marmoratus,marmoratus,19.073482,15.579038,23.820296,1.165861,50,4,2,36.48,medium,NA,20.402922541688035,-0.06737915903569203,-6.515931915987405,2.504618,-0.042575017731802674,-1.1799760406246875,1.1799760406246875,intermedius,D. intermedius,5.009234999999999,23.336758,-18.268501563070593,18.268501563070593,16.36,2.713481999999999,16.586075794621014,16.586075794621014,24.749036000000004,../viewer_balanced_qc_only/index.html?species=D.%20marmoratus,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,15.918278,19.073482,medium,NA,3.1552039999999977,19.821264586533772,0,0,3.1552039999999977,19.821264586533772,19.821264586533772,FALSE,FALSE,FALSE,FALSE,FALSE,0,,2.737969233703276,baseline,15,8,8,15
balanced_all_strict,D. campi,campi,19.132985,17.65875,19.805029,1.169498,50,2,2,50,medium,NA,20.108428567226614,-0.04972524995610428,-4.850918926685443,7.991711,-0.017589645617516608,-0.5266358770914505,0.5266358770914505,tilleyi,D. tilleyi,15.983422,21.626794,-11.531108124486689,11.531108124486689,16.36,2.772985000000002,16.949786063569693,16.949786063569693,19.557732,../viewer_balanced_qc_only/index.html?species=D.%20campi,medium,size_darkness_selected_top50,12.794174,19.132985,medium,NA,6.3388110000000015,49.54451143153127,0,0,6.3388110000000015,49.54451143153127,49.54451143153127,FALSE,FALSE,FALSE,TRUE,FALSE,1,method_shift_ge_40pct,2.5654887091305936,watch,14,14,13,16
balanced_all_strict,D. monticola,monticola,18.701906,15.180016,21.166974,1.143148,50,4,2,49.92,medium,NA,19.86524980612731,-0.060346520576168405,-5.856175066917524,4.493936,-0.02846680938316995,-0.8110618172345003,0.8110618172345003,ocoee,D. ocoee,8.987872,21.654861,-13.63645326562013,13.63645326562013,16.36,2.3419060000000016,14.314828850855754,14.314828850855754,19.557731000000004,../viewer_balanced_qc_only/index.html?species=D.%20monticola,low,low_image_count; low_specimen_count; size_darkness_selected_top50,14.1026,18.701906,medium,NA,4.599306,32.61317771191128,0,0,4.599306,32.61317771191128,32.61317771191128,FALSE,FALSE,FALSE,FALSE,FALSE,0,,2.4581459676742026,baseline,16,11,11,17
balanced_all_strict,D. auriculatus,auriculatus,19.628853,16.771314,23.916608,1.199808,50,4,2,48.354244,medium,NA,20.295746293587406,-0.03341074629468421,-3.285877168252327,7.253085,-0.012405800503596631,-0.3910839950154999,0.3910839950154999,bairdi,D. bairdi,14.506170000000001,24.41894,-19.616277365028946,19.616277365028946,16.36,3.268853,19.9807640586797,19.9807640586797,15.195764,../viewer_balanced_qc_only/index.html?species=D.%20auriculatus,low,low_image_count; low_specimen_count; size_darkness_selected_top50,14.527962,19.628853,medium,NA,5.100890999999999,35.110850372543645,0,0,5.100890999999999,35.110850372543645,35.110850372543645,FALSE,FALSE,FALSE,FALSE,FALSE,0,,2.4531216301038428,baseline,13,16,6,18
balanced_all_strict,D. apalachicolae,apalachicolae,20.119741,18.861277,21.474622,1.229813,50,2,2,50,medium,NA,20.271919461928633,-0.0075351783131245575,-0.7506860029432572,3.337115,-0.004124847980160574,-0.17454614034095567,0.17454614034095567,ocoee,D. ocoee,6.67423,21.654861,-7.089031880647944,7.089031880647944,16.36,3.7597410000000018,22.98130195599024,22.98130195599024,19.557731000000004,../viewer_balanced_qc_only/index.html?species=D.%20apalachicolae,low,low_pair_count; low_image_count; low_specimen_count; size_darkness_selected_top50,12.687106,20.119741,medium,NA,7.432635000000001,58.58416411118501,0,0,7.432635000000001,58.58416411118501,58.58416411118501,FALSE,FALSE,FALSE,TRUE,FALSE,1,method_shift_ge_40pct,2.3823375574663035,watch,11,21,18,19
balanced_all_strict,D. amphileucus,amphileucus,21.513422,18.068181,23.914848,1.315001,50,3,2,44.865979,medium,NA,21.02980922346065,0.02273610138643578,2.2996536554398928,4.908482,0.01026224540427709,0.20166062182217193,0.20166062182217193,gvnigeusgwotli,D. gvnigeusgwotli,9.816964,20.425734,5.325086481592289,5.325086481592289,16.36,5.153421999999999,31.500134474327623,31.500134474327623,33.416672,../viewer_balanced_qc_only/index.html?species=D.%20amphileucus,low,low_image_count; low_specimen_count; size_darkness_selected_top50,14.275116,21.513422,medium,NA,7.238305999999998,50.705759588923804,0,0,7.238305999999998,50.705759588923804,50.705759588923804,FALSE,FALSE,FALSE,TRUE,FALSE,1,method_shift_ge_40pct,2.312310760295511,watch,8,20,19,20
