species,primary_genome_pg,primary_genome_se_pg,primary_genome_gb,primary_n_images,primary_n_specimens,primary_n_nuclei,primary_n_analysis_ready_images,primary_total_strict_images,primary_cv_measurement_pct,primary_cv_area_pct,primary_measurement_kind,primary_state,primary_state_converged,primary_state_capped_not_converged,primary_support_unit,primary_support_tier,primary_source_image_existing_pct,primary_tile_manifest_existing_pct,primary_mask_existing_pct,primary_roi_zip_existing_pct,alternate_state,alternate_genome_pg,alternate_n_images,alternate_n_specimens,alternate_source_image_existing_pct,cross_state_pct_diff,primary_selection_reason,bundle_origin,reconstruction_method,reconstruction_source_path,reconstruction_source_sha256,raw_image_trace_path,raw_image_trace_sha256,genome_state_summary_path,genome_state_summary_sha256,result_status,flag_summary
D. amphileucus,15.3091,,14.9723,1,1,296,1,3,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,,,,,,,analysis_ready_images_preferred,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count
D. anicetus,14.0824,,13.7726,1,1,209,0,1,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count; no_analysis_ready_images
D. apalachicolae,14.6472,0.8208,14.3249,2,2,437,0,2,7.9253,7.9253,linked_nucleus_iod,brightfield,False,False,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,caution,low_image_count; no_analysis_ready_images
D. auriculatus,18.7061,,18.2946,1,1,377,1,4,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,,,,,,,analysis_ready_images_preferred,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count
D. bairdi,17.4598,,17.0757,1,1,319,0,1,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count; no_analysis_ready_images
D. brimleyorum,16.8929,0.1376,16.5213,2,2,503,0,2,1.1519,1.1519,linked_nucleus_iod,brightfield,False,False,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,caution,low_image_count; no_analysis_ready_images
D. campi,13.8906,0.5603,13.585,2,2,273,0,2,5.7048,5.7048,linked_nucleus_iod,brightfield,False,False,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,caution,low_image_count; no_analysis_ready_images
D. folkertsi,15.5668,0.0646,15.2243,2,2,590,0,2,0.5869,0.5869,linked_nucleus_iod,brightfield,False,False,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,caution,low_image_count; no_analysis_ready_images
D. fuscus,16.36,,16.0001,1,1,291,1,8,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,,,,,,,analysis_ready_images_preferred,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count
D. gvnigeusgwotli,14.0705,,13.7609,1,1,251,0,1,,,linked_nucleus_iod,brightfield,False,False,image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,,,,,,,all_strict_core_images_used,reconstructed_from_upstream_linked_runs,brightfield_only_analysis_ready_preferred_specimen_mean_of_image_median_linked_nucleus_iod_scaled_to_fuscus,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_linked_genome_image_trace.csv,2ab33add2ac4eaddc61df49dc443193a05790ef9b70dc4a79299f6086047ec45,path_analysis/data/external/derived/cellprofiler_genome_state_summary.csv,4a5c77e6715e40655b4b7bba46ff4c94885d02255c5bf0c3267f740ba145ced5,sensitivity_limited,low_image_count; low_specimen_count; no_analysis_ready_images
