species,n_selected_pairs,n_selected_images,n_selected_specimens,effective_n,support_label,support_warnings,estimated_genome_pg_estimate,estimated_genome_pg_q1,estimated_genome_pg_q3,estimated_genome_pg_weighted_mean,estimated_genome_pg_weighted_trimmed_mean,estimated_genome_pg_weighted_geometric_mean,estimated_genome_pg_ci_low,estimated_genome_pg_ci_high,estimated_genome_pg_bootstrap_sd,subset_name,pct_shift_vs_all_selected
D. amphileucus,50,2,2,36.354379,medium,,17.491533,16.315496,18.412625,17.369298,17.403313,17.305042,14.895397,21.375444,1.812506,all_selected,
D. amphileucus,15,1,1,14.974498,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,14.688149,13.987277,15.394755,14.675623,14.666506,14.657192,13.139418,15.432808,0.654145,high_iod_qc,-16.027088
D. amphileucus,38,1,1,37.934587,limited,low_image_count; low_specimen_count,14.292299,13.759327,14.936856,14.331075,14.334299,14.293023,13.79025,15.029807,0.330574,image_qc_pass,-18.290185
D. anicetus,50,1,1,49.800929,limited,low_image_count; low_specimen_count,14.920052,14.145602,15.56835,14.894367,14.910477,14.857433,13.426782,18.012776,1.417652,all_selected,
D. anicetus,8,1,1,7.976715,low,low_pair_count; low_image_count; low_specimen_count,13.031371,12.473922,14.138652,13.192758,13.171466,13.168327,11.510194,14.479354,0.826885,high_iod_qc,-12.658673
D. anicetus,50,1,1,49.800929,limited,low_image_count; low_specimen_count,13.069896,12.391482,13.637803,13.047397,13.061509,13.015043,12.580091,13.763685,0.298012,image_qc_pass,-12.400463
D. apalachicolae,50,2,2,47.309172,medium,,15.274128,14.278816,16.559967,15.516411,15.446845,15.433606,13.163489,19.515817,1.71433,all_selected,
D. apalachicolae,11,1,1,10.983422,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,13.437135,12.349267,14.152102,13.253444,13.332453,13.218569,12.046281,14.272593,0.678964,high_iod_qc,-12.026825
D. apalachicolae,19,1,1,18.965842,low,low_pair_count; low_image_count; low_specimen_count; auto_dominant,12.687106,11.901999,13.380065,12.650847,12.691409,12.621974,11.946446,13.557567,0.442008,image_qc_pass,-16.937277
D. auriculatus,50,2,2,7.677231,limited,,18.710125,16.584519,19.187251,17.652485,17.837297,17.582899,15.118149,22.612055,2.004533,all_selected,
