species,image_type,n_images,n_total_strict_images,n_analysis_ready_images,n_specimens,n_nuclei,state_mean_area_um2,state_median_area_um2,state_mean_iod,state_median_iod,state_se_measurement,state_cv_measurement_pct,support_unit,support_tier,source_image_existing_pct,tile_manifest_existing_pct,mask_existing_pct,roi_zip_existing_pct,reference_species,reference_genome_pg,reference_state_mean_iod,genome_pg_estimate,genome_se_pg_estimate,genome_gb_estimate,state_se_pct
amphileucus,brightfield,1,3,1,1,296,41.6448,41.6448,742.2467,742.2467,,,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,15.3091,,14.9723,
anicetus,brightfield,1,1,0,1,209,39.5424,39.5424,682.7755,682.7755,,,image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,14.0824,,13.7726,
apalachicolae,brightfield,2,2,0,2,437,40.0644,40.0644,710.1558,710.1558,39.7974,7.9253,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,14.6472,0.8208,14.3249,5.604
auriculatus,brightfield,1,4,1,1,377,47.4768,47.4768,906.9503,906.9503,,,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,18.7061,,18.2946,
bairdi,brightfield,1,1,0,1,319,44.5968,44.5968,846.525,846.525,,,image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,17.4598,,17.0757,
brimleyorum,brightfield,2,2,0,2,503,44.46,44.46,819.0385,819.0385,6.6714,1.1519,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,16.8929,0.1376,16.5213,0.8145
campi,brightfield,2,2,0,2,273,37.0548,37.0548,673.4728,673.4728,27.1673,5.7048,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,13.8906,0.5603,13.585,4.0339
folkertsi,brightfield,2,2,0,2,590,45.2988,45.2988,754.7414,754.7414,3.1321,0.5869,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,15.5668,0.0646,15.2243,0.415
fuscus,brightfield,1,8,1,1,291,42.5664,42.5664,793.2007,793.2007,,,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,16.36,,16.0001,
gvnigeusgwotli,brightfield,1,1,0,1,251,42.696,42.696,682.1951,682.1951,,,image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,14.0705,,13.7609,
intermedius,brightfield,1,2,1,1,266,47.1024,47.1024,833.1833,833.1833,,,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,17.1847,,16.8066,
kanawha,brightfield,2,2,0,2,505,42.7104,42.7104,772.6461,772.6461,77.3703,14.1615,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,15.9361,1.5958,15.5855,10.0137
marmoratus,brightfield,4,4,0,2,439,43.4484,43.4484,649.8828,649.8828,1.0739,0.2337,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,13.404,0.0221,13.1091,0.1652
mavrokoilius,brightfield,1,3,1,1,294,36.2952,36.2952,600.4297,600.4297,,,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,12.384,,12.1116,
monticola,brightfield,4,4,0,2,602,37.7856,37.7856,624.5237,624.5237,10.8982,2.4679,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,12.881,0.2248,12.5976,1.745
ochrophaeus,brightfield,3,3,0,2,76,41.7402,41.7402,656.7748,656.7748,91.4686,19.6957,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,13.5462,1.8866,13.2482,13.9269
ocoee,brightfield,1,3,1,1,283,39.0816,39.0816,692.3439,692.3439,,,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,14.2798,,13.9656,
perlapsus,brightfield,3,3,0,3,417,37.9104,38.0592,650.5947,641.5854,33.5502,8.9319,specimen_mean_image_median_nucleus_iod,all_strict_core_images,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,13.4187,0.692,13.1235,5.1569
tilleyi,brightfield,1,2,1,1,300,39.3336,39.3336,754.682,754.682,,,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,15.5655,,15.2231,
valtos,brightfield,1,2,1,1,336,49.3416,49.3416,1001.8034,1001.8034,,,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,20.6625,,20.2079,
welteri,brightfield,1,4,1,1,335,44.424,44.424,801.0701,801.0701,,,image_median_nucleus_iod,analysis_ready_strict_core,100.0,100.0,100.0,0.0,D. fuscus,16.36,793.2007,16.5223,,16.1588,
