species,filename,n_rows,image_median_edge_sharpness,image_q10_edge_sharpness,image_median_contrast_snr,image_q10_contrast_snr,image_median_local_od_contrast,image_median_focus_rank,image_median_keep_probability,image_median_nuc_iod,image_iod_quality_score,image_iod_qc_status,image_iod_qc_pass,image_iod_qc_sharp_floor,image_iod_qc_snr_floor,image_iod_qc_q10_floor
D. amphileucus,Process_337_raw_green.ome.tiff,38,0.122457,0.111829,2.837719,2.219091,0.151595,0.497619,0.975128,951.963783,0.622093,pass,True,0.119555,2.053333,0.106279
D. amphileucus,Process_338_raw_green.ome.tiff,12,0.118513,0.10792,2.316771,1.876787,0.172752,0.497619,0.966641,1055.517209,0.366279,fail,False,0.119555,2.053333,0.106279
D. anicetus,Process_343_raw_green.ome.tiff,50,0.123836,0.10966,2.417392,1.707856,0.123598,0.497619,0.924387,870.932456,0.480233,pass,True,0.119555,2.053333,0.106279
D. apalachicolae,Process_356_raw_green.ome.tiff,31,0.119548,0.105185,2.631579,1.666666,0.142962,0.497619,0.974245,966.809161,0.422093,fail,False,0.119555,2.053333,0.106279
D. apalachicolae,Process_357_raw_green.ome.tiff,19,0.131923,0.12057,2.105263,1.7,0.130471,0.497619,0.981687,845.555375,0.677907,pass,True,0.119555,2.053333,0.106279
D. auriculatus,Process_324_raw_green.ome.tiff,2,0.11566,0.114233,2.045455,2.009091,0.141407,0.497619,0.935442,1106.268198,0.311628,limited,False,0.119555,2.053333,0.106279
D. auriculatus,Process_331_raw_green.ome.tiff,48,0.121777,0.111974,2.231579,1.758427,0.153065,0.497619,0.9493,964.852957,0.452326,pass,True,0.119555,2.053333,0.106279
D. bairdi,Process_359_raw_green.ome.tiff,50,0.122113,0.110191,2.584525,2.000001,0.168609,0.497619,0.974692,1084.876256,0.553488,pass,True,0.119555,2.053333,0.106279
D. brimleyorum,Process_348_raw_green.ome.tiff,35,0.12324,0.109081,2.217391,1.615854,0.131613,0.497619,0.972652,1005.060083,0.403488,pass,True,0.119555,2.053333,0.106279
D. brimleyorum,Process_349_raw_green.ome.tiff,15,0.129984,0.10873,1.72,1.496703,0.125898,0.497619,0.970109,994.189684,0.444186,fail,False,0.119555,2.053333,0.106279
D. campi,Process_346_raw_green.ome.tiff,22,0.124433,0.111621,2.795238,2.139395,0.138345,0.497619,0.970118,817.007482,0.627907,pass,True,0.119555,2.053333,0.106279
D. campi,Process_347_raw_green.ome.tiff,28,0.122049,0.109172,2.333333,1.787414,0.114675,0.497619,0.948205,880.914458,0.354651,pass,True,0.119555,2.053333,0.106279
