species,filename,specimen_id,n_pairs_selected,median_cell_area_um2_selected,median_nuc_area_um2_selected,median_nuc_iod_selected,median_nc_ratio_selected,median_cytoplasm_area_um2_selected,mean_quality_score_selected,median_keep_probability_selected,median_iod_final_quality_score_selected,cell_mask_path,nucleus_mask_path,roi_zip_path,cell_tile_manifest_path,nucleus_tile_manifest_path,cell_source_image_path,nucleus_source_image_path,cell_run_manifest_path,nucleus_run_manifest_path,raw_imagej_results_path,image_iod_qc_status,image_iod_qc_pass,selected_pairs_source_path,selected_pairs_source_sha256
amphileucus,Process_337_raw_green.ome.tiff,3442,38,297.4248,41.6592,951.963783,0.138743,256.0032,0.8666421842105263,0.975128,0.5768887923500612,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_337_raw_green.ome/tile_y020480_x016384__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_337_raw_green.ome/tile_y020480_x016384__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_337_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_337_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_337_raw_green.ome/tile_y020480_x016384.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,pass,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
amphileucus,Process_338_raw_green.ome.tiff,3437,12,296.5032,41.760000000000005,1055.517209,0.14164949999999998,251.9352,0.8704975833333334,0.9666405,0.48181180108527133,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_338_raw_green.ome/tile_y008192_x081920__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_338_raw_green.ome/tile_y008192_x081920__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_338_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_338_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_338_raw_green.ome/tile_y008192_x081920.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,fail,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
anicetus,Process_343_raw_green.ome.tiff,3441,50,232.8408,39.2904,870.9324555000001,0.17114200000000002,192.3696,0.81747252,0.9243874999999999,0.5324425353488372,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_343_raw_green.ome/tile_y012288_x036864__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_343_raw_green.ome/tile_y012288_x036864__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_343_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_343_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_343_raw_green.ome/tile_y012288_x036864.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,pass,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
apalachicolae,Process_356_raw_green.ome.tiff,3471,31,275.8176,42.7104,966.809161,0.156113,233.7984,0.8624133548387097,0.974245,0.5175686103975994,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_356_raw_green.ome/tile_y016384_x004096__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_356_raw_green.ome/tile_y016384_x004096__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_356_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_356_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_356_raw_green.ome/tile_y016384_x004096.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,fail,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
apalachicolae,Process_357_raw_green.ome.tiff,3472,19,262.0368,35.568,845.555375,0.135743,226.1232,0.8402659473684211,0.981687,0.6571185755446756,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_357_raw_green.ome/tile_y040960_x036864__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_357_raw_green.ome/tile_y040960_x036864__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_357_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_357_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_357_raw_green.ome/tile_y040960_x036864.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,pass,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
auriculatus,Process_324_raw_green.ome.tiff,3462,2,266.8824,47.361599999999996,1106.2681985,0.17756,219.5208,0.7971865,0.9354415,0.6086234649418605,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_324_raw_green.ome/tile_y028672_x086016__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_324_raw_green.ome/tile_y028672_x086016__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_324_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_324_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_324_raw_green.ome/tile_y028672_x086016.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,limited,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
auriculatus,Process_331_raw_green.ome.tiff,3463,48,284.1696,47.2392,964.8529570000001,0.165861,237.8808,0.7970789166666666,0.9493,0.5159395443217054,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_331_raw_green.ome/tile_y020480_x040960__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_331_raw_green.ome/tile_y020480_x040960__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_331_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_331_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_331_raw_green.ome/tile_y020480_x040960.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,pass,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
bairdi,Process_359_raw_green.ome.tiff,3455,50,286.1064,42.4872,1084.8762555,0.1465485,242.94959999999998,0.8386042,0.9746925,0.5651813702325581,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_359_raw_green.ome/tile_y020480_x036864__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_359_raw_green.ome/tile_y020480_x036864__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_359_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_359_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_359_raw_green.ome/tile_y020480_x036864.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,pass,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
brimleyorum,Process_348_raw_green.ome.tiff,3464,35,297.3744,42.696,1005.060083,0.14295,252.9936,0.7765448285714286,0.972652,0.5120745116611295,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_348_raw_green.ome/tile_y020480_x045056__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_348_raw_green.ome/tile_y020480_x045056__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_348_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_348_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_348_raw_green.ome/tile_y020480_x045056.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,pass,True,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
brimleyorum,Process_349_raw_green.ome.tiff,3468,15,292.8816,41.2272,994.189684,0.142576,250.1568,0.7878873333333334,0.970109,0.4991774679457365,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/cell_masks/Process_349_raw_green.ome/tile_y008192_x032768__filtered_labels.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/pair_review_seed_repair_all_strict/applied_repairs/nucleus_masks/Process_349_raw_green.ome/tile_y008192_x032768__labels.tiff,,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/brightfield/tile_manifests/Process_349_raw_green.ome_tile_manifest.csv,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/tile_manifest.csv,cellprofiler_test/data/brightfield/Process_349_raw_green.ome.tiff,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1/prepare/tiles/Process_349_raw_green.ome/tile_y008192_x032768.png,cellprofiler_test/output/runs/full_dataset_v1/cell_size_segmentation/run_manifest.json,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/nucleus_measurements/summary.json,,fail,False,cellprofiler_test/output/runs/mixed_cellpose_yolo_full_dataset_v1_bgclean/verified_species_dataset_top50_latest/selected_high_quality_linked_pairs_with_iod_qc.csv.gz,7902695173f1a8e16b3698e5cba919d79a2792fe7be3d294ca98698f81c3813e
